@relation Ausstattung-positive

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute unigrams string
@attribute bigrams string
@attribute negation numeric
@attribute feature__average numeric
@attribute feature__normal numeric
@attribute feature__simple numeric
@attribute feature__okay numeric
@attribute feature__ok numeric
@attribute feature__not_great numeric
@attribute feature__nothing_great numeric
@attribute feature__moderate numeric
@attribute feature__typical numeric
@attribute feature__alright numeric
@attribute feature__fair numeric
@attribute feature__mediocre numeric
@attribute feature__just numeric
@attribute feature__fine numeric
@attribute feature__not_too_good numeric
@attribute feature__good_enough numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {true, false}

@data
0,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,0.05,0.05,0.05,'view  although windows need cleaning changed  clear  ','_view_ __although _windows_need _need_cleaning _clear_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,0.75,0.25,0.25,'location excellent  ','_excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
3,0.6666666666666666,0.16666666666666666,0.08333333333333333,'water pressure also excellent  ','_water_pressure _also_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,0.0,0.0,-0.03333333333333333,'bathroom space small potentially  people  ','_bathroom_space _potentially_ __people _people_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
5,0.02040816326530612,-0.02040816326530612,-0.017006802721088433,'security priority  hotel ground level connected small inside mall  huge bonus   also seems converging space homeless  mental health issues addiction issues  ','_priority_ _ground_level _small_inside _inside_mall _mall_ _huge_bonus _bonus_ _also_seems _converging_space _homeless_ _mental_health _health_issues _addiction_issues _issues_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
6,0.0,0.0,-0.01515151515151515,'makes inpredictable would wanted run one small kids tow  ','_small_kids _tow_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
7,0.0,0.0,0.0,'saw episodes next morning  ','_next_morning _morning_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
128,0.0,0.0,0.0,'fine  ','_fine_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false
129,0.125,0.125,0.0,'gym equipment needs upgraded ','_equipment_needs ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
160,0.0,0.0,0.25,'enjoyed stay  ','_stay_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
161,0.0,0.0,0.1,'comfortable foot rest  ','_foot_rest _rest_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
162,0.0,0.0,0.0,'next elevators ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
208,0.1111111111111111,0.1111111111111111,0.05555555555555555,'economical properties searched area room improvement  ','_improvement_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
209,0.0,0.0,0.0,'location close event attending  ','_attending_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
210,0.05555555555555555,0.0,-0.027777777777777776,'parking structure attacked hotel need park outside  ','_parking_structure _structure_attacked _park_outside _outside_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
211,0.125,0.0,-0.020833333333333332,'travel pets request mini fridge room medication storage honoured charge  ','_mini_fridge _medication_storage _charge_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
212,0.0,-0.05,-0.05833333333333333,'bathroom dated  tiles cracked shower much grout black  ','_dated_ _black_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
