@relation OTHER

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
24,'good ','root punct ',0.0,1.0,1.0,0,7,false
25,'view window need clean change clear ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
26,'location excellent ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
27,'water pressure also excellent ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
28,'bathroom space small potentially people ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
29,'security priority hotel ground level connect small inside mall huge bonus also seem converging space homeless mental health issue addiction issue ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,true
30,'make in-predictable want run small kid tow ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
31,'see episode next morning ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
70,'fine ','root punct ',0.0,0.4,0.4,0,7,false
71,'gym equipment need upgrade ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
89,'enjoy stay ','root poss dobj punct ',0.0,1.0,1.0,0,19,true
90,'comfortable foot rest ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
91,'next elevator ','dep root pobj ',0.0,0.0,0.0,0,18,false
131,'economical property search area room improvement ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
132,'location close event attend ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
133,'parking structure attack hotel need park outside ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
134,'travel pet request mini fridge room medication storage honour charge ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,false
135,'bathroom date tile crack shower much grout black ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,false
136,'carpet stain dirty ( sock turn get dirty walking carpet ) ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,false
137,'parking garage low ceiling ( foot max clearance ) large vehicle fit cost day ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0.0,0.3333333333333333,0.3333333333333333,1,114,true
138,'charge clean room travel pet tell check ','expl root det amod dep nsubj prep pcomp det dobj mark nsubj advcl prep pobj complm nsubjpass auxpass neg ccomp prep dep dep nn amod pobj punct ',0.0,1.0,1.0,1,123,false
139,'bar restaurant close go drink evening post hour operation.u ','det nsubj dep nsubjpass auxpass root advmod nsubj advcl aux xcomp det nn num dobj cc expl conj det amod nsubj prep pobj ',0.0,0.0,0.0,1,118,false
197,'acceptably ','root punct ',0.0,0.0,0.0,0,13,false
198,'good location parking grocery store building ','nn root punct appos punct nn appos prep det pobj punct ',0.0,1.0,1.0,0,58,false
199,'old hotel relevant smell socket room ','amod root cc amod conj punct det appos prep det pobj advmod dep punct ',0.0,0.6666666666666666,0.6666666666666666,1,63,false
200,'charge cellular bathroom ','root aux xcomp dobj prep pobj punct ',0.0,0.0,0.0,0,37,false
201,'air condition terrible ','nn nsubj cop root punct ',-0.6,0.0,0.6,0,29,false
202,'ask staff switch evening night start blow cool air noisy ','root aux xcomp dobj aux xcomp dobj prt prep det pobj punct cc prep pobj nsubj conj nn amod dobj advmod advmod punct ',-0.2,0.5,0.7,1,102,false
203,'cold uncomfortable ','nsubj cop advmod root cc conj punct ',-0.4,0.0,0.4,0,37,false
256,'stay okay ','nsubj cop root punct ',0.0,0.0,0.0,0,16,false
257,'consider stay ','nsubj aux root xcomp advmod advmod punct ',0.0,0.0,0.0,0,38,false
258,'location great right downtown montreal ','det nsubj cop ccomp punct amod nn root punct ',0.0,0.6,0.6,1,51,false
259,'view amazing bed comfortable enough ','nsubj cop root cc det nsubj cop conj advmod punct ',0.0,0.8,0.8,1,54,false
260,'hotel outdated ','det nsubj cop root punct ',0.0,0.0,0.0,0,25,false
261,'carpet pretty old vent dusty ','nsubj cop advmod root cc det nsubj cop advmod conj punct ',0.0,0.5,0.5,1,52,false
262,'actually see caked dust ','nsubj aux advmod root det dobj prep pobj punct ',0.0,0.0,0.0,0,41,false
263,'need update aesthetically ','nsubj aux root xcomp advmod punct ',0.0,0.0,0.0,1,38,false
314,'good ','root punct ',0.0,1.0,1.0,0,7,false
315,'housekeeper sweet great job ','det nsubj cop advmod root cc nsubj conj det amod dobj punct ',0.0,1.0,1.0,0,57,false
316,'little thing break light mildew drippy faucet ','expl root det amod nsubj prep amod pobj punct amod cc conj nsubj punct ',0.0,0.0,0.0,0,78,false
317,'hotel need bit tlc ','det nsubj root det dobj prep pobj punct ',0.0,0.0,0.0,1,31,true
318,'otherwise nice experience ','advmod det amod root punct ',0.0,0.6,0.6,0,30,true
319,'housekeeping staff friendly great job ','det nn nsubj cop advmod root cc nsubj conj det amod dobj ',0.0,1.0,1.0,0,67,false
350,'good ','root punct ',0.0,1.0,1.0,0,7,false
351,'bed real ','nsubj cop neg root punct ',0.0,0.5,0.5,1,20,false
381,'meh ','root punct ',0.0,0.0,0.0,0,6,false
382,'s good location s clean ','nsubj root prep det amod pobj cc nsubj cop conj punct ',0.0,1.0,1.0,0,43,false
383,'s date ','nsubjpass auxpass advmod root punct ',0.0,0.0,0.0,0,19,false
384,'tv work ','det nsubj aux neg root punct ',0.0,0.0,0.0,1,22,false
385,'staff reception warm ','det nsubj prep pobj cop neg root punct ',0.0,0.2,0.2,1,38,false
386,'stay absolutely ','nsubj advmod root advmod mark nsubj advmod advcl dep punct ',0.0,0.0,0.0,0,43,false
387,'strand storm book last minute ','nsubjpass auxpass root prep det pobj advmod nsubj ccomp dobj amod tmod punct ',0.0,0.0,0.0,0,62,false
425,'rude staff ','nn root punct ',0.0,0.0,0.0,0,13,false
426,'staff give unpleasant vibe start right bat ','det nsubj root det amod dobj nsubj rcmod dep prep det pobj punct ',0.0,0.0,0.0,1,67,false
427,'female receptionist attitude explain room deposit correctly return ask clarify something already say seem upset ','det num amod nsubj root det dobj prep pobj mark nsubj aux neg advcl det nn dobj advmod dep pobj cc advmod dep nsubj conj prep pobj auxpass xcomp dobj aux xcomp dobj possessive nsubj aux advmod rcmod punct nsubj advmod ccomp aux xcomp dobj advmod punct ',-0.4,0.5,0.9,1,236,false
455,'good location adequate stay stay price right ','amod nsubj punct amod prep poss pobj punct aux root advmod advmod mark det nsubj cop advcl punct ',0.0,1.0,1.0,0,88,true
456,'quiet comfortable clean great location ','amod punct amod punct amod punct nn root punct ',0.0,1.0,1.0,0,47,false
457,'bar fridge room useful ','nn nsubj prep pobj cop advmod root punct ',0.0,0.4,0.4,0,37,false
458,'room furniture need update ','nsubj cc conj root xcomp punct ',0.0,0.0,0.0,1,36,false
459,'pool area also need makeover ','amod nsubj advmod root det dobj punct ',0.0,0.3333333333333333,0.3333333333333333,1,34,false
495,'good location adequate stay stay price right ','amod nsubj punct amod prep poss pobj punct aux root advmod advmod mark det nsubj cop advcl punct ',0.0,1.0,1.0,0,88,true
496,'quiet comfortable clean great location ','amod punct amod punct amod punct nn root punct ',0.0,1.0,1.0,0,47,false
497,'bar fridge room useful ','nn nsubj prep pobj cop advmod root punct ',0.0,0.4,0.4,0,37,false
498,'room furniture need update ','nsubj cc conj root xcomp punct ',0.0,0.0,0.0,1,36,false
499,'pool area also need makeover ','amod nsubj advmod root det dobj punct ',0.0,0.3333333333333333,0.3333333333333333,1,34,false
529,'thang service ','root prep det pobj punct ',0.0,0.0,0.0,0,25,false
530,'moon light ','det nn root punct ',0.0,0.0,0.0,0,20,false
531,'maybe update little bit color furniture ','advmod root det amod dep advmod dobj cc conj punct ',0.0,0.0,0.0,0,56,false
556,'good ','root punct ',0.0,1.0,1.0,0,7,false
557,'location ','det root punct ',0.0,0.0,0.0,0,15,false
558,'bathroom show age ','nsubj aux root poss dobj punct ',0.0,0.0,0.0,0,34,false
559,'time renovate ','root aux infmod punct ',0.0,0.5,0.5,1,19,false
600,'wish wait low rate site offer night ','nsubj root nsubj aux aux ccomp prep amod pobj det nsubj aux rcmod dobj num prep pobj punct ',0.0,0.5,0.5,0,82,false
601,'stay ni ','nsubj root prep num pobj punct ',0.0,0.0,0.0,0,23,false
602,'nice big room upgrade arrival ','nn amod root partmod prep pobj punct ',0.0,0.6,0.6,0,36,false
603,'smell lobby #ord# walk smell stale nursing home ','det root prep pobj advmod nsubj advmod dep mark nsubj advcl dobj prep det nn pobj punct ',-0.4,0.0,0.4,0,80,false
604,'much antiseptic smell try cover stale smell ','advmod amod amod root partmod aux xcomp prt det amod dobj punct ',0.0,1.0,1.0,1,63,false
605,'beautiful old building appreciate ','amod amod dobj nsubj aux root punct ',0.0,1.0,1.0,0,44,false
606,'also turn water midnight ','advmod nsubj root aux xcomp prt det dobj prep pobj prep num pobj punct ',0.0,0.0,0.0,0,60,false
607,'big affect far comfort ','det amod root advmod dep dep pobj ',0.0,1.0,1.0,1,32,false
649,'good ','root punct ',0.0,1.0,1.0,0,7,false
650,'location good?cprice fair ','nsubj cop nsubj cop root punct ',0.0,0.5,0.5,0,34,false
651,'old hotel room curtain fall ','poss det amod root punct cc nsubj poss advmod det nsubj conj prt ',0.0,0.0,0.0,0,54,false
685,'stay ok bit b&b old style hotel ambience bar diner ','det nsubj cop root cc poss det conj prep det pobj prep det amod nn nn pobj prep det pobj cc conj punct ',0.0,0.0,0.0,0,100,false
686,'breakfast good location excellent view room good ','nsubj cop root punct conj amod punct nsubj prep pobj cop ccomp punct ',0.0,1.0,1.0,1,68,true
687,'room clean service good ','nn amod nsubj cop root punct ',0.0,1.0,1.0,0,33,false
688,'safe place quiet ','amod root cc conj punct ',0.0,0.75,0.75,0,23,false
689,'usb pports power point electronic device furniture old bed squeak ','det nn root cc det nn conj prep amod pobj punct amod nsubj cop parataxis cc poss nsubj conj punct ',0.0,0.0,0.0,1,104,false
690,'last evening get room apparently check already ','det amod root nsubj aux neg rcmod prep poss pobj mark nsubjpass auxpass advmod advcl prt advmod punct ',0.0,0.0,0.0,1,92,false
691,'room service bar lunch time quite star standard ','det nn root punct det appos prep dep nn pobj neg advmod num nn dep ',0.0,1.0,1.0,1,76,false
735,'excellent customer service ','amod nn root punct ',0.0,1.0,1.0,1,29,false
736,'staff accommodating helpful ','det nsubj cop advmod root cc conj punct ',0.0,1.0,1.0,0,48,false
737,'bathroom shower mold wall ','poss nn nsubj root dobj prep det pobj punct ',0.0,0.0,0.0,0,44,false
738,'explain problem front desk apologetic move upgrade room ','nsubj root det dobj prep det amod pobj punct cc nsubj cop advmod conj cc conj dobj prep det amod pobj punct ',-0.4,0.5,0.9,1,111,false
739,'excellent customer service ','amod nn root punct ',0.0,1.0,1.0,1,29,false
772,'good ','root punct ',0.0,1.0,1.0,0,7,false
773,'location excellent central convenient public transportation restaurant metro place dupuis food court various service ','nsubj cop root punct amod punct conj prep amod pobj punct conj punct conj punct cc nn nn nn conj punct amod dobj punct ',0.0,1.0,1.0,1,143,false
