@relation Preis-Leistungs-Verhltnis-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1586,'JJ','good','Good',1,'ROOT','. ',false
1587,'.','.','.',0,'punct','Good ',false
1588,'DT','the','The',1,'det','view - although ',false
1589,'NN','view','view',1,'ROOT','The - although the ',false
1590,':','-','-',0,'prep','The view although the windows ',false
1591,'IN','although','although',1,'mark','The view - the windows need ',false
1592,'DT','the','the',1,'det','view - although windows need cleaning ',false
1593,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1594,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1595,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1596,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1597,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1598,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1599,'VBN','change','changed',1,'conj','or to be out , as ',false
1600,'RP','out','out',1,'prt','to be changed , as they ',false
1601,',',',',',',0,'punct','be changed out as they were ',false
1602,'IN','as','as',1,'mark','changed out , they were not ',false
1603,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1604,'VBD','be','were',1,'cop',', as they not clear . ',false
1605,'RB','not','not',1,'neg','as they were clear . ',false
1606,'JJ','clear','clear',1,'advcl','they were not . ',false
1607,'.','.','.',0,'punct','were not clear ',false
1608,'NNP','location','Location',1,'nsubj','is excellent . ',false
1609,'VBZ','be','is',1,'cop','Location excellent . ',false
1610,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1611,'.','.','.',0,'punct','Location is excellent ',false
1612,'NN','water','Water',1,'nn','pressure is also ',false
1613,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1614,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1615,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1616,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1617,'.','.','.',0,'punct','is also excellent ',false
1618,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1619,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1620,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1621,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1622,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1623,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1624,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1625,'CD','0','4',0,'num','small for potentially people . ',false
1626,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1627,'.','.','.',0,'punct','potentially 4 people ',false
1628,'NN','security','Security',1,'nsubj','should be a ',false
1629,'MD','should','should',1,'aux','Security be a priority ',false
1630,'VB','be','be',1,'cop','Security should a priority , ',false
1631,'DT','a','a',1,'det','Security should be priority , as ',false
1632,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
1633,',',',',',',0,'punct','be a priority as the hotel ',false
1634,'IN','as','as',1,'prep','a priority , the hotel below ',false
