@relation food#prices

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
61,0.023529411764705882,0.4,0.0,0.11764705882352941,1.0,0.0,0.0784313725490196,1.0,0.0,'target_half price sushi deal','We took advanatage of the half price sushi deal on saturday so it was well worth it ','PRP VBD NN IN DT NN NN JJ NN IN NN IN PRP VBD RB JJ PRP . ',17,0,2,0,0,0,0,0,0,0,positive
69,0.021052631578947368,0.4,0.0,0.10526315789473684,1.0,0.0,0.017543859649122806,0.3333333333333333,0.0,'target_Prix Fixe menu','The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality) ','DT NNP NNP NN VBZ JJ DT NN CC PRP VBP JJR IN JJ -LRB- CC IN NN CC NN -RRB- . ',19,0,3,1,0,0,0,0,0,0,positive
73,0.014285714285714287,0.2,0.0,0.07142857142857142,1.0,0.0,0.07142857142857142,1.0,0.0,'target_food','$6 and there is much tasty food, all of it fresh and continually refilled ','$ CD CC EX VBZ JJ JJ NN , DT IN PRP JJ CC RB VBN . ',14,0,3,1,0,0,0,0,0,0,positive
125,0.0,0.0,0.0,-0.14285714285714285,0.0,0.0,0.0,0.0,0.0,'target_pizza','But the pizza is way to expensive ','CC DT NN VBZ NN IN JJ . ',7,0,1,0,0,0,0,0,0,1,negative
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','A large is $20, and toppings are about $3 each ','DT JJ VBZ $ CD , CC NNS VBP RB $ CD DT . ',10,0,2,1,0,0,0,0,0,0,negative
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_toppings','A large is $20, and toppings are about $3 each ','DT JJ VBZ $ CD , CC NNS VBP RB $ CD DT . ',10,0,2,1,0,0,0,0,0,0,negative
177,0.0,0.0,0.0,-0.08333333333333333,0.0,0.0,-0.08333333333333333,0.0,0.0,'target_dessert','Tiny dessert was $8 00 just plain overpriced for what it is ','JJ NN VBD $ CD JJ VBN IN WP PRP VBZ . ',12,0,2,1,0,0,0,0,0,0,negative
186,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,'target_NULL','It is also extremely well priced ','PRP VBZ RB RB RB VBN . ',6,0,1,0,0,0,0,0,0,0,positive
324,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.14285714285714285,1.0,0.0,'target_sushi','This is some really good, inexpensive sushi ','DT VBZ DT RB JJ , JJ NN . ',7,0,2,0,0,0,0,0,0,0,positive
334,0.01,0.0,-0.2,0.05,1.0,0.0,0.0,0.0,0.0,'target_NULL','And it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each) ','CC PRP DT VBZ IN DT RB JJ NN -LRB- NN , NNS , CC NN NNS VBP RB JJR IN $ CD DT -RRB- . ',20,0,4,1,0,0,0,0,0,0,positive
