@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
40,'good ','_good_. ',false
41,'location although cleanliness need clean change clear ','_location_- _although_the _cleanliness_need _need_clean _clean_or _change_out _clear_. ',false
42,'location excellent ','_location_be _excellent_. ',false
43,'other pressure also excellent ','_other_pressure _pressure_be _also_excellent _excellent_. ',false
44,'comfort comfort small potentially people ','_comfort_space _comfort_be _small_for _potentially_0 _people_. ',false
45,'security priority equipment ground level connect small inside mall huge bonus also seem converging comfort homeless mental health issue addiction issue ','_security_should _priority_, _equipment_below _ground_level _level_be _connect_to _small_inside _inside_mall _mall_, _huge_bonus _bonus_, _also_seem _seem_to _converging_space _comfort_for _homeless_, _mental_health _health_issue _issue_and _addiction_issue _issue_. ',false
46,'make in-predictable would want run #crd# small kid tow ','_make_them _in-predictable_and _would_not _want_to _run_into _#crd#_of _small_kid _kid_in _tow_. ',false
47,'see episode next morning ','_see_a _episode_the _next_morning _morning_. ',false
74,'fine ','_fine_. ',false
75,'gym equipment need upgrade ','_gym_have _equipment_need _need_to ',false
95,'enjoy other ','_enjoy_our _other_. ',false
96,'comfortable foot rest ','_comfortable_and _foot_rest _rest_. ',false
97,'next elevator ','_next_to ',false
149,'economical property search location comfort improvement ','_economical_than _property_i _search_in _location_but _comfort_for _improvement_. ',false
150,'location close event attend ','_location_be _close_to _event_we _attend_. ',false
151,'parking structure attack equipment need park outside ','_parking_structure _structure_attack _attack_to _equipment_so _need_to _park_outside _outside_. ',false
152,'travel pet request mini fridge comfort medication storage honour price ','_travel_with _pet_and _request_for _mini_fridge _fridge_in _comfort_for _medication_storage _storage_be _honour_at _price_. ',false
153,'comfort date tile crack comfort much grout black ','_comfort_be _date_, _tile_be _crack_in _comfort_and _much_of _grout_be _black_. ',false
154,'carpet stain dirty sock turn get dirty walking carpet ','_carpet_be _stain_but _dirty_( _sock_do _turn_get _get_dirty _dirty_walking _walking_on _carpet_) ',false
155,'parking garage low ceiling foot max clearance large vehicle fit price 0 day ','_parking_garage _garage_have _low_ceiling _ceiling_( _foot_max _max_clearance _clearance_) _large_vehicle _vehicle_will _fit_and _price_be _0_/ _day_. ',false
156,'0 price clean comfort travel pet tell other ','_0_charge _price_for _clean_the _comfort_if _travel_with _pet_that _tell_about _other_- ',false
157,'equipment equipment close go drink #crd# evening post hour operation.u ','_equipment_/ _equipment_be _close_when _go_to _drink_#crd# _#crd#_evening _evening_and _post_hour _hour_of ',false
211,'acceptably ','_acceptably_. ',false
212,'good location parking grocery store building ','_good_location _location_, _parking_, _grocery_store _store_in _building_. ',false
213,'old equipment relevant cleanliness socket comfort ','_old_hotel _equipment_and _relevant_smell _cleanliness_, _socket_in _comfort_at ',false
214,'price cellular comfort ','_price_cellular _cellular_in _comfort_. ',false
215,'air condition terrible ','_air_condition _condition_be _terrible_. ',false
216,'ask personel switch evening night start blow cool air noisy ','_ask_staff _personel_to _switch_it _evening_, _night_it _start_blow _blow_cool _cool_air _air_very _noisy_. ',false
217,'cold uncomfortable ','_cold_and _uncomfortable_. ',false
272,'other okay ','_other_be _okay_. ',false
273,'consider other ','_consider_stay _other_there ',false
274,'location great right downtown montreal ','_location_be _great_, _right_downtown _downtown_montreal _montreal_. ',false
275,'location amazing comfort comfortable enough ','_location_be _amazing_and _comfort_be _comfortable_enough _enough_. ',false
276,'equipment outdated ','_equipment_be _outdated_. ',false
277,'carpet pretty old vent dusty ','_carpet_be _pretty_old _old_and _vent_be _dusty_. ',false
278,'actually see caked dust ','_actually_see _see_the _caked_on _dust_. ',false
279,'need update aesthetically ','_need_update _update_aesthetically _aesthetically_. ',false
