@relation Lage

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, negative}

@data
2,0.014754098360655738,0.6,-0.2,0.01639344262295082,1.0,0.0,0.008196721311475409,1.0,0.0,'target_Location','Good. The view - although the windows need cleaning or to be changed out, as they were not clear. Location is excellent. Water pressure is also excellent. Bathroom space is very small for potentially 4 people. Security should be a priority, as the hotel below ground level is connected to a small inside mall, which is a huge bonus, but - it also seems to be a converging space for the homeless, who have mental health issues and addiction issues. Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow. Saw a few having episodes the next morning.','JJ . DT NN : IN DT NNS VBP VBG CC TO VB VBN RP , IN PRP VBD RB JJ . NNP VBZ JJ . NN NN VBZ RB JJ . NN NN VBZ RB JJ IN RB CD NNS . NN MD VB DT NN , IN DT NN IN NN NN VBZ VBN IN DT JJ JJ NN , WDT VBZ DT JJ NN , CC , PRP RB VBZ TO VB DT JJ NN IN DT JJ , WP VBP JJ NN NNS CC NN NNS . VBZ PRP RB JJ CC PRP MD RB VB VBN TO VB IN CD IN PRP IN JJ NNS IN NN . VBD DT JJ VBG NNS DT JJ NN . ',122,0,9,1,1,0,0,0,0,1,positive
5,0.014754098360655738,0.6,-0.2,0.01639344262295082,1.0,0.0,0.008196721311475409,1.0,0.0,'target_mall','Good. The view - although the windows need cleaning or to be changed out, as they were not clear. Location is excellent. Water pressure is also excellent. Bathroom space is very small for potentially 4 people. Security should be a priority, as the hotel below ground level is connected to a small inside mall, which is a huge bonus, but - it also seems to be a converging space for the homeless, who have mental health issues and addiction issues. Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow. Saw a few having episodes the next morning.','JJ . DT NN : IN DT NNS VBP VBG CC TO VB VBN RP , IN PRP VBD RB JJ . NNP VBZ JJ . NN NN VBZ RB JJ . NN NN VBZ RB JJ IN RB CD NNS . NN MD VB DT NN , IN DT NN IN NN NN VBZ VBN IN DT JJ JJ NN , WDT VBZ DT JJ NN , CC , PRP RB VBZ TO VB DT JJ NN IN DT JJ , WP VBP JJ NN NNS CC NN NNS . VBZ PRP RB JJ CC PRP MD RB VB VBN TO VB IN CD IN PRP IN JJ NNS IN NN . VBD DT JJ VBG NNS DT JJ NN . ',122,0,9,1,1,0,0,0,0,1,positive
6,0.014754098360655738,0.6,-0.2,0.01639344262295082,1.0,0.0,0.008196721311475409,1.0,0.0,'target_mall','Good. The view - although the windows need cleaning or to be changed out, as they were not clear. Location is excellent. Water pressure is also excellent. Bathroom space is very small for potentially 4 people. Security should be a priority, as the hotel below ground level is connected to a small inside mall, which is a huge bonus, but - it also seems to be a converging space for the homeless, who have mental health issues and addiction issues. Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow. Saw a few having episodes the next morning.','JJ . DT NN : IN DT NNS VBP VBG CC TO VB VBN RP , IN PRP VBD RB JJ . NNP VBZ JJ . NN NN VBZ RB JJ . NN NN VBZ RB JJ IN RB CD NNS . NN MD VB DT NN , IN DT NN IN NN NN VBZ VBN IN DT JJ JJ NN , WDT VBZ DT JJ NN , CC , PRP RB VBZ TO VB DT JJ NN IN DT JJ , WP VBP JJ NN NNS CC NN NNS . VBZ PRP RB JJ CC PRP MD RB VB VBN TO VB IN CD IN PRP IN JJ NNS IN NN . VBD DT JJ VBG NNS DT JJ NN . ',122,0,9,1,1,0,0,0,0,1,positive
11,0.012903225806451615,0.4,-0.4,-0.005376344086021506,1.0,0.0,-8.960573476702513E-4,1.0,0.0,'target_Location','Was more economical than other properties I searched in the area but there is room for improvement. Location was close to the event we were attending. There is a parking structure attacked to the hotel so you did not need to park outside. You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge. The bathroom was dated, some tiles were cracked in the shower and much of the grout was black. The carpet was stained but was not dirty(my socks did not turn get dirty walking on carpet). Parking garage has low ceilings(6 foot max clearance) so larger vehicles will not fit and cost is $19/day. There was a $40 charge for cleaning the room if you travel with pets that we were not told about until after check-in. The bar/restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u','VBD RBR JJ IN JJ NNS PRP VBD IN DT NN CC EX VBZ NN IN NN . NNP VBD JJ IN DT NN PRP VBD VBG . EX VBZ DT NN NN VBD IN DT NN IN PRP VBD RB VB TO VB RB . PRP MD VB IN NNS CC PRP$ NN IN DT JJ NN IN DT NN IN NN NN VBD VBN IN DT NN . DT NN VBD VBN , DT NNS VBD VBN IN DT NN CC JJ IN DT NN VBD JJ . DT NN VBD VBN CC VBD RB JJ -LRB- PRP$ NNS VBD RB VB VB JJ NN IN NN -RRB- . NN NN VBZ JJ NNS -LRB- CD NN NN NN -RRB- RB JJR NNS MD RB VB CC VB VBZ $ CD CD NN . EX VBD DT $ CD NN IN VBG DT NN IN PRP VBP IN NNS IN PRP VBD RB VBN IN IN IN NN HYPH NN . DT NN SYM NN VBD VBN WRB PRP VBD TO VB DT NN CD NN CC EX VBP DT VBN NNS IN NN ',186,0,11,1,1,0,0,0,0,1,positive
23,0.02318840579710145,0.2,-0.6,-0.07246376811594203,1.0,0.0,-0.028985507246376812,0.6666666666666666,0.0,'target_Location','Acceptably. Good Location, parking, grocery store in the building. Old hotel and relevant smell, no sockets in the room at all. Had to charge cellular in bathroom. Air condition was terrible. Had to ask staff to switch it off in the evening, but at night it started blow cool air very noisy. It was very cold and uncomfortable.','RB . NNP NNP , NN , NN NN IN DT NN . JJ NN CC JJ NN , DT NNS IN DT NN RB RB . VBD TO VB JJ IN NN . NN NN VBD JJ . VBD TO VB NN TO VB PRP RP IN DT NN , CC IN NN PRP VBD NN JJ NN RB RB . PRP VBD RB JJ CC JJ . ',69,0,6,1,0,0,0,0,0,1,positive
28,0.032786885245901634,0.8,0.0,0.04918032786885246,1.0,0.0,0.0,0.5,0.0,'target_location','Stay was okay. I will consider staying there again. The location was great, right downtown Montreal. View was amazing and the bed was comfortable enough. The hotel was outdated. Carpet was pretty old and the vent was VERY dusty. You can actually see the caked on dust. It does need updating aesthetically.','VB VBD JJ . PRP MD VB VBG RB RB . DT NN VBD JJ , JJ NN NNP . NNP VBD JJ CC DT NN VBD JJ RB . DT NN VBD JJ . NNP VBD RB JJ CC DT NN VBD RB JJ . PRP MD RB VB DT NN IN NN . PRP VBZ VB VBG RB . ',61,0,7,1,0,0,0,0,0,0,positive
29,0.032786885245901634,0.8,0.0,0.04918032786885246,1.0,0.0,0.0,0.5,0.0,'target_View','Stay was okay. I will consider staying there again. The location was great, right downtown Montreal. View was amazing and the bed was comfortable enough. The hotel was outdated. Carpet was pretty old and the vent was VERY dusty. You can actually see the caked on dust. It does need updating aesthetically.','VB VBD JJ . PRP MD VB VBG RB RB . DT NN VBD JJ , JJ NN NNP . NNP VBD JJ CC DT NN VBD JJ RB . DT NN VBD JJ . NNP VBD RB JJ CC DT NN VBD RB JJ . PRP MD RB VB DT NN IN NN . PRP VBZ VB VBG RB . ',61,0,7,1,0,0,0,0,0,0,positive
48,0.029166666666666664,0.4,0.0,0.10416666666666667,1.0,0.0,0.020833333333333332,1.0,0.0,'target_location','Good location, adequate for our stay, Would stay there again if the price was right. Quiet, comfortable, clean, GREAT LOCATION. Bar fridge in room was very useful. Rooms and furniture need updating. Pool area also needs a makeover.','JJ NN , JJ IN PRP$ NN , MD VB RB RB IN DT NN VBD JJ . JJ , JJ , JJ , NNP NNP . NNP NN IN NN VBD RB JJ . NNS CC NN VBP VBG . JJ NN RB VBZ DT NN . ',48,0,7,1,0,0,0,0,0,0,positive
50,0.029166666666666664,0.4,0.0,0.10416666666666667,1.0,0.0,0.020833333333333332,1.0,0.0,'target_LOCATION','Good location, adequate for our stay, Would stay there again if the price was right. Quiet, comfortable, clean, GREAT LOCATION. Bar fridge in room was very useful. Rooms and furniture need updating. Pool area also needs a makeover.','JJ NN , JJ IN PRP$ NN , MD VB RB RB IN DT NN VBD JJ . JJ , JJ , JJ , NNP NNP . NNP NN IN NN VBD RB JJ . NNS CC NN VBP VBG . JJ NN RB VBZ DT NN . ',48,0,7,1,0,0,0,0,0,0,positive
55,0.029166666666666664,0.4,0.0,0.10416666666666667,1.0,0.0,0.020833333333333332,1.0,0.0,'target_location','Good location, adequate for our stay, Would stay there again if the price was right. Quiet, comfortable, clean, GREAT LOCATION. Bar fridge in room was very useful. Rooms and furniture need updating. Pool area also needs a makeover.','JJ NN , JJ IN PRP$ NN , MD VB RB RB IN DT NN VBD JJ . JJ , JJ , JJ , NNP NNP . NNP NN IN NN VBD RB JJ . NNS CC NN VBP VBG . JJ NN RB VBZ DT NN . ',48,0,7,1,0,0,0,0,0,0,positive
