@relation valence

@attribute id numeric
@attribute wordA string
@attribute wordB string
@attribute dependency_type string
@attribute word_distance numeric
@attribute lexicons_min numeric
@attribute lexicons_avg numeric
@attribute lexicons_max numeric
@attribute context_negation numeric
@attribute context_lexicon_avg numeric
@attribute sentence_length numeric
@attribute aspecttype {positive, negative}

@data
0,window,clear,Sauberkeit,61,0.0,0.19999999999999998,1.0,1,0,93,negative
1,window,clean,Sauberkeit,13,0.0,0.39999999999999997,1.0,1,0,93,negative
2,excellent,location,Lage,12,0.0,0.43333333333333335,1.0,1,0,23,positive
3,excellent,pressure,Komfort,17,-0.5,0.3833333333333333,1.0,1,0,34,positive
4,small,bathroom,Komfort,23,-0.3333333333333333,-0.05555555555555555,0.0,1,0,55,negative
5,connect,mall,Lage,28,0.0,0.0,0.0,0,0,242,positive
6,bonus,mall,Lage,22,0.0,0.3333333333333333,1.0,0,0,242,positive
7,homeless,issue,OTHER,54,-1.0,-0.3333333333333333,0.0,0,0,242,negative
8,homeless,issue,OTHER,33,-1.0,-0.3333333333333333,0.0,1,0,242,negative
9,gym,equipment,Ausstattung,11,0.0,0.0,0.0,1,0,41,negative
10,enjoy,stay,OTHER,12,0.0,0.39999999999999997,1.0,0,0,18,positive
11,close,location,Lage,13,0.0,0.0,0.0,1,0,51,positive
12,honour,request,Komfort,65,0.0,0.06666666666666667,0.4,1,0,121,positive
13,date,bathroom,Komfort,13,0.0,0.0,0.0,0,0,96,negative
14,crack,tile,Komfort,11,-1.0,-0.25,0.0,0,0,96,negative
15,black,grout,Sauberkeit,10,-0.6666666666666666,-0.1111111111111111,0.0,0,0,96,negative
16,stain,carpet,Sauberkeit,11,-1.0,-0.3333333333333333,0.0,1,0,96,negative
17,low,ceiling,Ausstattung,4,0.0,0.0,0.0,0,0,113,negative
18,vehicle,fit,OTHER,18,0.0,0.03333333333333333,0.2,1,0,113,negative
19,not,tell,Hotelpersonal,4,0.0,0.0,0.0,1,0,122,negative
20,close,bar,Ausstattung,19,0.0,0.0,0.0,1,0,117,negative
21,close,restaurant,Ausstattung,15,0.0,0.0,0.0,1,0,117,negative
22,good,parking,Ausstattung,15,0.0,0.43333333333333335,1.0,0,0,57,positive
23,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,57,positive
24,old,hotel,Ausstattung,4,0.0,0.0,0.0,1,0,62,negative
25,relevant,smell,Sauberkeit,9,-1.0,-0.1388888888888889,0.6666666666666666,1,0,62,negative
26,no,socket,Komfort,3,0.0,0.03333333333333333,0.2,1,0,62,negative
27,terrible,air,Komfort,18,-1.0,-0.2333333333333333,0.6,0,0,28,negative
28,great,location,Lage,13,0.0,0.26666666666666666,1.0,1,0,50,positive
29,amazing,view,Lage,9,0.0,0.3,1.0,0,0,53,positive
30,comfortable,bed,Komfort,8,0.0,0.2333333333333333,1.0,1,0,53,positive
31,outdated,hotel,Ausstattung,10,0.0,0.0,0.0,0,0,24,negative
32,old,carpet,Ausstattung,18,0.0,0.0,0.0,1,0,51,negative
33,dusty,vent,Sauberkeit,14,-1.0,-0.3333333333333333,0.0,1,0,51,negative
34,need,update,Ausstattung,5,0.0,0.0,0.0,1,0,37,negative
35,sweet,housekeeper,Hotelpersonal,21,0.0,0.39999999999999997,1.0,0,0,56,positive
36,great,job,Hotelpersonal,6,0.0,0.35000000000000003,1.0,0,0,56,positive
37,break,light,Komfort,7,-1.0,-0.16666666666666666,0.0,0,0,77,negative
38,drippy,faucet,Sauberkeit,7,-1.0,-0.16666666666666666,0.0,0,0,77,negative
39,need,tlc,OTHER,15,0.0,0.0,0.0,1,0,30,negative
40,nice,experience,OTHER,5,0.0,0.26666666666666666,1.0,0,0,29,positive
41,friendly,staff,Hotelpersonal,16,0.0,0.39999999999999997,1.0,0,0,66,positive
42,great,job,Hotelpersonal,6,0.0,0.35000000000000003,1.0,0,0,66,positive
43,tv,work,Komfort,10,0.0,0.16666666666666666,1.0,1,0,21,negative
44,staff,warm,Hotelpersonal,26,0.0,0.19999999999999998,1.0,1,0,37,negative
45,rude,staff,Hotelpersonal,5,-1.0,-0.16666666666666666,0.0,0,0,12,negative
46,unpleasant,vibe,Hotelpersonal,11,-1.0,-0.3333333333333333,0.0,1,0,66,negative
47,receptionist,explain,Hotelpersonal,56,0.0,0.041666666666666664,0.25,1,0,235,negative
48,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,87,positive
49,again,stay,OTHER,11,0.0,0.0,0.0,0,0,87,positive
50,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,46,positive
51,useful,fridge,Komfort,24,0.0,0.2333333333333333,1.0,0,0,36,positive
52,room,update,Komfort,25,0.0,0.0,0.0,1,0,35,negative
53,furniture,update,Komfort,15,0.0,0.0,0.0,1,0,35,negative
54,pool,makeover,Ausstattung,23,0.0,0.05555555555555555,0.3333333333333333,1,0,33,negative
55,good,location,Lage,5,0.0,0.43333333333333335,1.0,0,0,87,positive
56,again,stay,OTHER,11,0.0,0.0,0.0,0,0,87,positive
57,great,location,Lage,6,0.0,0.26666666666666666,1.0,0,0,46,positive
58,useful,fridge,Komfort,24,0.0,0.2333333333333333,1.0,0,0,36,positive
59,room,update,Komfort,25,0.0,0.0,0.0,1,0,35,negative
60,furniture,update,Komfort,15,0.0,0.0,0.0,1,0,35,negative
61,pool,makeover,Ausstattung,23,0.0,0.05555555555555555,0.3333333333333333,1,0,33,negative
62,furniture,update,Komfort,36,0.0,0.0,0.0,0,0,55,negative
63,age,bathroom,Komfort,28,0.0,0.0,0.0,0,0,33,negative
64,time,renovate,Ausstattung,8,0.0,0.08333333333333333,0.5,1,0,18,negative
65,nice,room,Komfort,9,0.0,0.26666666666666666,1.0,0,0,35,positive
66,big,room,Komfort,4,0.0,0.03333333333333333,0.2,0,0,35,positive
67,stale,smell,Sauberkeit,7,-1.0,-0.5277777777777778,0.0,0,0,79,negative
68,beautiful,building,Ausstattung,16,0.0,0.5166666666666667,1.0,0,0,43,positive
69,old,building,Ausstattung,6,0.0,0.08333333333333333,0.5,0,0,43,negative
70,old,hotel,Ausstattung,4,0.0,0.0,0.0,0,0,53,negative
