@relation Lage-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
16,'Good . ',false
17,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
18,'Location is excellent . ',true
19,'Water pressure is also excellent . ',false
20,'Bathroom space is very small for potentially 4 people . ',false
21,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
22,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
23,'Saw a few having episodes the next morning . ',false
132,'Fine . ',false
133,'Gym had no equipment Needs to be upgraded ',false
166,'Enjoyed our stay . ',false
167,'Comfortable and Foot rest . ',false
168,'Next to elevators ',false
226,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
227,'Location was close to the event we were attending . ',true
228,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
229,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
230,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
231,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
232,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
233,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
234,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
366,'Acceptably . ',false
367,'Good Location , parking , grocery store in the building . ',true
368,'Old hotel and relevant smell , no sockets in the room at all . ',false
369,'Had to charge cellular in bathroom . ',false
370,'Air condition was terrible . ',false
371,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
372,'It was very cold and uncomfortable . ',false
480,'Stay was okay . ',false
481,'I will consider staying there again . ',false
482,'The location was great , right downtown Montreal . ',true
483,'View was amazing and the bed was comfortable enough . ',true
484,'The hotel was outdated . ',false
485,'Carpet was pretty old and the vent was VERY dusty . ',false
486,'You can actually see the caked on dust . ',false
487,'It does need updating aesthetically . ',false
604,'Good . ',false
605,'The housekeeper was very sweet and she did a great job . ',false
606,'There were some little things like broken lights , mildew and drippy faucet . ',false
607,'The hotel needs a bit of TLC . ',false
608,'Otherwise a nice experience . ',false
609,'The housekeeping staff were very friendly and they did a great job ',false
692,'Good . ',false
693,'Beds are not real . ',false
734,'Meh . ',false
735,'It s in a good location and it s clean . ',false
736,'It s very dated . ',false
737,'The TV did nt work . ',false
738,'The staff at reception are nt warm . ',false
739,'I only stay here if I absolutely have to . ',false
740,'We were stranded with the storm so we booked it last minute . ',false
838,'Rude staff . ',false
839,'The staff gave an unpleasant vibe that started right off the bat . ',false
840,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
890,'Good location , adequate for our stay , Would stay there again if the price was right . ',true
891,'Quiet , comfortable , clean , GREAT LOCATION . ',true
892,'Bar fridge in room was very useful . ',false
893,'Rooms and furniture need updating . ',false
894,'Pool area also needs a makeover . ',false
970,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
971,'Quiet , comfortable , clean , GREAT LOCATION . ',false
972,'Bar fridge in room was very useful . ',false
973,'Rooms and furniture need updating . ',false
974,'Pool area also needs a makeover . ',false
1046,'Thangs for the service ! ',false
1047,'The moon light !!!! ',false
1048,'Maybe update a little bit more coloRs and furniture !!! ',false
1096,'Good . ',false
1097,'The location . ',false
1098,'Bathrooms are showing their age . ',false
1099,'Time to renovate ! ',false
1168,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1169,'We stayed for two ni . ',false
1170,'Nice big room upgraded on arrival . ',false
1171,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1172,'Too much antiseptic smell trying to cover up the stale smell . ',false
1173,'Beautiful older building I can appreciate . ',false
1174,'Also they had to turn off the water from midnight to 6 am . ',false
1175,'No big affect as far as comfort ',false
1286,'Good . ',false
1287,'location is good?Cprice is fair . ',false
1288,'its a old hotel , and in my room the curtain fell off ',false
1342,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1343,'Breakfast was good , location excellent , view from room was good . ',true
1344,'Room cleaning service was good . ',false
1345,'Safe place and quiet . ',true
1346,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1347,'The last evening we could not get into our room as we were apparently checked out already . ',false
1348,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1450,'Excellent customer service . ',false
1451,'The staff were very accommodating and helpful . ',false
1452,'Our bathroom shower had mold on the walls . ',false
1453,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1454,'Excellent customer service . ',false
1528,'Good . ',false
1529,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',true
1530,'Maintenance is spotty . ',false
1531,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1590,'Good . ',false
1591,'We really liked the location of the hotel . ',true
1592,'The swimming pool was cold . ',false
1640,'Pleasant . ',false
1641,'Great Location . ',true
1642,'The room have mold . ',false
1643,'They move me to another room becsuse of the noise from the contiguos room . ',false
1702,'Good . ',false
1703,'Close to shopping . ',true
1704,'No heat in bathroom ',false
1748,'Good . ',false
