@relation Lage-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
244,'JJ','good','Good',1,'ROOT','. ',false
245,'.','.','.',0,'punct','Good ',false
246,'DT','the','The',1,'det','view - although ',false
247,'NN','view','view',1,'ROOT','The - although the ',false
248,':','-','-',0,'prep','The view although the windows ',false
249,'IN','although','although',1,'mark','The view - the windows need ',false
250,'DT','the','the',1,'det','view - although windows need cleaning ',false
251,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
252,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
253,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
254,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
255,'TO','to','to',1,'aux','need cleaning or be changed out ',false
256,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
257,'VBN','change','changed',1,'conj','or to be out , as ',false
258,'RP','out','out',1,'prt','to be changed , as they ',false
259,',',',',',',0,'punct','be changed out as they were ',false
260,'IN','as','as',1,'mark','changed out , they were not ',false
261,'PRP','they','they',1,'nsubj','out , as were not clear ',false
262,'VBD','be','were',1,'cop',', as they not clear . ',false
263,'RB','not','not',1,'neg','as they were clear . ',false
264,'JJ','clear','clear',1,'advcl','they were not . ',false
265,'.','.','.',0,'punct','were not clear ',false
266,'NNP','location','Location',1,'nsubj','is excellent . ',false
267,'VBZ','be','is',1,'cop','Location excellent . ',false
268,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
269,'.','.','.',0,'punct','Location is excellent ',false
270,'NN','water','Water',1,'nn','pressure is also ',false
271,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
272,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
273,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
274,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
275,'.','.','.',0,'punct','is also excellent ',false
276,'NN','bathroom','Bathroom',1,'nn','space is very ',false
277,'NN','space','space',1,'nsubj','Bathroom is very small ',false
278,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
279,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
280,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
281,'IN','for','for',1,'prep','is very small potentially 4 people ',false
282,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
283,'CD','0','4',0,'num','small for potentially people . ',false
284,'NNS','people','people',1,'pobj','for potentially 4 . ',false
285,'.','.','.',0,'punct','potentially 4 people ',false
286,'NN','security','Security',1,'nsubj','should be a ',false
287,'MD','should','should',1,'aux','Security be a priority ',false
288,'VB','be','be',1,'cop','Security should a priority , ',false
289,'DT','a','a',1,'det','Security should be priority , as ',false
290,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
291,',',',',',',0,'punct','be a priority as the hotel ',false
292,'IN','as','as',1,'prep','a priority , the hotel below ',false
293,'DT','the','the',1,'det','priority , as hotel below ground ',false
294,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
295,'IN','below','below',1,'prep','as the hotel ground level is ',false
296,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
297,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
