@relation OTHER-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
88,'Good . ',false
89,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
90,'Location is excellent . ',false
91,'Water pressure is also excellent . ',false
92,'Bathroom space is very small for potentially 4 people . ',false
93,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
94,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
95,'Saw a few having episodes the next morning . ',false
150,'Fine . ',false
151,'Gym had no equipment Needs to be upgraded ',false
193,'Enjoyed our stay . ',false
194,'Comfortable and Foot rest . ',false
195,'Next to elevators ',false
307,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
308,'Location was close to the event we were attending . ',false
309,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
310,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
311,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
312,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
313,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
314,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',true
315,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
429,'Acceptably . ',false
430,'Good Location , parking , grocery store in the building . ',false
431,'Old hotel and relevant smell , no sockets in the room at all . ',false
432,'Had to charge cellular in bathroom . ',false
433,'Air condition was terrible . ',false
434,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
435,'It was very cold and uncomfortable . ',false
552,'Stay was okay . ',false
553,'I will consider staying there again . ',false
554,'The location was great , right downtown Montreal . ',false
555,'View was amazing and the bed was comfortable enough . ',false
556,'The hotel was outdated . ',false
557,'Carpet was pretty old and the vent was VERY dusty . ',false
558,'You can actually see the caked on dust . ',false
559,'It does need updating aesthetically . ',false
658,'Good . ',false
659,'The housekeeper was very sweet and she did a great job . ',false
660,'There were some little things like broken lights , mildew and drippy faucet . ',false
661,'The hotel needs a bit of TLC . ',false
662,'Otherwise a nice experience . ',false
663,'The housekeeping staff were very friendly and they did a great job ',false
710,'Good . ',false
711,'Beds are not real . ',false
797,'Meh . ',false
798,'It s in a good location and it s clean . ',false
799,'It s very dated . ',false
800,'The TV did nt work . ',false
801,'The staff at reception are nt warm . ',false
802,'I only stay here if I absolutely have to . ',false
803,'We were stranded with the storm so we booked it last minute . ',false
865,'Rude staff . ',false
866,'The staff gave an unpleasant vibe that started right off the bat . ',false
867,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
935,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
936,'Quiet , comfortable , clean , GREAT LOCATION . ',false
937,'Bar fridge in room was very useful . ',false
938,'Rooms and furniture need updating . ',false
939,'Pool area also needs a makeover . ',false
1015,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
1016,'Quiet , comfortable , clean , GREAT LOCATION . ',false
1017,'Bar fridge in room was very useful . ',false
1018,'Rooms and furniture need updating . ',false
1019,'Pool area also needs a makeover . ',false
1073,'Thangs for the service ! ',false
1074,'The moon light !!!! ',false
1075,'Maybe update a little bit more coloRs and furniture !!! ',false
1132,'Good . ',false
1133,'The location . ',false
1134,'Bathrooms are showing their age . ',false
1135,'Time to renovate ! ',false
1240,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1241,'We stayed for two ni . ',false
1242,'Nice big room upgraded on arrival . ',false
1243,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1244,'Too much antiseptic smell trying to cover up the stale smell . ',false
1245,'Beautiful older building I can appreciate . ',false
1246,'Also they had to turn off the water from midnight to 6 am . ',false
1247,'No big affect as far as comfort ',false
1313,'Good . ',false
1314,'location is good?Cprice is fair . ',false
1315,'its a old hotel , and in my room the curtain fell off ',false
1405,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1406,'Breakfast was good , location excellent , view from room was good . ',true
1407,'Room cleaning service was good . ',false
1408,'Safe place and quiet . ',false
1409,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1410,'The last evening we could not get into our room as we were apparently checked out already . ',false
1411,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1495,'Excellent customer service . ',false
1496,'The staff were very accommodating and helpful . ',false
1497,'Our bathroom shower had mold on the walls . ',false
1498,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1499,'Excellent customer service . ',false
1564,'Good . ',false
1565,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1566,'Maintenance is spotty . ',false
1567,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1617,'Good . ',false
1618,'We really liked the location of the hotel . ',false
1619,'The swimming pool was cold . ',false
1676,'Pleasant . ',false
1677,'Great Location . ',false
1678,'The room have mold . ',false
1679,'They move me to another room becsuse of the noise from the contiguos room . ',false
1729,'Good . ',false
1730,'Close to shopping . ',false
1731,'No heat in bathroom ',false
1766,'Good . ',false
1767,'Service de concierge nest pas sufficient ',false
1831,'Okay . ',false
1832,'Location . ',false
1833,'The room was very tired and overused . ',false
1834,'The room need a facelift . ',false
1835,'The carpet was stained , there was mould in the bathroom . ',false
1889,'Overall nice one . ',false
1890,'Location . ',false
1891,'Facilities ',false
1992,'Good value for money . ',false
1993,'Great location , next to Metro station , big n modern food court , supermarket . ',false
1994,'Walkable to city centre . ',false
1995,'erred an electric teapot to a coffee maker . ',false
1996,'Coffee brewer can be cleaned after each guest . ',false
1997,'. ',false
1998,'sheet is big enough to be tucked under the matress . ',false
1999,'So that it wo nt be rolled up . ',false
2098,'Good cost effectiveness . ',false
2099,'Good location . ',false
2100,'Good location . ',false
2101,'Breakfest could be better . ',false
2102,'There is no room service and the restaurant is closed for dinner , what s is essential . ',false
2103,'Pool is only opened in the evening ! ',false
2172,'Okay . ',false
2173,'Great location . ',false
2174,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',false
2175,'also , the hot water would only work in the morning ',false
2247,'Good . ',false
2248,'Great buffet . ',false
2249,'Too bad there was no fridge in our room since we booked the smaller room . ',false
2250,'Great location . ',false
2251,'Parking was scary but at least it wasn?ft on the street ',false
2349,'The room served its purpose . ',false
2350,'No more and no less . ',false
2351,'Room 718 - It was a very clean room . ',false
2352,'front staff was friendly . ',false
2353,'front entrance was beautiful . ',false
2354,'ked that there was parking underground with easy access to the hotel . ',false
2355,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',false
2439,'Good . ',false
2440,'The lobby was clean and the room was clean and had a great view of the city . ',false
2441,'The restaurant in the hotel was good . ',false
2442,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',false
2443,'The bathrooms were outdated , and seemed a little scummy . ',false
2508,'Good value . ',false
2509,'The location was very convenient and the view from our room was outstanding . ',false
2510,'It needs to be updated . ',false
2511,'It took a full five minutes running the shower before the water was really warm . ',false
2550,'Pleasant . ',false
2551,'very old , needs reformation on comon areas . ',false
2582,'Probably would not stay there again . ',false
2583,'There was no working ice machine . ',false
2669,'Would go back and would recommend to friends . ',false
2670,'The rooms were roomy . ',false
2671,'The location was excellent . ',false
2672,'It was clean and The staff were awesome . ',false
2673,'The air ducts need cleaning . ',false
2674,'When they came on I smelled mould . ',false
2675,'The pool hours were limited and odd . ',false
2726,'Good . ',false
2727,'Location ',false
2769,'Very Good . ',false
2770,'Nice in the city . ',false
2771,'Room has no fridge ',false
2839,'Good . ',false
2840,'Good location . ',false
2841,'Lots of elevators that worked rapidly . ',false
2842,'Old building . ',false
2843,'Not a lot of amenities . ',false
2930,'Home away from home . ',false
2931,'Ideal location of hotel at the heart of downtown Montreal . ',false
2932,'Friendly and helpful staff . ',false
2933,'Trustworthy housekeeping . ',false
2934,'Wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
2935,'Too many homeless people near hotel . ',false
2993,'Pleasant . ',false
2994,'Good location . ',false
2995,'The design is quite old and need change lift to car park ',true
3085,'The hotel was convenient to the airport shuttle and subway . ',false
3086,'The bed was comfy . ',false
3087,'The coffee machine did nt work . ',false
3088,'There was a strange smell in the room . ',false
3089,'The room and hotel was a little tired and tatty . ',false
