@relation OTHER

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute tagwordset1 string
@attribute tagwordset2 string
@attribute tagwordset3 string
@attribute tagwordset4 string
@attribute tagwordset5 string
@attribute tagwordset6 string
@attribute tagwordset7 string
@attribute tagwordset8 string
@attribute aspecttype {true, false}

@data
24,'good ','good ','JJ ','_good_. ',0,0,0,0,0,0,0,0,false
25,'view windows need cleaning be changed were clear ','view window need clean be change be clear ','NN NNS VBP VBG VB VBN VBD JJ ','_view_- _windows_need _need_cleaning _cleaning_or _be_changed _changed_out _were_not _clear_. ',0,0,0,0,0,0,0,0,false
26,'location is excellent ','location be excellent ','NNP VBZ JJ ','_location_is _is_excellent _excellent_. ',0,0,0,0,0,0,0,0,false
27,'water pressure is excellent ','water pressure be excellent ','NN NN VBZ JJ ','_water_pressure _pressure_is _is_also _excellent_. ',0,0,0,0,0,0,0,0,false
28,'bathroom space is small people ','bathroom space be small people ','NN NN VBZ JJ NNS ','_bathroom_space _space_is _is_very _small_for _people_. ',0,0,0,0,0,0,0,0,false
29,'security be priority hotel ground level is connected small inside mall is huge bonus seems be converging space homeless have mental health issues addiction issues ','security be priority hotel ground level be connect small inside mall be huge bonus seem be converging space homeless have mental health issue addiction issue ','NN VB NN NN NN NN VBZ VBN JJ JJ NN VBZ JJ NN VBZ VB JJ NN JJ VBP JJ NN NNS NN NNS ','_security_should _be_a _priority_, _hotel_below _ground_level _level_is _is_connected _connected_to _small_inside _inside_mall _mall_, _is_a _huge_bonus _bonus_, _seems_to _be_a _converging_space _space_for _homeless_, _have_mental _mental_health _health_issues _issues_and _addiction_issues _issues_. ',0,0,0,0,0,0,0,0,true
30,'makes in-predictable have wanted run small kids tow ','make in-predictable have want run small kid tow ','VBZ JJ VB VBN VB JJ NNS NN ','_makes_them _in-predictable_and _have_wanted _wanted_to _run_into _small_kids _kids_in _tow_. ',0,0,0,0,0,0,0,0,false
31,'saw few having episodes next morning ','see few have episode next morning ','VBD JJ VBG NNS JJ NN ','_saw_a _few_having _having_episodes _episodes_the _next_morning _morning_. ',0,0,0,0,0,0,0,0,false
70,'fine ','fine ','NN ','_fine_. ',0,0,0,0,0,0,0,0,false
71,'gym had equipment needs be upgraded ','gym have equipment need be upgrade ','NNP VBD NN NNS VB VBN ','_gym_had _had_no _equipment_needs _needs_to _be_upgraded ',0,0,0,0,0,0,0,0,false
