@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
8,'Good . ',Hotelpersonal-positive,false
9,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Hotelpersonal-positive,false
10,'Location is excellent . ',Hotelpersonal-positive,false
11,'Water pressure is also excellent . ',Hotelpersonal-positive,false
12,'Bathroom space is very small for potentially 4 people . ',Hotelpersonal-positive,false
13,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Hotelpersonal-positive,false
14,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Hotelpersonal-positive,false
15,'Saw a few having episodes the next morning . ',Hotelpersonal-positive,false
130,'Fine . ',Hotelpersonal-positive,false
131,'Gym had no equipment Needs to be upgraded ',Hotelpersonal-positive,false
163,'Enjoyed our stay . ',Hotelpersonal-positive,false
164,'Comfortable and Foot rest . ',Hotelpersonal-positive,false
165,'Next to elevators ',Hotelpersonal-positive,false
217,'Was more economical than other properties I searched in the area but there is room for improvement . ',Hotelpersonal-positive,false
218,'Location was close to the event we were attending . ',Hotelpersonal-positive,false
219,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Hotelpersonal-positive,false
220,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Hotelpersonal-positive,false
221,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Hotelpersonal-positive,false
222,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Hotelpersonal-positive,false
223,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Hotelpersonal-positive,false
224,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Hotelpersonal-positive,false
225,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Hotelpersonal-positive,false
359,'Acceptably . ',Hotelpersonal-positive,false
360,'Good Location , parking , grocery store in the building . ',Hotelpersonal-positive,false
361,'Old hotel and relevant smell , no sockets in the room at all . ',Hotelpersonal-positive,false
362,'Had to charge cellular in bathroom . ',Hotelpersonal-positive,false
363,'Air condition was terrible . ',Hotelpersonal-positive,false
364,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Hotelpersonal-positive,false
365,'It was very cold and uncomfortable . ',Hotelpersonal-positive,false
472,'Stay was okay . ',Hotelpersonal-positive,false
473,'I will consider staying there again . ',Hotelpersonal-positive,false
474,'The location was great , right downtown Montreal . ',Hotelpersonal-positive,false
475,'View was amazing and the bed was comfortable enough . ',Hotelpersonal-positive,false
476,'The hotel was outdated . ',Hotelpersonal-positive,false
477,'Carpet was pretty old and the vent was VERY dusty . ',Hotelpersonal-positive,false
478,'You can actually see the caked on dust . ',Hotelpersonal-positive,false
479,'It does need updating aesthetically . ',Hotelpersonal-positive,false
598,'Good . ',Hotelpersonal-positive,false
599,'The housekeeper was very sweet and she did a great job . ',Hotelpersonal-positive,true
600,'There were some little things like broken lights , mildew and drippy faucet . ',Hotelpersonal-positive,false
601,'The hotel needs a bit of TLC . ',Hotelpersonal-positive,false
602,'Otherwise a nice experience . ',Hotelpersonal-positive,false
603,'The housekeeping staff were very friendly and they did a great job ',Hotelpersonal-positive,true
690,'Good . ',Hotelpersonal-positive,false
691,'Beds are not real . ',Hotelpersonal-positive,false
727,'Meh . ',Hotelpersonal-positive,false
728,'It s in a good location and it s clean . ',Hotelpersonal-positive,false
729,'It s very dated . ',Hotelpersonal-positive,false
730,'The TV did nt work . ',Hotelpersonal-positive,false
731,'The staff at reception are nt warm . ',Hotelpersonal-positive,false
732,'I only stay here if I absolutely have to . ',Hotelpersonal-positive,false
733,'We were stranded with the storm so we booked it last minute . ',Hotelpersonal-positive,false
835,'Rude staff . ',Hotelpersonal-positive,false
836,'The staff gave an unpleasant vibe that started right off the bat . ',Hotelpersonal-positive,false
837,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Hotelpersonal-positive,false
885,'Good location , adequate for our stay , Would stay there again if the price was right . ',Hotelpersonal-positive,false
886,'Quiet , comfortable , clean , GREAT LOCATION . ',Hotelpersonal-positive,false
887,'Bar fridge in room was very useful . ',Hotelpersonal-positive,false
888,'Rooms and furniture need updating . ',Hotelpersonal-positive,false
889,'Pool area also needs a makeover . ',Hotelpersonal-positive,false
965,'Good location , adequate for our stay , Would stay there again if the price was right . ',Hotelpersonal-positive,false
966,'Quiet , comfortable , clean , GREAT LOCATION . ',Hotelpersonal-positive,false
967,'Bar fridge in room was very useful . ',Hotelpersonal-positive,false
968,'Rooms and furniture need updating . ',Hotelpersonal-positive,false
969,'Pool area also needs a makeover . ',Hotelpersonal-positive,false
1043,'Thangs for the service ! ',Hotelpersonal-positive,false
1044,'The moon light !!!! ',Hotelpersonal-positive,false
1045,'Maybe update a little bit more coloRs and furniture !!! ',Hotelpersonal-positive,false
1092,'Good . ',Hotelpersonal-positive,false
1093,'The location . ',Hotelpersonal-positive,false
1094,'Bathrooms are showing their age . ',Hotelpersonal-positive,false
1095,'Time to renovate ! ',Hotelpersonal-positive,false
1160,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',Hotelpersonal-positive,false
1161,'We stayed for two ni . ',Hotelpersonal-positive,false
1162,'Nice big room upgraded on arrival . ',Hotelpersonal-positive,false
1163,'The smell in lobby when you first walk in it smells stale like a nursing home . ',Hotelpersonal-positive,false
1164,'Too much antiseptic smell trying to cover up the stale smell . ',Hotelpersonal-positive,false
1165,'Beautiful older building I can appreciate . ',Hotelpersonal-positive,false
1166,'Also they had to turn off the water from midnight to 6 am . ',Hotelpersonal-positive,false
1167,'No big affect as far as comfort ',Hotelpersonal-positive,false
1283,'Good . ',Hotelpersonal-positive,false
1284,'location is good?Cprice is fair . ',Hotelpersonal-positive,false
1285,'its a old hotel , and in my room the curtain fell off ',Hotelpersonal-positive,false
1335,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',Hotelpersonal-positive,false
1336,'Breakfast was good , location excellent , view from room was good . ',Hotelpersonal-positive,false
1337,'Room cleaning service was good . ',Hotelpersonal-positive,false
1338,'Safe place and quiet . ',Hotelpersonal-positive,false
1339,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',Hotelpersonal-positive,false
1340,'The last evening we could not get into our room as we were apparently checked out already . ',Hotelpersonal-positive,false
1341,'No room service , no bar except during lunch time Not quite 4 star standard ',Hotelpersonal-positive,false
1445,'Excellent customer service . ',Hotelpersonal-positive,true
1446,'The staff were very accommodating and helpful . ',Hotelpersonal-positive,true
1447,'Our bathroom shower had mold on the walls . ',Hotelpersonal-positive,false
1448,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',Hotelpersonal-positive,true
1449,'Excellent customer service . ',Hotelpersonal-positive,true
1524,'Good . ',Hotelpersonal-positive,false
1525,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',Hotelpersonal-positive,false
1526,'Maintenance is spotty . ',Hotelpersonal-positive,false
1527,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',Hotelpersonal-positive,false
1587,'Good . ',Hotelpersonal-positive,false
1588,'We really liked the location of the hotel . ',Hotelpersonal-positive,false
1589,'The swimming pool was cold . ',Hotelpersonal-positive,false
1636,'Pleasant . ',Hotelpersonal-positive,false
1637,'Great Location . ',Hotelpersonal-positive,false
1638,'The room have mold . ',Hotelpersonal-positive,false
1639,'They move me to another room becsuse of the noise from the contiguos room . ',Hotelpersonal-positive,false
1699,'Good . ',Hotelpersonal-positive,false
