@relation service#general

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
10,'Judging from previous posts this used to be a good place , but not any longer . ',false
22,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',true
34,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',true
46,'The food was lousy - too sweet or too salty and the portions tiny . ',false
58,'After all that , they complained to me about the small tip . ',true
70,'Avoid this place ! ',false
82,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
94,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
106,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
118,'The wine list is interesting and has many good values . ',false
130,'For the price , you can not eat this well in Manhattan . ',false
142,'I was very disappointed with this restaurant . ',false
154,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',true
166,'I had to ask her three times before she finally came back with the dish Ive requested . ',true
178,'Food was okay , nothing great . ',false
190,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
202,'I / we will never go back to this place again . ',false
214,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
226,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',true
238,'You ca nt go wrong here . ',false
250,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
262,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',true
274,'I had the duck breast special on my last visit and it was incredible . ',false
286,'Ca nt wait wait for my next visit . ',false
298,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
310,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',true
322,'we love th pink pony . ',false
334,'THe perfect spot . ',false
346,'Food - awesome . ',false
358,'Service- friendly and attentive . ',true
370,'Ambiance - relaxed and stylish . ',false
382,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
394,'the food is decent . ',false
406,'however , it s the service that leaves a bad taste in my mouth . ',true
418,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',true
430,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',true
442,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
454,'the last time i walked by it looked pretty empty . ',false
466,'hmmm . ',false
478,'This place has got to be the best japanese restaurant in the new york area . ',false
490,'I had a great experience . ',false
502,'Food is great . ',false
514,'Service is top notch . ',true
526,'I have been going back again and again . ',false
538,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
550,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
562,'The sushi seemed pretty fresh and was adequately proportioned . ',false
574,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',false
586,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ',false
598,'Surprisingly nothing could be further from the truth . ',false
610,'In the evening , this place attracted a well dressed , with it , NY crowd . ',false
622,'The food was well prepared and the service impecable . ',true
634,'I m going back . ',false
646,'The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . ',false
658,'I will be going back and heartily recommend it ! ',false
670,'$ 6 and there is much tasty food , all of it fresh and continually refilled . ',false
682,'I am not a vegetarian but , almost all the dishes were great . ',false
694,'I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing . ',false
706,'The service varys from day to day - sometimes they re very nice , and sometimes not . ',true
718,'The kitchen however , is almost always slow . ',true
730,'Also , specify if you like your food spicy - its rather bland if you dont . ',false
742,'The ambience is pretty and nice for conversation , so a casual lunch here would probably be best . ',false
754,'However , go for the ambience , and consider the food just a companion for a trip across the world ! ',false
766,'It looked like shredded cheese partly done - still in strips . ',false
778,'Yes , they use fancy ingredients , but even fancy ingredients do nt make for good pizza unless someone knows how to get the crust right . ',false
790,'A big disappointment , all around . ',false
802,'I think I ve had some the best meals of my life at minnow . ',false
814,'The seafood is amazing , there s a good wine list , and the ever - changing menu always offers some great surprises . ',false
826,'The combination of super-fresh ingredients in the dishes are unusual but really delicious . ',false
838,'Worth the trip from Manhattan . ',false
850,'This place is worth an one - hour drive . ',false
862,'I am so coming back here again , as much as I can . ',false
874,'Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere . ',false
886,'My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . ',true
898,'Have been dozens of times and never failed to enjoy the experience . ',false
910,'Our teenage kids love it , too . ',false
922,'Everytime I decide to try another place on the UES , I get angry that I did nt just go to Zucchero Pomodori . ',false
934,'This is by far my favorite place in the neighborhood . ',false
946,'The service is excellent , the decor is great , and the food is delicious and comes in large portions . ',true
958,'We have been to this place many times , and always have great food , wine , and service . ',true
970,'We were worried we would have trouble getting in , but somehow managed to have a short wait . ',true
982,'As always we had a great glass of wine while we waited . ',false
994,'When we sat , we got great and fast service . ',true
1006,'The people that work there are always so friendly you forget you are in New York sometimes . ',true
1018,'Make sure you try this place as often as you can . ',false
1030,'This is a fun restaurant to go to . ',false
1042,'The pizza is yummy and I like the atmoshpere . ',false
1054,'But the pizza is way to expensive . ',false
1066,'A large is $ 20 , and toppings are about $ 3 each . ',false
1078,'I went there for lunch and it was not as good as I expected from the reviews I read . ',false
1090,'Sauce was watery and the food did nt have much flavor . ',false
1102,'Service was prompt , friendly and great . ',true
1114,'Slightly on the pricey side but worth it ! ',false
1126,'Great pizza and fantastic service . ',true
1138,'There was a small wait , but shorter than I expected . ',true
1150,'Located at the end of a magnificent block . ',false
1162,'Very cozy and warm inside . ',false
1174,'I will be back ! ',false
1186,'This is the best sushi in new york city - hands down . ',false
1198,'The place is small and cramped but the food is fantastic . ',false
1210,'Get the tuna of gari . ',false
1222,'It s all about the food !! ',false
1234,'but when we looked at the menu , there were nt a lot of choices , most of them were dumplings in the appetizer section . ',false
1246,'The Steak Tartare is a great bet , they fix it for you at the table . ',false
1258,'Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm . ',false
1270,'Great wine selection , Gigondas is worth the price , and the house champagne is a great value . ',false
1282,'It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area . ',false
1294,'Have recommended the place to friends , always gets good response . ',false
1306,'Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread ! ',false
1318,'I take all my NYC guests to VTs . ',false
1330,'Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food ! ',false
1342,'I ve been there three times and have always had wonderful experiences . ',false
1354,'I d highly recommend it for a special occasion -- it provides and intimate setting and nice service . ',true
1366,'I m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . ',false
1378,'and we re repeat customers . ',false
1390,'Even after they overcharged me the last time I was there . ',true
1402,'Make sure you have the Spicy Scallop roll . ',false
1414,'. ',false
1426,'it s delicious ! ',false
1438,'Moules were excellent , lobster ravioli was VERY salty ! ',false
1450,'Took my mom for Mother s Day , and the maitre d  was pretty rude . ',true
1462,'Told us to sit anywhere , and when we sat he said the table was reserved . ',true
1474,'Stepped on my foot on the SECOND time he reached over me to adjust lighting . ',true
1486,'Tiny dessert was $ 8.00.just plain overpriced for what it is . ',false
1498,'The drinks are always welll made and wine selection is fairly priced . ',false
1510,'Try their chef s specials -- they are to die for . ',false
1522,'Service is not exactly five star , but that s not really a big deal . ',true
1534,'Downstairs lounge is always a good attraction ',false
1546,'Raga s is a romantic , cozy restaurant . ',false
1558,'The exotic food is beautifully presented and is a delight in delicious combinations . ',false
1570,'It is also extremely well priced . ',false
1582,'The staff is incredibly helpful and attentive . ',true
1594,'The bar is very well stocked with interesting beers and well priced wines . ',false
1606,'This is one of my favorite restaurants and it is not to be missed . ',false
1618,'Your friends will thank you for introducing them to this gem ! ',false
1630,'When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong . ',false
1642,'The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no. ',true
1654,'Then , to top things off , she dropped used silverware on my boyfriend s jacket and did not stop to apologize or clean the mess that was left on clothes . ',true
1666,'Such a disappointment . ',true
1678,'Rude service , medicore food.there are tons of restaurants in NY.stay away from this one ',true
1690,'I had a grat time at Jekyll and Hyde ! ',false
1702,'I loved everythig about it - especially the shows and actors . ',false
1714,'Our server was very helpful and friendly . ',true
1726,'I am bringing my whole family back next time . ',false
1738,'The food was good too . ',false
1750,'The tuna and wasabe potatoes are excellent . ',false
1762,'The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . ',false
1774,'Inside is a little cramped , but to be expected . ',false
1786,'Service was prompt and courteous . ',true
1798,'This was a repeat visit and we ll definitely be back again . ',false
1810,'Great service , great food . ',true
1822,'Prices are in line . ',false
1834,'The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzarias . ',false
1846,'Two complaints - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu . ',false
1858,'Also , because it is so thin , it gets cold very quickly and its not that filling . ',false
1870,'By far the best salad I have had in a fast food restaurant . ',false
1882,'fine dining restaurant quality . ',false
1894,'Over 100 different choices to create your own . ',false
