@relation service#general

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
1,0.02666666666666667,0.4,-0.2,-0.03333333333333333,1.0,0.0,0.0,0.0,0.0,'target_staff','We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude ','PRP , EX VBD CD IN PRP , VBD IN NN : DT NN VBD JJ : CC DT NN VBD IN PRP VBD VBG IN PRP CC PRP VBD RB JJ . ',30,0,1,1,0,0,0,0,0,0,negative
2,0.022222222222222223,0.0,-0.4,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,'target_NULL','They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table ','PRP RB VBD PRP JJ NNS , VBN VBN NNS IN NN , CC VBD PRP$ NNS IN DT NN . ',18,0,1,0,0,0,0,0,0,0,negative
5,0.03636363636363637,0.0,-0.4,-0.09090909090909091,0.0,0.0,-0.0303030303030303,0.0,0.0,'target_NULL','After all that, they complained to me about the small tip ','IN PDT DT , PRP VBD IN PRP IN DT JJ NN . ',11,0,1,0,0,0,0,0,0,0,negative
16,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,0.0,'target_cart attendant','Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away ','NNP VBD DT NN NN IN DT JJ NN VBD NN CC PRP VBD RB NN CC RB VBD RB . ',20,0,1,0,0,0,0,0,0,0,negative
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.3333333333333333,0.0,'target_NULL','I had to ask her three times before she finally came back with the dish Ive requested ','PRP VBD TO VB PRP CD NNS IN PRP RB VBD RB IN DT NN NNP VBD . ',17,0,1,1,0,0,0,0,0,0,negative
24,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,1.0,0.0,'target_Service','Service was devine, oysters where a sensual as they come, and the price cant be beat ','NN VBD JJ , NNS WRB DT NN IN PRP VBP , CC DT NN MD RB VB VBN . ',16,1,3,0,0,1,0,0,0,0,positive
30,0.013333333333333334,0.2,0.0,0.06666666666666667,1.0,0.0,0.03333333333333333,0.5,0.0,'target_service','Everything is always cooked to perfection, the service is excellent, the decor cool and understated ','NN VBZ RB VBN IN NN , DT NN VBZ JJ , DT NN JJ CC JJ . ',15,0,3,0,0,0,0,0,0,0,positive
36,0.05714285714285714,0.6,-0.6,0.0,1.0,0.0,0.0,0.0,0.0,'target_service','We went around 9:30 on a Friday and it had died down a bit by then so the service was great ','PRP VBD RB CD IN DT NNP CC PRP VBD VBN IN DT NN IN RB RB DT NN VBD JJ . ',21,1,1,1,0,0,0,0,0,0,positive
40,0.1,0.4,0.0,0.5,1.0,0.0,0.5,1.0,0.0,'target_Service','Service- friendly and attentive ','VB JJ CC JJ . ',4,0,1,0,0,0,0,0,0,0,positive
44,0.049999999999999996,0.0,-0.6,-0.08333333333333333,0.0,0.0,-0.08333333333333333,0.0,0.0,'target_service','however, its the service that leaves a bad taste in my mouth ','RB , PRP VBZ DT NN WDT VBZ DT JJ NN IN PRP$ NN . ',12,0,1,0,0,0,0,0,0,0,negative
