@relation Sauberkeit

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
0,-0.0,'windows','dep_need ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
1,-0.0,'windows','dep_need ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
15,-0.0,'grout','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
16,-0.0,'carpet','dep_stained ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
25,-0.1111111111111111,'smell','dep_relevant dep_hotel ','dep_relevant_hotel ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
33,-0.16666666666666666,'vent','dep_dusty ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
38,-0.16666666666666666,'faucet','dep_mildew ','dep_mildew_were ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
67,-0.13888888888888887,'smells','dep_walk dep_stale ','dep_walk_stale ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
94,0.0,'drain','dep_Bathtub dep_scuffed dep_clogged dep_ dep_work dep_makers ','dep_Bathtub_scuffed dep_scuffed_clogged dep_clogged_ dep__work dep_work_makers ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,negative
106,0.0,'carpet','dep_stained ','',0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
130,0.39999999999999997,'lobby','dep_clean ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
131,0.39999999999999997,'room','dep_clean ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
135,0.0,'bathrooms','dep_outdated ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
148,0.0,'ducts','dep_air dep_need ','dep_air_need ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
169,0.06666666666666667,'smell','dep_strange ','dep_strange_was ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
202,0.19047619047619047,'hotel','dep_nice dep_clean dep_hotel dep_ ','dep_nice_clean dep_clean_hotel dep_hotel_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
207,-0.01904761904761905,'smelled','dep_room dep_smelled dep_like dep_ dep_moved dep_ ','dep_room_smelled dep_smelled_like dep_like_ dep__and dep_moved_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
271,0.7999999999999999,'room','dep_clean ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
276,-0.39999999999999997,'room','dep_clean dep_Location ','dep_clean_Location ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
288,-0.0,'room','dep_washcloths dep_cleaned ','dep_washcloths_cleaned ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
297,-0.0,'room','dep_washcloths dep_cleaned ','dep_washcloths_cleaned ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
311,-0.0,'clean','dep_keep ','',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
317,0.7999999999999999,'Room','dep_clean ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
318,0.0,'cleaning','dep_servicrd ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
319,0.7999999999999999,'Room','dep_clean ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
372,0.08333333333333333,'sink','dep_leaky dep_work dep_ dep_outlet ','dep_leaky_work dep_work_ dep__outlet ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
379,-0.0,'windows','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
380,0.26666666666666666,'window','dep_dirty ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
381,-0.0,'vents','dep_filled ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
382,0.16666666666666666,'dustballs','dep_dust dep_ ','dep_dust_ dep__with ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
383,-0.0,'cleaning','dep_Deep dep_done ','dep_Deep_done ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
390,0.0,'shower','dep_head ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,negative
