@relation Lage-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
80,'Good . ',false
81,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
82,'Location is excellent . ',false
83,'Water pressure is also excellent . ',false
84,'Bathroom space is very small for potentially 4 people . ',false
85,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
86,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
87,'Saw a few having episodes the next morning . ',false
148,'Fine . ',false
149,'Gym had no equipment Needs to be upgraded ',false
190,'Enjoyed our stay . ',false
191,'Comfortable and Foot rest . ',false
192,'Next to elevators ',false
298,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
299,'Location was close to the event we were attending . ',false
300,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
301,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
302,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
303,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
304,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
305,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
306,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
422,'Acceptably . ',false
423,'Good Location , parking , grocery store in the building . ',false
424,'Old hotel and relevant smell , no sockets in the room at all . ',false
425,'Had to charge cellular in bathroom . ',false
426,'Air condition was terrible . ',false
427,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
428,'It was very cold and uncomfortable . ',false
544,'Stay was okay . ',false
545,'I will consider staying there again . ',false
546,'The location was great , right downtown Montreal . ',false
547,'View was amazing and the bed was comfortable enough . ',false
548,'The hotel was outdated . ',false
549,'Carpet was pretty old and the vent was VERY dusty . ',false
550,'You can actually see the caked on dust . ',false
551,'It does need updating aesthetically . ',false
652,'Good . ',false
653,'The housekeeper was very sweet and she did a great job . ',false
654,'There were some little things like broken lights , mildew and drippy faucet . ',false
655,'The hotel needs a bit of TLC . ',false
656,'Otherwise a nice experience . ',false
657,'The housekeeping staff were very friendly and they did a great job ',false
