@relation restaurant#general

@attribute id numeric
@attribute unigram string
@attribute unigram_lemma string
@attribute bigram string
@attribute bigram_lemma string
@attribute pos_bigrams string
@attribute aspecttype {true, false}

@data
0,'Judging from previous posts this used to be a good place , but not any longer . ','judge from previous post this use to be a good place , but not any long . ','Judging_from from_previous previous_posts posts_this this_used used_to to_be be_a a_good good_place place_, ,_but but_not not_any any_longer longer_. ','judge_from from_previous previous_post post_this this_use use_to to_be be_a a_good good_place place_, ,_but but_not not_any any_long long_. ','VBG_IN IN_JJ JJ_NNS NNS_DT DT_VBD VBD_TO TO_VB VB_DT DT_JJ JJ_NN NN_, ,_CC CC_RB RB_DT DT_RBR RBR_. ',true
12,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ','we , there be #crd# of us , arrive at noon - the place be empty - and the staff act like we be impose on them and they be very rude . ','We_, ,_there there_were were_four four_of of_us us_, ,_arrived arrived_at at_noon noon_- -_the the_place place_was was_empty empty_- -_and and_the the_staff staff_acted acted_like like_we we_were were_imposing imposing_on on_them them_and and_they they_were were_very very_rude rude_. ','we_, ,_there there_be be_#crd# #crd#_of of_us us_, ,_arrive arrive_at at_noon noon_- -_the the_place place_be be_empty empty_- -_and and_the the_staff staff_act act_like like_we we_be be_impose impose_on on_them them_and and_they they_be be_very very_rude rude_. ','PRP_, ,_EX EX_VBD VBD_CD CD_IN IN_PRP PRP_, ,_VBD VBD_IN IN_NN NN_: :_DT DT_NN NN_VBD VBD_JJ JJ_: :_CC CC_DT DT_NN NN_VBD VBD_IN IN_PRP PRP_VBD VBD_VBG VBG_IN IN_PRP PRP_CC CC_PRP PRP_VBD VBD_RB RB_JJ JJ_. ',false
24,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ','they never bring us complimentary noodle , ignore repeat request for sugar , and throw our dish on the table . ','They_never never_brought brought_us us_complimentary complimentary_noodles noodles_, ,_ignored ignored_repeated repeated_requests requests_for for_sugar sugar_, ,_and and_threw threw_our our_dishes dishes_on on_the the_table table_. ','they_never never_bring bring_us us_complimentary complimentary_noodle noodle_, ,_ignore ignore_repeat repeat_request request_for for_sugar sugar_, ,_and and_throw throw_our our_dish dish_on on_the the_table table_. ','PRP_RB RB_VBD VBD_PRP PRP_JJ JJ_NNS NNS_, ,_VBN VBN_VBN VBN_NNS NNS_IN IN_NN NN_, ,_CC CC_VBD VBD_PRP$ PRP$_NNS NNS_IN IN_DT DT_NN NN_. ',false
36,'The food was lousy - too sweet or too salty and the portions tiny . ','the food be lousy - too sweet or too salty and the portion tiny . ','The_food food_was was_lousy lousy_- -_too too_sweet sweet_or or_too too_salty salty_and and_the the_portions portions_tiny tiny_. ','the_food food_be be_lousy lousy_- -_too too_sweet sweet_or or_too too_salty salty_and and_the the_portion portion_tiny tiny_. ','DT_NN NN_VBD VBD_JJ JJ_: :_RB RB_JJ JJ_CC CC_RB RB_JJ JJ_CC CC_DT DT_NNS NNS_JJ JJ_. ',false
48,'After all that , they complained to me about the small tip . ','after all that , they complain to me about the small tip . ','After_all all_that that_, ,_they they_complained complained_to to_me me_about about_the the_small small_tip tip_. ','after_all all_that that_, ,_they they_complain complain_to to_me me_about about_the the_small small_tip tip_. ','IN_PDT PDT_DT DT_, ,_PRP PRP_VBD VBD_IN IN_PRP PRP_IN IN_DT DT_JJ JJ_NN NN_. ',false
60,'Avoid this place ! ','avoid this place ! ','Avoid_this this_place place_! ','avoid_this this_place place_! ','VB_DT DT_NN NN_. ',true
72,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ','I have eat at saul , many time , the food be always consistently , outrageously good . ','I_have have_eaten eaten_at at_Saul Saul_, ,_many many_times times_, ,_the the_food food_is is_always always_consistently consistently_, ,_outrageously outrageously_good good_. ','I_have have_eat eat_at at_saul saul_, ,_many many_time time_, ,_the the_food food_be be_always always_consistently consistently_, ,_outrageously outrageously_good good_. ','PRP_VBP VBP_VBN VBN_IN IN_NNP NNP_, ,_JJ JJ_NNS NNS_, ,_DT DT_NN NN_VBZ VBZ_RB RB_RB RB_, ,_RB RB_JJ JJ_. ',false
84,'Saul is the best restaurant on Smith Street and in Brooklyn . ','saul be the good restaurant on smith street and in brooklyn . ','Saul_is is_the the_best best_restaurant restaurant_on on_Smith Smith_Street Street_and and_in in_Brooklyn Brooklyn_. ','saul_be be_the the_good good_restaurant restaurant_on on_smith smith_street street_and and_in in_brooklyn brooklyn_. ','NNP_VBZ VBZ_DT DT_JJS JJS_NN NN_IN IN_NNP NNP_NNP NNP_CC CC_IN IN_NNP NNP_. ',true
96,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ','the duck confit be always amazing and the foie gras terrine with fig be out of this world . ','The_duck duck_confit confit_is is_always always_amazing amazing_and and_the the_foie foie_gras gras_terrine terrine_with with_figs figs_was was_out out_of of_this this_world world_. ','the_duck duck_confit confit_be be_always always_amazing amazing_and and_the the_foie foie_gras gras_terrine terrine_with with_fig fig_be be_out out_of of_this this_world world_. ','DT_NN NN_NN NN_VBZ VBZ_RB RB_JJ JJ_CC CC_DT DT_NN NN_NNS NNS_VBP VBP_IN IN_NNS NNS_VBD VBD_IN IN_IN IN_DT DT_NN NN_. ',false
108,'The wine list is interesting and has many good values . ','the wine list be interesting and have many good value . ','The_wine wine_list list_is is_interesting interesting_and and_has has_many many_good good_values values_. ','the_wine wine_list list_be be_interesting interesting_and and_have have_many many_good good_value value_. ','DT_NN NN_NN NN_VBZ VBZ_JJ JJ_CC CC_VBZ VBZ_JJ JJ_JJ JJ_NNS NNS_. ',false
