@relation Sauberkeit

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
7,0,2,10.0
15,0,0,10.0
23,0,0,10.0
31,0,2,10.0
39,0,1,10.0
47,0,1,10.0
55,0,1,10.0
63,0,0,10.0
71,0,0,10.0
79,0,0,10.0
87,0,0,10.0
95,0,0,10.0
103,0,0,10.0
111,0,0,10.0
119,0,1,10.0
127,0,0,10.0
135,0,0,10.0
143,0,0,10.0
151,0,1,10.0
159,0,0,10.0
167,0,0,10.0
175,0,0,10.0
183,0,0,10.0
191,0,1,10.0
199,0,0,10.0
207,0,0,10.0
215,0,0,10.0
223,0,0,10.0
231,0,0,10.0
239,0,0,10.0
247,2,1,10.0
255,0,0,10.0
263,0,0,10.0
271,0,0,10.0
279,0,1,10.0
287,0,0,10.0
295,0,0,10.0
303,0,0,10.0
311,0,0,10.0
319,0,0,10.0
327,0,1,10.0
335,0,0,10.0
343,0,0,10.0
351,0,0,10.0
359,0,0,10.0
367,0,0,10.0
375,1,0,10.0
383,0,1,10.0
391,0,0,10.0
399,0,0,10.0
407,0,0,10.0
415,0,0,10.0
423,0,0,10.0
431,0,0,10.0
439,0,0,10.0
447,0,0,10.0
455,0,0,10.0
463,0,0,10.0
471,0,0,10.0
479,1,0,10.0
487,0,0,10.0
495,1,0,10.0
503,0,0,10.0
511,0,1,10.0
519,0,1,10.0
527,0,0,10.0
535,0,0,10.0
543,0,1,10.0
551,0,0,10.0
559,3,0,10.0
567,0,0,10.0
575,0,0,10.0
583,0,0,10.0
591,0,0,10.0
599,0,0,10.0
607,0,0,10.0
615,0,0,10.0
623,0,0,10.0
631,0,0,10.0
639,0,1,10.0
647,0,5,10.0
655,0,0,10.0
663,0,1,10.0
671,0,1,10.0
679,0,0,10.0
687,0,0,10.0
695,0,0,10.0
703,0,1,10.0
711,0,0,10.0
719,1,0,10.0
727,0,0,10.0
735,0,0,10.0
743,0,0,10.0
751,1,0,10.0
759,0,1,10.0
767,0,0,10.0
775,0,1,10.0
783,0,0,10.0
791,2,0,10.0
799,0,0,10.0
807,0,1,10.0
815,0,0,10.0
823,2,0,10.0
831,0,0,10.0
839,0,0,10.0
847,0,0,10.0
855,0,0,10.0
863,0,0,10.0
871,1,0,10.0
879,0,1,10.0
887,0,0,10.0
895,0,0,10.0
903,0,0,10.0
911,0,0,10.0
919,0,0,10.0
927,0,0,10.0
935,0,3,10.0
943,0,0,10.0
951,0,0,10.0
959,1,0,10.0
967,0,0,10.0
975,0,0,10.0
983,0,0,10.0
991,0,0,10.0
999,0,0,10.0
1007,0,0,10.0
1015,0,0,10.0
1023,0,0,10.0
1031,0,0,10.0
1039,0,0,10.0
1047,0,0,10.0
1055,0,0,10.0
1063,0,0,10.0
1071,0,1,10.0
1079,0,0,10.0
1087,0,0,10.0
1095,0,0,10.0
1103,0,0,10.0
1111,0,1,10.0
1119,0,0,10.0
1127,0,0,10.0
1135,0,0,10.0
1143,0,0,10.0
1151,0,0,10.0
1159,0,0,10.0
1167,0,0,10.0
1175,0,0,10.0
1183,0,0,10.0
1191,0,0,10.0
1199,0,0,10.0
1207,0,0,10.0
