@relation OTHER

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_homeless','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_homeless','good . the view - although the window need clean or to be change out , as they be not clear . location be excellent . water pressure be also excellent . bathroom space be very small for potentially 0 people . security should be a priority , as the hotel below ground level be connect to a small inside mall , which be a huge bonus , but - it also seem to be a converging space for the homeless , who have mental health issue and addiction issue . make them very in-predictable and I would not have want to run into #crd# of them with small kid in tow . see a few have episode the next morning . ',negative
0,'target_stay','enjoy our stay . comfortable and foot rest . next to elevator ',positive
0,'target_vehicles','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_TLC','good . the housekeeper be very sweet and she do a great job . there be some little thing like break light , mildew and drippy faucet . the hotel need a bit of tlc . otherwise a nice experience . the housekeeping staff be very friendly and they do a great job ',negative
0,'target_experience','good . the housekeeper be very sweet and she do a great job . there be some little thing like break light , mildew and drippy faucet . the hotel need a bit of tlc . otherwise a nice experience . the housekeeping staff be very friendly and they do a great job ',positive
0,'target_stay','good location , adequate for our stay , would stay there again if the price be right . quiet , comfortable , clean , great location . bar fridge in room be very useful . room and furniture need update . pool area also need a makeover . ',positive
0,'target_stay','good location , adequate for our stay , would stay there again if the price be right . quiet , comfortable , clean , great location . bar fridge in room be very useful . room and furniture need update . pool area also need a makeover . ',positive
0,'target_Breakfast','the stay be ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . breakfast be good , location excellent , view from room be good . room clean service be good . safe place and quiet . no usb pports and no power point for electronic device ; most furniture be old and my bed squeak . the last evening we could not get into our room as we be apparently check out already . no room service , no bar except during lunch time not quite 0 star standard ',positive
0,'target_buffet','good . great buffet . too bad there be no fridge in our room since we book the small room . great location . parking be scary but at least it wasn?ft on the street ',positive
