@relation Lage-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1220,'JJ','good','Good',1,'ROOT','. ',false
1221,'.','.','.',0,'punct','Good ',false
1222,'DT','the','The',1,'det','view - although ',false
1223,'NN','view','view',1,'ROOT','The - although the ',false
1224,':','-','-',0,'prep','The view although the windows ',false
1225,'IN','although','although',1,'mark','The view - the windows need ',false
1226,'DT','the','the',1,'det','view - although windows need cleaning ',false
1227,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1228,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1229,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1230,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1231,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1232,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1233,'VBN','change','changed',1,'conj','or to be out , as ',false
1234,'RP','out','out',1,'prt','to be changed , as they ',false
1235,',',',',',',0,'punct','be changed out as they were ',false
1236,'IN','as','as',1,'mark','changed out , they were not ',false
1237,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1238,'VBD','be','were',1,'cop',', as they not clear . ',false
1239,'RB','not','not',1,'neg','as they were clear . ',false
1240,'JJ','clear','clear',1,'advcl','they were not . ',false
1241,'.','.','.',0,'punct','were not clear ',false
1242,'NNP','location','Location',1,'nsubj','is excellent . ',false
1243,'VBZ','be','is',1,'cop','Location excellent . ',false
1244,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1245,'.','.','.',0,'punct','Location is excellent ',false
1246,'NN','water','Water',1,'nn','pressure is also ',false
1247,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1248,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1249,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1250,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1251,'.','.','.',0,'punct','is also excellent ',false
1252,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1253,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1254,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1255,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1256,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1257,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1258,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1259,'CD','0','4',0,'num','small for potentially people . ',false
1260,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1261,'.','.','.',0,'punct','potentially 4 people ',false
1262,'NN','security','Security',1,'nsubj','should be a ',false
1263,'MD','should','should',1,'aux','Security be a priority ',false
1264,'VB','be','be',1,'cop','Security should a priority , ',false
1265,'DT','a','a',1,'det','Security should be priority , as ',false
1266,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
1267,',',',',',',0,'punct','be a priority as the hotel ',false
1268,'IN','as','as',1,'prep','a priority , the hotel below ',false
1269,'DT','the','the',1,'det','priority , as hotel below ground ',false
1270,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
1271,'IN','below','below',1,'prep','as the hotel ground level is ',false
1272,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
1273,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
1274,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
1275,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
1276,'IN','to','to',1,'prep','level is connected a small inside ',false
1277,'DT','a','a',1,'det','is connected to small inside mall ',false
1278,'JJ','small','small',1,'amod','connected to a inside mall , ',false
1279,'JJ','inside','inside',1,'amod','to a small mall , which ',false
1280,'NN','mall','mall',1,'pobj','a small inside , which is ',false
1281,',',',',',',0,'punct','small inside mall which is a ',false
1282,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
1283,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
1284,'DT','a','a',1,'det',', which is huge bonus , ',false
1285,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
1286,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
1287,',',',',',',0,'punct','a huge bonus but - it ',false
1288,'CC','but','but',1,'cc','huge bonus , - it also ',false
1289,',','-','-',0,'punct','bonus , but it also seems ',false
1290,'PRP','it','it',1,'nsubj',', but - also seems to ',false
1291,'RB','also','also',1,'advmod','but - it seems to be ',false
1292,'VBZ','seem','seems',1,'conj','- it also to be a ',false
1293,'TO','to','to',1,'aux','it also seems be a converging ',false
1294,'VB','be','be',1,'cop','also seems to a converging space ',false
1295,'DT','a','a',1,'det','seems to be converging space for ',false
1296,'JJ','converging','converging',1,'amod','to be a space for the ',false
1297,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
1298,'IN','for','for',1,'prep','a converging space the homeless , ',false
1299,'DT','the','the',1,'det','converging space for homeless , who ',false
1300,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
1301,',',',',',',0,'punct','for the homeless who have mental ',false
1302,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
1303,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
1304,'JJ','mental','mental',1,'amod',', who have health issues and ',false
1305,'NN','health','health',1,'nn','who have mental issues and addiction ',false
1306,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
1307,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
1308,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
1309,'NNS','issue','issues',1,'conj','issues and addiction . ',false
1310,'.','.','.',0,'punct','and addiction issues ',false
1311,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
1312,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
1313,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
1314,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
1315,'CC','and','and',1,'cc','them very in-predictable I would not ',false
1316,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
1317,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
1318,'RB','not','not',1,'neg','and I would have wanted to ',false
1319,'VB','have','have',1,'aux','I would not wanted to run ',false
1320,'VBN','want','wanted',1,'conj','would not have to run into ',false
1321,'TO','to','to',1,'aux','not have wanted run into one ',false
1322,'VB','run','run',1,'xcomp','have wanted to into one of ',false
1323,'IN','into','into',1,'prep','wanted to run one of them ',false
1324,'CD','#crd#','one',1,'pobj','to run into of them with ',false
1325,'IN','of','of',1,'prep','run into one them with small ',false
1326,'PRP','them','them',1,'pobj','into one of with small kids ',false
1327,'IN','with','with',1,'prep','one of them small kids in ',false
1328,'JJ','small','small',1,'amod','of them with kids in tow ',false
1329,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
1330,'IN','in','in',1,'prep','with small kids tow . ',false
1331,'NN','tow','tow',1,'pobj','small kids in . ',false
1332,'.','.','.',0,'punct','kids in tow ',false
1333,'VBD','see','Saw',1,'ROOT','a few having ',false
1334,'DT','a','a',1,'det','Saw few having episodes ',false
1335,'JJ','few','few',1,'amod','Saw a having episodes the ',false
1336,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
1337,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
1338,'DT','the','the',1,'det','few having episodes next morning . ',false
1339,'JJ','next','next',1,'amod','having episodes the morning . ',false
1340,'NN','morning','morning',1,'ccomp','episodes the next . ',false
1341,'.','.','.',0,'punct','the next morning ',false
2052,'NN','fine','Fine',1,'ROOT','. ',false
2053,'.','.','.',0,'punct','Fine ',false
2054,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
2055,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
2056,'DT','no','no',1,'det','Gym had equipment Needs to ',false
2057,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
2058,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
2059,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
2060,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
2061,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2232,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2233,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2234,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2235,'.','.','.',0,'punct','Enjoyed our stay ',false
2236,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2237,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
2238,'JJ','foot','Foot',1,'conj','Comfortable and rest . ',false
2239,'NN','rest','rest',1,'ROOT','Comfortable and Foot . ',false
2240,'.','.','.',0,'punct','and Foot rest ',false
2241,'RB','next','Next',1,'dep','to elevators ',false
2242,'IN','to','to',1,'ROOT','Next elevators ',false
2243,'NNS','elevator','elevators',1,'pobj','Next to ',false
4164,'VBD','be','Was',1,'cop','more economical than ',false
4165,'RBR','more','more',1,'advmod','Was economical than other ',false
4166,'JJ','economical','economical',1,'ROOT','Was more than other properties ',false
4167,'IN','than','than',1,'prep','Was more economical other properties I ',false
4168,'JJ','other','other',1,'amod','more economical than properties I searched ',false
4169,'NNS','property','properties',1,'pobj','economical than other I searched in ',false
4170,'PRP','i','I',1,'nsubj','than other properties searched in the ',false
4171,'VBD','search','searched',1,'rcmod','other properties I in the area ',false
4172,'IN','in','in',1,'prep','properties I searched the area but ',false
4173,'DT','the','the',1,'det','I searched in area but there ',false
4174,'NN','area','area',1,'pobj','searched in the but there is ',false
4175,'CC','but','but',1,'cc','in the area there is room ',false
4176,'EX','there','there',1,'expl','the area but is room for ',false
4177,'VBZ','be','is',1,'conj','area but there room for improvement ',false
4178,'NN','room','room',1,'nsubj','but there is for improvement . ',false
4179,'IN','for','for',1,'prep','there is room improvement . ',false
4180,'NN','improvement','improvement',1,'pobj','is room for . ',false
4181,'.','.','.',0,'punct','room for improvement ',false
4182,'NNP','location','Location',1,'nsubj','was close to ',false
4183,'VBD','be','was',1,'cop','Location close to the ',false
4184,'JJ','close','close',1,'ROOT','Location was to the event ',false
4185,'IN','to','to',1,'prep','Location was close the event we ',false
4186,'DT','the','the',1,'det','was close to event we were ',false
4187,'NN','event','event',1,'pobj','close to the we were attending ',false
4188,'PRP','we','we',1,'nsubj','to the event were attending . ',false
4189,'VBD','be','were',1,'aux','the event we attending . ',false
4190,'VBG','attend','attending',1,'rcmod','event we were . ',false
4191,'.','.','.',0,'punct','we were attending ',false
4192,'EX','there','There',1,'expl','is a parking ',false
4193,'VBZ','be','is',1,'ROOT','There a parking structure ',false
4194,'DT','a','a',1,'det','There is parking structure attacked ',false
4195,'NN','parking','parking',1,'nn','There is a structure attacked to ',false
4196,'NN','structure','structure',1,'nsubj','is a parking attacked to the ',false
4197,'VBD','attack','attacked',1,'ccomp','a parking structure to the hotel ',false
4198,'IN','to','to',1,'prep','parking structure attacked the hotel so ',false
4199,'DT','the','the',1,'det','structure attacked to hotel so you ',false
4200,'NN','hotel','hotel',1,'pobj','attacked to the so you did ',false
4201,'IN','so','so',1,'mark','to the hotel you did not ',false
4202,'PRP','you','you',1,'nsubj','the hotel so did not need ',false
4203,'VBD','do','did',1,'aux','hotel so you not need to ',false
4204,'RB','not','not',1,'neg','so you did need to park ',false
4205,'VB','need','need',1,'advcl','you did not to park outside ',false
4206,'TO','to','to',1,'aux','did not need park outside . ',false
4207,'VB','park','park',1,'xcomp','not need to outside . ',false
4208,'RB','outside','outside',1,'advmod','need to park . ',false
4209,'.','.','.',0,'punct','to park outside ',false
4210,'PRP','you','You',1,'nsubj','can travel with ',false
4211,'MD','can','can',1,'aux','You travel with pets ',false
4212,'VB','travel','travel',1,'nsubjpass','You can with pets and ',false
4213,'IN','with','with',1,'prep','You can travel pets and our ',false
4214,'NNS','pet','pets',1,'pobj','can travel with and our request ',false
4215,'CC','and','and',1,'cc','travel with pets our request for ',false
4216,'PRP$','our','our',1,'poss','with pets and request for a ',false
4217,'NN','request','request',1,'conj','pets and our for a mini ',false
4218,'IN','for','for',1,'prep','and our request a mini fridge ',false
4219,'DT','a','a',1,'det','our request for mini fridge in ',false
4220,'JJ','mini','mini',1,'amod','request for a fridge in the ',false
4221,'NN','fridge','fridge',1,'pobj','for a mini in the room ',false
4222,'IN','in','in',1,'prep','a mini fridge the room for ',false
4223,'DT','the','the',1,'det','mini fridge in room for medication ',false
4224,'NN','room','room',1,'pobj','fridge in the for medication storage ',false
4225,'IN','for','for',1,'prep','in the room medication storage was ',false
4226,'NN','medication','medication',1,'nn','the room for storage was honoured ',false
4227,'NN','storage','storage',1,'pobj','room for medication was honoured at ',false
4228,'VBD','be','was',1,'auxpass','for medication storage honoured at no ',false
4229,'VBN','honour','honoured',1,'ROOT','medication storage was at no charge ',false
4230,'IN','at','at',1,'prep','storage was honoured no charge . ',false
4231,'DT','no','no',1,'det','was honoured at charge . ',false
4232,'NN','charge','charge',1,'pobj','honoured at no . ',false
4233,'.','.','.',0,'punct','at no charge ',false
4234,'DT','the','The',1,'det','bathroom was dated ',false
4235,'NN','bathroom','bathroom',1,'nsubjpass','The was dated , ',false
4236,'VBD','be','was',1,'auxpass','The bathroom dated , some ',false
4237,'VBN','date','dated',1,'nsubj','The bathroom was , some tiles ',false
4238,',',',',',',0,'punct','bathroom was dated some tiles were ',false
4239,'DT','some','some',1,'det','was dated , tiles were cracked ',false
4240,'NNS','tile','tiles',1,'nsubjpass','dated , some were cracked in ',false
4241,'VBD','be','were',1,'auxpass',', some tiles cracked in the ',false
4242,'VBN','crack','cracked',1,'parataxis','some tiles were in the shower ',false
4243,'IN','in','in',1,'prep','tiles were cracked the shower and ',false
4244,'DT','the','the',1,'det','were cracked in shower and much ',false
