@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, negative}

@data
107,-0.0,'value','dep_Good dep_value dep_ ','dep_Good_value dep_value_for ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
115,0.3333333333333333,'cost','dep_effectiveness ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
137,0.0,'value','dep_Good dep_value dep_ ','dep_Good_value dep_value_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
190,-0.1111111111111111,'Breakfast','dep_Breakfast dep_expensive dep_ ','dep_Breakfast_expensive dep_expensive_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
314,-0.0,'price','dep_less ','',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,positive
315,-0.17333333333333334,'value','dep_good dep_less ','dep_good_less dep_less_for ',0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,positive
320,0.022222222222222223,'charged','dep_However dep_ dep_check dep_charged dep_ dep_started dep_ ','dep_However_ dep__check dep_check_it dep_charged_me dep__started dep_started_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
325,-0.0,'hotel','dep_Affordable dep_average dep_hotel dep_ ','dep_Affordable_average dep_average_hotel dep_hotel_in ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
327,-0.0,'price','dep_Liked dep_ dep_view dep_price dep_ ','dep_Liked_ dep__view dep_view_the dep_price_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,positive
409,0.11666666666666665,'prices','dep_better ','dep_better_of ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
426,-0.041666666666666664,'worth','dep_completely dep_got ','dep_completely_got ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
449,0.05555555555555555,'buffet','dep_breakfast dep_expensive ','dep_breakfast_expensive ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
543,0.16666666666666666,'parking','dep_expensive ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,negative
545,0.16666666666666666,'hotel','dep_expensive ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,negative
556,-0.28888888888888886,'price','dep_worth ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
560,-0.11555555555555555,'emplacement','dep_worth dep_thing ','dep_worth_was dep_thing_for ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
565,-0.0,'rates','dep_basic dep_room ','dep_basic_room dep_room_for ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
566,-0.03333333333333333,'price','dep_increased ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
589,-0.0,'pay','dep_day ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,negative
592,-0.0,'buffet','dep_morning ','dep_morning_for ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,negative
627,-0.05555555555555555,'price','dep_ideal dep_price dep_ ','dep_ideal_price dep_price_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
633,-0.0,'fee','dep_Room dep_match ','dep_Room_match ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
662,-0.0,'charging','dep_service dep_ dep_charging dep_services dep_rules dep_ ','dep_service_ dep__they dep_charging_in dep_services_rules dep_rules_ ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
686,-0.0,'price','dep_high ','dep_high_for ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
759,-0.0,'pricing','dep_Inconsistent dep_pricing dep_answers ','dep_Inconsistent_pricing dep_pricing_and ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
769,-0.0,'priced','dep_weekend ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
770,-0.0,'priced','dep_get ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
790,-0.3333333333333333,'Breakfast','dep_expensive ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
794,-0.26666666666666666,'value','dep_great dep_location ','dep_great_location ',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
