@relation Sauberkeit-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1830,'JJ','good','Good',1,'ROOT','. ',false
1831,'.','.','.',0,'punct','Good ',false
1832,'DT','the','The',1,'det','view - although ',false
1833,'NN','view','view',1,'ROOT','The - although the ',false
1834,':','-','-',0,'prep','The view although the windows ',false
1835,'IN','although','although',1,'mark','The view - the windows need ',false
1836,'DT','the','the',1,'det','view - although windows need cleaning ',false
1837,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1838,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1839,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1840,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1841,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1842,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1843,'VBN','change','changed',1,'conj','or to be out , as ',false
1844,'RP','out','out',1,'prt','to be changed , as they ',false
1845,',',',',',',0,'punct','be changed out as they were ',false
1846,'IN','as','as',1,'mark','changed out , they were not ',false
1847,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1848,'VBD','be','were',1,'cop',', as they not clear . ',false
1849,'RB','not','not',1,'neg','as they were clear . ',false
1850,'JJ','clear','clear',1,'advcl','they were not . ',false
1851,'.','.','.',0,'punct','were not clear ',false
1852,'NNP','location','Location',1,'nsubj','is excellent . ',false
1853,'VBZ','be','is',1,'cop','Location excellent . ',false
1854,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1855,'.','.','.',0,'punct','Location is excellent ',false
1856,'NN','water','Water',1,'nn','pressure is also ',false
1857,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1858,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1859,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1860,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1861,'.','.','.',0,'punct','is also excellent ',false
1862,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1863,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1864,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1865,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1866,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1867,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1868,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1869,'CD','0','4',0,'num','small for potentially people . ',false
1870,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1871,'.','.','.',0,'punct','potentially 4 people ',false
1872,'NN','security','Security',1,'nsubj','should be a ',false
1873,'MD','should','should',1,'aux','Security be a priority ',false
1874,'VB','be','be',1,'cop','Security should a priority , ',false
1875,'DT','a','a',1,'det','Security should be priority , as ',false
1876,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
1877,',',',',',',0,'punct','be a priority as the hotel ',false
1878,'IN','as','as',1,'prep','a priority , the hotel below ',false
1879,'DT','the','the',1,'det','priority , as hotel below ground ',false
1880,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
1881,'IN','below','below',1,'prep','as the hotel ground level is ',false
1882,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
1883,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
1884,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
1885,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
1886,'IN','to','to',1,'prep','level is connected a small inside ',false
1887,'DT','a','a',1,'det','is connected to small inside mall ',false
1888,'JJ','small','small',1,'amod','connected to a inside mall , ',false
1889,'JJ','inside','inside',1,'amod','to a small mall , which ',false
1890,'NN','mall','mall',1,'pobj','a small inside , which is ',false
1891,',',',',',',0,'punct','small inside mall which is a ',false
1892,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
