@relation OTHER

@attribute id numeric
@attribute lemma string
@attribute dependencies string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute sentence_length numeric
@attribute aspecttype {true, false}

@data
24,'good . ','root punct ',0.0,1.0,1.0,0,7,false
25,'the view - although the windows need cleaning or to be changed out , as they were not clear . ','det root prep mark det nsubj advcl xcomp cc aux auxpass conj prt punct mark nsubj cop neg advcl punct ',0.0,1.0,1.0,1,94,false
26,'location is excellent . ','nsubj cop root punct ',0.0,1.0,1.0,1,24,false
27,'water pressure is also excellent . ','nn nsubj cop advmod root punct ',-0.2,1.0,1.2,1,35,false
28,'bathroom space is very small for potentially 4 people . ','nn nsubj cop advmod root prep quantmod num pobj punct ',0.0,0.0,0.0,1,56,false
29,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ','nsubj aux cop det nsubjpass punct prep det pobj prep nn pobj auxpass root prep det amod amod pobj punct nsubj cop det amod rcmod punct cc punct nsubj advmod conj aux cop det amod xcomp prep det pobj punct nsubj rcmod amod nn dobj cc nn conj punct ',0.0,1.0,1.0,1,243,true
30,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ','root nsubj advmod xcomp cc nsubjpass aux neg aux conj aux xcomp prep pobj prep pobj prep amod pobj prep pobj punct ',0.0,0.2,0.2,1,108,false
31,'saw a few having episodes the next morning . ','root det amod amod nsubj det amod ccomp punct ',0.0,0.0,0.0,0,45,false
70,'fine . ','root punct ',0.0,0.4,0.4,0,7,false
71,'gym had no equipment needs to be upgraded ','nsubj root det nn nsubjpass aux auxpass ccomp ',0.0,0.0,0.0,1,42,false
89,'enjoyed our stay . ','root poss dobj punct ',0.0,1.0,1.0,0,19,true
90,'comfortable and foot rest . ','amod cc conj root punct ',0.0,0.5,0.5,0,28,false
91,'next to elevators ','dep root pobj ',0.0,0.0,0.0,0,18,false
131,'was more economical than other properties i searched in the area but there is room for improvement . ','cop advmod root prep amod pobj nsubj rcmod prep det pobj cc expl conj nsubj prep pobj punct ',0.0,1.0,1.0,1,101,false
132,'location was close to the event we were attending . ','nsubj cop root prep det pobj nsubj aux rcmod punct ',0.0,0.0,0.0,1,52,false
133,'there is a parking structure attacked to the hotel so you did not need to park outside . ','expl root det nn nsubj ccomp prep det pobj mark nsubj aux neg advcl aux xcomp advmod punct ',-0.2,0.5,0.7,1,89,false
134,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ','nsubj aux nsubjpass prep pobj cc poss conj prep det amod pobj prep det pobj prep nn pobj auxpass root prep det pobj punct ',0.0,0.4,0.4,1,122,false
135,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ','det nsubjpass auxpass nsubj punct det nsubjpass auxpass parataxis prep det pobj cc conj prep det pobj cop root punct ',0.0,0.0,0.0,0,97,false
136,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ','det nsubjpass auxpass root cc cop neg conj punct poss nsubj aux neg parataxis xcomp amod dobj prep pobj dep punct ',-0.4,0.0,0.4,1,97,false
137,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ','nn nsubj root amod dobj dep num nn nn nsubj advmod advmod amod nsubj aux neg ccomp cc conj cop rcmod number number tmod punct ',0.0,0.3333333333333333,0.3333333333333333,1,114,true
138,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ','expl root det amod dep nsubj prep pcomp det dobj mark nsubj advcl prep pobj complm nsubjpass auxpass neg ccomp prep dep dep nn amod pobj punct ',0.0,1.0,1.0,1,123,false
139,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ','det nsubj dep nsubjpass auxpass root advmod nsubj advcl aux xcomp det nn num dobj cc expl conj det amod nsubj prep pobj ',0.0,0.0,0.0,1,118,false
197,'acceptably . ','root punct ',0.0,0.0,0.0,0,13,false
198,'good location , parking , grocery store in the building . ','nn root punct appos punct nn appos prep det pobj punct ',0.0,1.0,1.0,0,58,false
199,'old hotel and relevant smell , no sockets in the room at all . ','amod root cc amod conj punct det appos prep det pobj advmod dep punct ',0.0,0.6666666666666666,0.6666666666666666,1,63,false
200,'had to charge cellular in bathroom . ','root aux xcomp dobj prep pobj punct ',0.0,0.0,0.0,0,37,false
201,'air condition was terrible . ','nn nsubj cop root punct ',-0.6,0.0,0.6,0,29,false
202,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ','root aux xcomp dobj aux xcomp dobj prt prep det pobj punct cc prep pobj nsubj conj nn amod dobj advmod advmod punct ',-0.2,0.5,0.7,1,102,false
203,'it was very cold and uncomfortable . ','nsubj cop advmod root cc conj punct ',-0.4,0.0,0.4,0,37,false
256,'stay was okay . ','nsubj cop root punct ',0.0,0.0,0.0,0,16,false
257,'i will consider staying there again . ','nsubj aux root xcomp advmod advmod punct ',0.0,0.0,0.0,0,38,false
258,'the location was great , right downtown montreal . ','det nsubj cop ccomp punct amod nn root punct ',0.0,0.6,0.6,1,51,false
259,'view was amazing and the bed was comfortable enough . ','nsubj cop root cc det nsubj cop conj advmod punct ',0.0,0.8,0.8,1,54,false
260,'the hotel was outdated . ','det nsubj cop root punct ',0.0,0.0,0.0,0,25,false
261,'carpet was pretty old and the vent was very dusty . ','nsubj cop advmod root cc det nsubj cop advmod conj punct ',0.0,0.5,0.5,1,52,false
262,'you can actually see the caked on dust . ','nsubj aux advmod root det dobj prep pobj punct ',0.0,0.0,0.0,0,41,false
263,'it does need updating aesthetically . ','nsubj aux root xcomp advmod punct ',0.0,0.0,0.0,1,38,false
314,'good . ','root punct ',0.0,1.0,1.0,0,7,false
315,'the housekeeper was very sweet and she did a great job . ','det nsubj cop advmod root cc nsubj conj det amod dobj punct ',0.0,1.0,1.0,0,57,false
316,'there were some little things like broken lights , mildew and drippy faucet . ','expl root det amod nsubj prep amod pobj punct amod cc conj nsubj punct ',0.0,0.0,0.0,0,78,false
317,'the hotel needs a bit of tlc . ','det nsubj root det dobj prep pobj punct ',0.0,0.0,0.0,1,31,true
318,'otherwise a nice experience . ','advmod det amod root punct ',0.0,0.6,0.6,0,30,true
319,'the housekeeping staff were very friendly and they did a great job ','det nn nsubj cop advmod root cc nsubj conj det amod dobj ',0.0,1.0,1.0,0,67,false
350,'good . ','root punct ',0.0,1.0,1.0,0,7,false
351,'beds are not real . ','nsubj cop neg root punct ',0.0,0.5,0.5,1,20,false
381,'meh . ','root punct ',0.0,0.0,0.0,0,6,false
382,'it s in a good location and it s clean . ','nsubj root prep det amod pobj cc nsubj cop conj punct ',0.0,1.0,1.0,0,43,false
383,'it s very dated . ','nsubjpass auxpass advmod root punct ',0.0,0.0,0.0,0,19,false
384,'the tv did nt work . ','det nsubj aux neg root punct ',0.0,0.0,0.0,1,22,false
385,'the staff at reception are nt warm . ','det nsubj prep pobj cop neg root punct ',0.0,0.2,0.2,1,38,false
386,'i only stay here if i absolutely have to . ','nsubj advmod root advmod mark nsubj advmod advcl dep punct ',0.0,0.0,0.0,0,43,false
387,'we were stranded with the storm so we booked it last minute . ','nsubjpass auxpass root prep det pobj advmod nsubj ccomp dobj amod tmod punct ',0.0,0.0,0.0,0,62,false
425,'rude staff . ','nn root punct ',0.0,0.0,0.0,0,13,false
426,'the staff gave an unpleasant vibe that started right off the bat . ','det nsubj root det amod dobj nsubj rcmod dep prep det pobj punct ',0.0,0.0,0.0,1,67,false
427,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ','det num amod nsubj root det dobj prep pobj mark nsubj aux neg advcl det nn dobj advmod dep pobj cc advmod dep nsubj conj prep pobj auxpass xcomp dobj aux xcomp dobj possessive nsubj aux advmod rcmod punct nsubj advmod ccomp aux xcomp dobj advmod punct ',-0.4,0.5,0.9,1,236,false
