@relation Ausstattung

@attribute id numeric
@attribute target string
@attribute unigrams string
@attribute aspecttype {positive, negative}

@data
0,'target_Gym','fine . gym have no equipment need to be upgrade ',negative
0,'target_ceilings','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_bar','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_restaurant','be more economical than other property I search in the area but there be room for improvement . location be close to the event we be attend . there be a parking structure attack to the hotel so you do not need to park outside . you can travel with pet and our request for a mini fridge in the room for medication storage be honour at no charge . the bathroom be date , some tile be crack in the shower and much of the grout be black . the carpet be stain but be not dirty ( my sock do not turn get dirty walking on carpet ) . parking garage have low ceiling ( 0 foot max clearance ) so large vehicle will not fit and cost be $ 0 / day . there be a $ 0 charge for clean the room if you travel with pet that we be not tell about until after check - in . the bar / restaurant be close when we go to have a drink #crd# evening and there be no post hour of operation.u ',negative
0,'target_parking','acceptably . good location , parking , grocery store in the building . old hotel and relevant smell , no socket in the room at all . have to charge cellular in bathroom . air condition be terrible . have to ask staff to switch it off in the evening , but at night it start blow cool air very noisy . it be very cold and uncomfortable . ',positive
0,'target_hotel','acceptably . good location , parking , grocery store in the building . old hotel and relevant smell , no socket in the room at all . have to charge cellular in bathroom . air condition be terrible . have to ask staff to switch it off in the evening , but at night it start blow cool air very noisy . it be very cold and uncomfortable . ',negative
0,'target_hotel','stay be okay . I will consider stay there again . the location be great , right downtown montreal . view be amazing and the bed be comfortable enough . the hotel be outdated . carpet be pretty old and the vent be very dusty . you can actually see the caked on dust . it do need update aesthetically . ',negative
0,'target_Carpet','stay be okay . I will consider stay there again . the location be great , right downtown montreal . view be amazing and the bed be comfortable enough . the hotel be outdated . carpet be pretty old and the vent be very dusty . you can actually see the caked on dust . it do need update aesthetically . ',negative
0,'target_updating','stay be okay . I will consider stay there again . the location be great , right downtown montreal . view be amazing and the bed be comfortable enough . the hotel be outdated . carpet be pretty old and the vent be very dusty . you can actually see the caked on dust . it do need update aesthetically . ',negative
0,'target_Pool','good location , adequate for our stay , would stay there again if the price be right . quiet , comfortable , clean , great location . bar fridge in room be very useful . room and furniture need update . pool area also need a makeover . ',negative
0,'target_Pool','good location , adequate for our stay , would stay there again if the price be right . quiet , comfortable , clean , great location . bar fridge in room be very useful . room and furniture need update . pool area also need a makeover . ',negative
0,'target_renovate','good . the location . bathroom be show their age . time to renovate ! ',negative
0,'target_building','I wish I would have wait for low rate the site be offer $ 0 per night . we stay for #crd# ni . nice big room upgrade on arrival . the smell in lobby when you #ord# walk in it smell stale like a nursing home . too much antiseptic smell try to cover up the stale smell . beautiful old building I can appreciate . also they have to turn off the water from midnight to 0 am . no big affect as far as comfort ',positive
0,'target_building','I wish I would have wait for low rate the site be offer $ 0 per night . we stay for #crd# ni . nice big room upgrade on arrival . the smell in lobby when you #ord# walk in it smell stale like a nursing home . too much antiseptic smell try to cover up the stale smell . beautiful old building I can appreciate . also they have to turn off the water from midnight to 0 am . no big affect as far as comfort ',negative
0,'target_hotel','good . location be good?cprice be fair . its a old hotel , and in my room the curtain fall off ',negative
