@relation restaurant#general

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
0,-0.17333333333333334,'place','dep_good dep_used ','dep_good_used ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
6,0.0,'place','dep_Avoid ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
8,0.0,'Saul','dep_restaurant ','',0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
15,0.0,'restaurant','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
22,0.0,'place','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
23,0.0,'Fish','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
27,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
28,0.05555555555555555,'Restaurant Saul','dep_Saul dep_Restaurant dep_visit ','dep_Saul_Restaurant dep_Restaurant_visit ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
33,-0.0,'visit','dep_next ','dep_next_for ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
37,0.21666666666666667,'pink pony','dep_th dep_pony dep_pink dep_love ','dep_th_pony dep_pony_pink dep_pink_love ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
38,0.21666666666666667,'spot','dep_perfect dep_spot dep_ ','dep_perfect_spot dep_spot_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
42,-0.0,'place','dep_facie ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
47,-0.0,'experience','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
50,0.0,'place','dep_got ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
51,0.17777777777777778,'experience','dep_great ','dep_great_had ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
54,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
66,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
70,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
91,-0.07777777777777778,'disappointment','dep_big dep_disappointment dep_ dep_around dep_ ','dep_big_disappointment dep_disappointment_ dep__around dep_around_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
97,0.0,'Manhattan','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
98,0.28888888888888886,'place','dep_worth ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
99,0,'NULL','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
100,-0.5,'Leon','dep_gem ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
106,0.39999999999999997,'experience','dep_enjoy ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
107,0.2888888888888889,'kids','dep_teenage dep_love ','dep_teenage_love ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
108,-0.0,'Zucchero Pomodori','dep_Pomodori dep_Zucchero ','dep_Pomodori_Zucchero dep_Zucchero_to ',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,positive
109,0.19999999999999998,'place','dep_far dep_favorite ','dep_far_my dep_favorite_by ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
