@relation WLAN-positive

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute unigrams string
@attribute bigrams string
@attribute negation numeric
@attribute feature__average numeric
@attribute feature__normal numeric
@attribute feature__simple numeric
@attribute feature__okay numeric
@attribute feature__ok numeric
@attribute feature__not_great numeric
@attribute feature__nothing_great numeric
@attribute feature__moderate numeric
@attribute feature__typical numeric
@attribute feature__alright numeric
@attribute feature__fair numeric
@attribute feature__mediocre numeric
@attribute feature__just numeric
@attribute feature__fine numeric
@attribute feature__not_too_good numeric
@attribute feature__good_enough numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {true, false}

@data
48,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
49,0.05,0.05,0.05,'the view  although the windows need cleaning or to be changed out  as they were not clear  ','_the_view _view_ __although _although_the _the_windows _windows_need _need_cleaning _cleaning_or _or_to _to_be _be_changed _changed_out _out_ __as _as_they _they_were _were_not _not_clear _clear_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
50,0.75,0.25,0.25,'location is excellent  ','_location_is _is_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
51,0.6666666666666666,0.16666666666666666,0.08333333333333333,'water pressure is also excellent  ','_water_pressure _pressure_is _is_also _also_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
52,0.0,0.0,-0.03333333333333333,'bathroom space is very small for potentially  people  ','_bathroom_space _space_is _is_very _very_small _small_for _for_potentially _potentially_ __people _people_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
53,0.02040816326530612,-0.02040816326530612,-0.017006802721088433,'security should be a priority  as the hotel below ground level is connected to a small inside mall  which is a huge bonus  but  it also seems to be a converging space for the homeless  who have mental health issues and addiction issues  ','_security_should _should_be _be_a _a_priority _priority_ __as _as_the _the_hotel _hotel_below _below_ground _ground_level _level_is _is_connected _connected_to _to_a _a_small _small_inside _inside_mall _mall_ __which _which_is _is_a _a_huge _huge_bonus _bonus_ __but _but_ __it _it_also _also_seems _seems_to _to_be _be_a _a_converging _converging_space _space_for _for_the _the_homeless _homeless_ __who _who_have _have_mental _mental_health _health_issues _issues_and _and_addiction _addiction_issues _issues_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
54,0.0,0.0,-0.01515151515151515,'makes them very inpredictable and i would not have wanted to run into one of them with small kids in tow  ','_makes_them _them_very _very_inpredictable _inpredictable_and _and_i _i_would _would_not _not_have _have_wanted _wanted_to _to_run _run_into _into_one _one_of _of_them _them_with _with_small _small_kids _kids_in _in_tow _tow_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
55,0.0,0.0,0.0,'saw a few having episodes the next morning  ','_saw_a _a_few _few_having _having_episodes _episodes_the _the_next _next_morning _morning_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
140,0.0,0.0,0.0,'fine  ','_fine_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false
141,0.125,0.125,0.0,'gym had no equipment needs to be upgraded ','_gym_had _had_no _no_equipment _equipment_needs _needs_to _to_be _be_upgraded ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
178,0.0,0.0,0.25,'enjoyed our stay  ','_enjoyed_our _our_stay _stay_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
179,0.0,0.0,0.1,'comfortable and foot rest  ','_comfortable_and _and_foot _foot_rest _rest_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
180,0.0,0.0,0.0,'next to elevators ','_next_to _to_elevators ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
262,0.1111111111111111,0.1111111111111111,0.05555555555555555,'was more economical than other properties i searched in the area but there is room for improvement  ','_was_more _more_economical _economical_than _than_other _other_properties _properties_i _i_searched _searched_in _in_the _the_area _area_but _but_there _there_is _is_room _room_for _for_improvement _improvement_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
263,0.0,0.0,0.0,'location was close to the event we were attending  ','_location_was _was_close _close_to _to_the _the_event _event_we _we_were _were_attending _attending_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
264,0.05555555555555555,0.0,-0.027777777777777776,'there is a parking structure attacked to the hotel so you did not need to park outside  ','_there_is _is_a _a_parking _parking_structure _structure_attacked _attacked_to _to_the _the_hotel _hotel_so _so_you _you_did _did_not _not_need _need_to _to_park _park_outside _outside_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
265,0.125,0.0,-0.020833333333333332,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge  ','_you_can _can_travel _travel_with _with_pets _pets_and _and_our _our_request _request_for _for_a _a_mini _mini_fridge _fridge_in _in_the _the_room _room_for _for_medication _medication_storage _storage_was _was_honoured _honoured_at _at_no _no_charge _charge_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
266,0.0,-0.05,-0.05833333333333333,'the bathroom was dated  some tiles were cracked in the shower and much of the grout was black  ','_the_bathroom _bathroom_was _was_dated _dated_ __some _some_tiles _tiles_were _were_cracked _cracked_in _in_the _the_shower _shower_and _and_much _much_of _of_the _the_grout _grout_was _was_black _black_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
267,0.19047619047619047,-0.09523809523809523,-0.14285714285714285,'the carpet was stained but was not dirty  my socks did not turn get dirty walking on carpet   ','_the_carpet _carpet_was _was_stained _stained_but _but_was _was_not _not_dirty _dirty_ __my _my_socks _socks_did _did_not _not_turn _turn_get _get_dirty _dirty_walking _walking_on _on_carpet _carpet_ __ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
268,0.04,0.0,0.013333333333333332,'parking garage has low ceilings   foot max clearance  so larger vehicles will not fit and cost is    day  ','_parking_garage _garage_has _has_low _low_ceilings _ceilings_ __ __foot _foot_max _max_clearance _clearance_ __so _so_larger _larger_vehicles _vehicles_will _will_not _not_fit _fit_and _and_cost _cost_is _is_ __ __ __day _day_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
269,0.0,0.0,0.018518518518518517,'there was a   charge for cleaning the room if you travel with pets that we were not told about until after check  in  ','_there_was _was_a _a_ __ __charge _charge_for _for_cleaning _cleaning_the _the_room _room_if _if_you _you_travel _travel_with _with_pets _pets_that _that_we _we_were _were_not _not_told _told_about _about_until _until_after _after_check _check_ __in _in_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
270,0.043478260869565216,0.0,0.0,'the bar  restaurant was closed when we went to have a drink one evening and there are no posted hours of operationu ','_the_bar _bar_ __restaurant _restaurant_was _was_closed _closed_when _when_we _we_went _went_to _to_have _have_a _a_drink _drink_one _one_evening _evening_and _and_there _there_are _are_no _no_posted _posted_hours _hours_of _of_operationu ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
394,0.0,0.0,0.0,'acceptably  ','_acceptably_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
395,0.0,0.0,0.16666666666666666,'good location  parking  grocery store in the building  ','_good_location _location_ __parking _parking_ __grocery _grocery_store _store_in _in_the _the_building _building_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
396,0.07142857142857142,-0.07142857142857142,0.011904761904761902,'old hotel and relevant smell  no sockets in the room at all  ','_old_hotel _hotel_and _and_relevant _relevant_smell _smell_ __no _no_sockets _sockets_in _in_the _the_room _room_at _at_all _all_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
397,0.0,0.0,0.0,'had to charge cellular in bathroom  ','_had_to _to_charge _charge_cellular _cellular_in _in_bathroom _bathroom_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
398,0.6,-0.2,-0.2,'air condition was terrible  ','_air_condition _condition_was _was_terrible _terrible_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
399,0.08695652173913043,-0.043478260869565216,-0.021739130434782608,'had to ask staff to switch it off in the evening  but at night it started blow cool air very noisy  ','_had_to _to_ask _ask_staff _staff_to _to_switch _switch_it _it_off _off_in _in_the _the_evening _evening_ __but _but_at _at_night _night_it _it_started _started_blow _blow_cool _cool_air _air_very _very_noisy _noisy_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
400,0.2857142857142857,-0.2857142857142857,-0.21428571428571427,'it was very cold and uncomfortable  ','_it_was _was_very _very_cold _cold_and _and_uncomfortable _uncomfortable_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
512,0.0,0.0,0.0,'stay was okay  ','_stay_was _was_okay _okay_ ',0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
513,0.0,0.0,0.0,'i will consider staying there again  ','_i_will _will_consider _consider_staying _staying_there _there_again _again_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
514,0.3333333333333333,0.2222222222222222,0.0,'the location was great  right downtown montreal  ','_the_location _location_was _was_great _great_ __right _right_downtown _downtown_montreal _montreal_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
515,0.6,0.3,0.0,'view was amazing and the bed was comfortable enough  ','_view_was _was_amazing _amazing_and _and_the _the_bed _bed_was _was_comfortable _comfortable_enough _enough_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
516,0.0,0.0,0.0,'the hotel was outdated  ','_the_hotel _hotel_was _was_outdated _outdated_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
517,0.09090909090909091,-0.09090909090909091,0.045454545454545456,'carpet was pretty old and the vent was very dusty  ','_carpet_was _was_pretty _pretty_old _old_and _and_the _the_vent _vent_was _was_very _very_dusty _dusty_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
518,0.0,-0.1111111111111111,-0.05555555555555555,'you can actually see the caked on dust  ','_you_can _can_actually _actually_see _see_the _the_caked _caked_on _on_dust _dust_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
519,0.0,0.0,0.0,'it does need updating aesthetically  ','_it_does _does_need _need_updating _updating_aesthetically _aesthetically_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
628,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
629,0.4166666666666667,0.16666666666666666,0.125,'the housekeeper was very sweet and she did a great job  ','_the_housekeeper _housekeeper_was _was_very _very_sweet _sweet_and _and_she _she_did _did_a _a_great _great_job _job_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
630,0.21428571428571427,-0.07142857142857142,-0.07142857142857142,'there were some little things like broken lights  mildew and drippy faucet  ','_there_were _were_some _some_little _little_things _things_like _like_broken _broken_lights _lights_ __mildew _mildew_and _and_drippy _drippy_faucet _faucet_ ',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
631,0.0,0.0,0.0,'the hotel needs a bit of tlc  ','_the_hotel _hotel_needs _needs_a _a_bit _bit_of _of_tlc _tlc_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
632,0.6,0.2,0.0,'otherwise a nice experience  ','_otherwise_a _a_nice _nice_experience _experience_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
633,0.4166666666666667,0.16666666666666666,0.20833333333333334,'the housekeeping staff were very friendly and they did a great job ','_the_housekeeping _housekeeping_staff _staff_were _were_very _very_friendly _friendly_and _and_they _they_did _did_a _a_great _great_job ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
700,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
701,0.0,0.0,0.1,'beds are not real  ','_beds_are _are_not _not_real _real_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
762,0.0,0.0,0.0,'meh  ','_meh_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
763,0.45454545454545453,0.18181818181818182,0.18181818181818182,'it s in a good location and it s clean  ','_it_s _s_in _in_a _a_good _good_location _location_and _and_it _it_s _s_clean _clean_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
764,0.0,0.0,0.0,'it s very dated  ','_it_s _s_very _very_dated _dated_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
765,0.0,0.16666666666666666,0.0,'the tv did nt work  ','_the_tv _tv_did _did_nt _nt_work _work_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
766,0.125,0.125,0.0,'the staff at reception are nt warm  ','_the_staff _staff_at _at_reception _reception_are _are_nt _nt_warm _warm_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
767,0.0,0.0,0.0,'i only stay here if i absolutely have to  ','_i_only _only_stay _stay_here _here_if _if_i _i_absolutely _absolutely_have _have_to _to_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
768,0.0,0.0,-0.038461538461538464,'we were stranded with the storm so we booked it last minute  ','_we_were _were_stranded _stranded_with _with_the _the_storm _storm_so _so_we _we_booked _booked_it _it_last _last_minute _minute_ ',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
850,0.0,0.0,0.0,'rude staff  ','_rude_staff _staff_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
851,0.0,0.0,-0.07692307692307693,'the staff gave an unpleasant vibe that started right off the bat  ','_the_staff _staff_gave _gave_an _an_unpleasant _unpleasant_vibe _vibe_that _that_started _started_right _right_off _off_the _the_bat _bat_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
852,0.0425531914893617,0.0,0.0017730496453900694,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said  it only seemed to upset her more  ','_the_one _one_female _female_receptionist _receptionist_had _had_an _an_attitude _attitude_with _with_me _me_because _because_she _she_did _did_nt _nt_explain _explain_the _the_room _room_deposit _deposit_correctly _correctly_to _to_me _me_and _and_when _when_all _all_i _i_did _did_in _in_return _return_was _was_ask _ask_her _her_to _to_clarify _clarify_something _something_s _s_she _she_had _had_already _already_said _said_ __it _it_only _only_seemed _seemed_to _to_upset _upset_her _her_more _more_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
910,0.05555555555555555,0.1111111111111111,0.05555555555555555,'good location  adequate for our stay  would stay there again if the price was right  ','_good_location _location_ __adequate _adequate_for _for_our _our_stay _stay_ __would _would_stay _stay_there _there_again _again_if _if_the _the_price _price_was _was_right _right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
911,0.4444444444444444,0.2222222222222222,0.16666666666666666,'quiet  comfortable  clean  great location  ','_quiet_ __comfortable _comfortable_ __clean _clean_ __great _great_location _location_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
912,0.25,0.125,0.0,'bar fridge in room was very useful  ','_bar_fridge _fridge_in _in_room _room_was _was_very _very_useful _useful_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
913,0.0,0.0,0.0,'rooms and furniture need updating  ','_rooms_and _and_furniture _furniture_need _need_updating _updating_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
914,0.0,0.0,0.047619047619047616,'pool area also needs a makeover  ','_pool_area _area_also _also_needs _needs_a _a_makeover _makeover_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
990,0.05555555555555555,0.1111111111111111,0.05555555555555555,'good location  adequate for our stay  would stay there again if the price was right  ','_good_location _location_ __adequate _adequate_for _for_our _our_stay _stay_ __would _would_stay _stay_there _there_again _again_if _if_the _the_price _price_was _was_right _right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
991,0.4444444444444444,0.2222222222222222,0.16666666666666666,'quiet  comfortable  clean  great location  ','_quiet_ __comfortable _comfortable_ __clean _clean_ __great _great_location _location_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
992,0.25,0.125,0.0,'bar fridge in room was very useful  ','_bar_fridge _fridge_in _in_room _room_was _was_very _very_useful _useful_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
993,0.0,0.0,0.0,'rooms and furniture need updating  ','_rooms_and _and_furniture _furniture_need _need_updating _updating_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
994,0.0,0.0,0.047619047619047616,'pool area also needs a makeover  ','_pool_area _area_also _also_needs _needs_a _a_makeover _makeover_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
