@relation food#quality

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
3,0.028571428571428574,0.4,0.0,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,'target_food','The food was lousy - too sweet or too salty and the portions tiny ','DT NN VBD JJ : RB JJ CC RB JJ CC DT NNS JJ . ',14,0,2,1,0,0,0,0,0,0,negative
7,0.04285714285714286,0.6,0.0,0.0,1.0,0.0,0.10714285714285714,1.0,0.0,'target_food','I have eaten at Saul, many times, the food is always consistently, outrageously good ','PRP VBP VBN IN NNP , JJ NNS , DT NN VBZ RB RB , RB JJ . ',14,0,1,1,0,0,0,0,0,0,positive
9,0.044444444444444446,0.8,0.0,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,'target_foie gras terrine with figs','The duck confit is always amazing and the foie gras terrine with figs was out of this world ','DT NN NN VBZ RB JJ CC DT NN NNS VBP IN NNS VBD IN IN DT NN . ',18,0,2,0,0,0,0,0,0,0,positive
10,0.044444444444444446,0.8,0.0,0.05555555555555555,1.0,0.0,0.0,0.0,0.0,'target_duck confit','The duck confit is always amazing and the foie gras terrine with figs was out of this world ','DT NN NN VBZ RB JJ CC DT NN NNS VBP IN NNS VBD IN IN DT NN . ',18,0,2,0,0,0,0,0,0,0,positive
14,0.0,0.0,0.0,0.1,1.0,0.0,0.025,0.25,0.0,'target_NULL','For the price, you cannot eat this well in Manhattan ','IN DT NN , PRP MD RB VB DT RB IN NNP . ',10,0,2,0,1,0,0,0,0,0,positive
18,0.12,0.6,0.0,0.2,1.0,0.0,0.0,0.0,0.0,'target_Food','Food was okay, nothing great ','NN VBD JJ , NN JJ . ',5,0,1,0,1,0,0,0,0,0,neutral
19,0.043478260869565216,0.8,0.0,-0.08695652173913043,1.0,0.0,0.07608695652173914,1.0,0.0,'target_Chow fun','Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family ','NNP NN VBD JJ : NN NN NNP VBD RBR IN RB RB CC VBD TO VB DT NN IN JJ CC JJ NN . ',23,0,3,0,0,0,0,0,0,0,negative
20,0.043478260869565216,0.8,0.0,-0.08695652173913043,1.0,0.0,0.07608695652173914,1.0,0.0,'target_pork shu mai','Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family ','NNP NN VBD JJ : NN NN NNP VBD RBR IN RB RB CC VBD TO VB DT NN IN JJ CC JJ NN . ',23,0,3,0,0,0,0,0,0,0,negative
25,0.0,0.0,0.0,0.0,0.0,0.0,0.04166666666666667,1.0,0.0,'target_oysters','Service was devine, oysters where a sensual as they come, and the price cant be beat ','NN VBD JJ , NNS WRB DT NN IN PRP VBP , CC DT NN MD RB VB VBN . ',16,1,3,0,0,1,0,0,0,0,positive
29,0.013333333333333334,0.2,0.0,0.06666666666666667,1.0,0.0,0.03333333333333333,0.5,0.0,'target_NULL','Everything is always cooked to perfection, the service is excellent, the decor cool and understated ','NN VBZ RB VBN IN NN , DT NN VBZ JJ , DT NN JJ CC JJ . ',15,0,3,0,0,0,0,0,0,0,positive
32,0.0,0.0,0.0,0.07142857142857142,1.0,0.0,0.10714285714285714,1.0,0.0,'target_duck breast special','I had the duck breast special on my last visit and it was incredible ','PRP VBD DT NN NN JJ IN PRP$ JJ NN CC PRP VBD JJ . ',14,0,1,1,0,0,0,0,0,0,positive
34,0.07777777777777778,0.6,0.0,0.05555555555555555,1.0,0.0,0.1111111111111111,1.0,0.0,'target_spicy tuna roll','The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share ','DT JJ NN NN VBD RB JJ CC DT NN NN NN VBD JJ , JJ NN TO VB . ',18,1,2,0,0,0,0,0,0,0,positive
35,0.07777777777777778,0.6,0.0,0.05555555555555555,1.0,0.0,0.1111111111111111,1.0,0.0,'target_rock shrimp tempura','The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share ','DT JJ NN NN VBD RB JJ CC DT NN NN NN VBD JJ , JJ NN TO VB . ',18,1,2,0,0,0,0,0,0,0,positive
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_Food','Food-awesome ','NN HYPH JJ . ',1,0,1,0,0,0,0,0,0,0,positive
43,0.0,0.0,0.0,0.25,1.0,0.0,0.375,1.0,0.0,'target_food','the food is decent ','DT NN VBZ JJ . ',4,0,1,0,0,0,0,0,0,0,neutral
52,0.19999999999999998,0.6,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,'target_Food','Food is great ','NN VBZ JJ . ',3,0,1,0,0,0,0,0,0,0,positive
55,0.047058823529411764,0.8,0.0,0.058823529411764705,1.0,0.0,0.08823529411764706,1.0,0.0,'target_sea urchin','I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose ','PRP VBP TO VB DT JJ NN IN PRP$ NN NN , WDT VBD RB IN NNP VBD . ',17,0,1,1,0,0,0,0,0,0,positive
56,0.0375,0.6,0.0,0.0625,1.0,0.0,0.125,1.0,0.0,'target_NULL','It melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery ','PRP VBD IN PRP$ JJ NN CC DT JJ NN : RB RB JJ , JJ , CC RB NN . ',16,0,1,0,1,0,0,0,0,1,positive
57,0.044444444444444446,0.2,0.0,0.2222222222222222,1.0,0.0,0.05555555555555555,0.5,0.0,'target_sushi','The sushi seemed pretty fresh and was adequately proportioned ','DT NNP VBD RB JJ CC VBD RB VBN . ',9,0,2,0,0,0,0,0,0,0,positive
60,0.023529411764705882,0.4,0.0,0.11764705882352941,1.0,0.0,0.0784313725490196,1.0,0.0,'target_half price sushi deal','We took advanatage of the half price sushi deal on saturday so it was well worth it ','PRP VBD NN IN DT NN NN JJ NN IN NN IN PRP VBD RB JJ PRP . ',17,0,2,0,0,0,0,0,0,0,positive
64,0.022222222222222223,0.2,0.0,0.1111111111111111,1.0,0.0,0.12962962962962962,0.6666666666666666,0.0,'target_food','The food was well prepared and the service impecable ','DT NN VBD RB VBN CC DT NN JJ . ',9,0,2,0,0,0,0,0,0,0,positive
67,0.021052631578947368,0.4,0.0,0.10526315789473684,1.0,0.0,0.017543859649122806,0.3333333333333333,0.0,'target_Prix Fixe menu','The Prix Fixe menu is worth every penny and you get more than enough (both in quantity AND quality) ','DT NNP NNP NN VBZ JJ DT NN CC PRP VBP JJR IN JJ -LRB- CC IN NN CC NN -RRB- . ',19,0,3,1,0,0,0,0,0,0,positive
72,0.014285714285714287,0.2,0.0,0.07142857142857142,1.0,0.0,0.07142857142857142,1.0,0.0,'target_food','$6 and there is much tasty food, all of it fresh and continually refilled ','$ CD CC EX VBZ JJ JJ NN , DT IN PRP JJ CC RB VBN . ',14,0,3,1,0,0,0,0,0,0,positive
74,0.049999999999999996,0.6,0.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,'target_dishes','I am not a vegetarian but, almost all the dishes were great ','PRP VBP RB DT NN CC , RB PDT DT NNS VBD JJ . ',12,0,1,1,1,0,0,0,0,1,positive
75,0.025,0.4,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_somosas','I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ','PRP VBP DT NN , NN , CC DT NN , CC DT NNS CC NN VBD RB VBG . ',16,0,5,1,0,0,0,0,0,1,positive
76,0.025,0.4,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_chai','I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ','PRP VBP DT NN , NN , CC DT NN , CC DT NNS CC NN VBD RB VBG . ',16,0,5,1,0,0,0,0,0,1,positive
77,0.025,0.4,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_chole','I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ','PRP VBP DT NN , NN , CC DT NN , CC DT NNS CC NN VBD RB VBG . ',16,0,5,1,0,0,0,0,0,1,positive
78,0.025,0.4,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_dhosas','I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ','PRP VBP DT NN , NN , CC DT NN , CC DT NNS CC NN VBD RB VBG . ',16,0,5,1,0,0,0,0,0,1,negative
79,0.025,0.4,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_dhal','I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing ','PRP VBP DT NN , NN , CC DT NN , CC DT NNS CC NN VBD RB VBG . ',16,0,5,1,0,0,0,0,0,1,negative
82,0.028571428571428574,0.4,0.0,0.0,1.0,0.0,-0.021428571428571432,0.5,0.0,'target_food','Also, specify if you like your food spicy- its rather bland if you dont ','RB , VB IN PRP VBP PRP$ NN NN : PRP$ RB JJ IN PRP VBP . ',14,0,1,0,0,1,0,1,0,0,negative
86,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.5,0.0,'target_food','However, go for the ambience, and consider the food just a companion for a trip across the world ','RB , VB IN DT NN , CC VB DT NN RB DT NN IN DT NN IN DT NN . ',18,1,2,0,0,0,0,0,0,0,neutral
