@relation food#prices

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
3,'Judging from previous posts this used to be a good place , but not any longer . ',false
15,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
27,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
39,'The food was lousy - too sweet or too salty and the portions tiny . ',false
51,'After all that , they complained to me about the small tip . ',false
63,'Avoid this place ! ',false
75,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
87,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
99,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
111,'The wine list is interesting and has many good values . ',false
123,'For the price , you can not eat this well in Manhattan . ',false
135,'I was very disappointed with this restaurant . ',false
147,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
159,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
171,'Food was okay , nothing great . ',false
183,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
195,'I / we will never go back to this place again . ',false
207,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
219,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
231,'You ca nt go wrong here . ',false
243,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
255,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
267,'I had the duck breast special on my last visit and it was incredible . ',false
279,'Ca nt wait wait for my next visit . ',false
291,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
303,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
315,'we love th pink pony . ',false
327,'THe perfect spot . ',false
339,'Food - awesome . ',false
351,'Service- friendly and attentive . ',false
363,'Ambiance - relaxed and stylish . ',false
375,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
387,'the food is decent . ',false
399,'however , it s the service that leaves a bad taste in my mouth . ',false
411,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
423,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
435,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
447,'the last time i walked by it looked pretty empty . ',false
459,'hmmm . ',false
471,'This place has got to be the best japanese restaurant in the new york area . ',false
483,'I had a great experience . ',false
495,'Food is great . ',false
507,'Service is top notch . ',false
519,'I have been going back again and again . ',false
531,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
543,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
555,'The sushi seemed pretty fresh and was adequately proportioned . ',false
567,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',false
579,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ',true
591,'Surprisingly nothing could be further from the truth . ',false
603,'In the evening , this place attracted a well dressed , with it , NY crowd . ',false
615,'The food was well prepared and the service impecable . ',false
627,'I m going back . ',false
639,'The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . ',true
651,'I will be going back and heartily recommend it ! ',false
663,'$ 6 and there is much tasty food , all of it fresh and continually refilled . ',true
675,'I am not a vegetarian but , almost all the dishes were great . ',false
687,'I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing . ',false
699,'The service varys from day to day - sometimes they re very nice , and sometimes not . ',false
711,'The kitchen however , is almost always slow . ',false
723,'Also , specify if you like your food spicy - its rather bland if you dont . ',false
735,'The ambience is pretty and nice for conversation , so a casual lunch here would probably be best . ',false
747,'However , go for the ambience , and consider the food just a companion for a trip across the world ! ',false
759,'It looked like shredded cheese partly done - still in strips . ',false
771,'Yes , they use fancy ingredients , but even fancy ingredients do nt make for good pizza unless someone knows how to get the crust right . ',false
783,'A big disappointment , all around . ',false
795,'I think I ve had some the best meals of my life at minnow . ',false
807,'The seafood is amazing , there s a good wine list , and the ever - changing menu always offers some great surprises . ',false
819,'The combination of super-fresh ingredients in the dishes are unusual but really delicious . ',false
831,'Worth the trip from Manhattan . ',false
843,'This place is worth an one - hour drive . ',false
855,'I am so coming back here again , as much as I can . ',false
867,'Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere . ',false
879,'My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . ',false
891,'Have been dozens of times and never failed to enjoy the experience . ',false
903,'Our teenage kids love it , too . ',false
915,'Everytime I decide to try another place on the UES , I get angry that I did nt just go to Zucchero Pomodori . ',false
927,'This is by far my favorite place in the neighborhood . ',false
939,'The service is excellent , the decor is great , and the food is delicious and comes in large portions . ',false
951,'We have been to this place many times , and always have great food , wine , and service . ',false
963,'We were worried we would have trouble getting in , but somehow managed to have a short wait . ',false
975,'As always we had a great glass of wine while we waited . ',false
987,'When we sat , we got great and fast service . ',false
999,'The people that work there are always so friendly you forget you are in New York sometimes . ',false
1011,'Make sure you try this place as often as you can . ',false
1023,'This is a fun restaurant to go to . ',false
1035,'The pizza is yummy and I like the atmoshpere . ',false
1047,'But the pizza is way to expensive . ',true
1059,'A large is $ 20 , and toppings are about $ 3 each . ',true
1071,'I went there for lunch and it was not as good as I expected from the reviews I read . ',false
1083,'Sauce was watery and the food did nt have much flavor . ',false
1095,'Service was prompt , friendly and great . ',false
1107,'Slightly on the pricey side but worth it ! ',false
1119,'Great pizza and fantastic service . ',false
1131,'There was a small wait , but shorter than I expected . ',false
1143,'Located at the end of a magnificent block . ',false
1155,'Very cozy and warm inside . ',false
1167,'I will be back ! ',false
1179,'This is the best sushi in new york city - hands down . ',false
1191,'The place is small and cramped but the food is fantastic . ',false
1203,'Get the tuna of gari . ',false
1215,'It s all about the food !! ',false
1227,'but when we looked at the menu , there were nt a lot of choices , most of them were dumplings in the appetizer section . ',false
1239,'The Steak Tartare is a great bet , they fix it for you at the table . ',false
1251,'Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm . ',false
1263,'Great wine selection , Gigondas is worth the price , and the house champagne is a great value . ',false
1275,'It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area . ',false
1287,'Have recommended the place to friends , always gets good response . ',false
1299,'Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread ! ',false
1311,'I take all my NYC guests to VTs . ',false
1323,'Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food ! ',false
1335,'I ve been there three times and have always had wonderful experiences . ',false
1347,'I d highly recommend it for a special occasion -- it provides and intimate setting and nice service . ',false
1359,'I m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . ',false
1371,'and we re repeat customers . ',false
1383,'Even after they overcharged me the last time I was there . ',false
1395,'Make sure you have the Spicy Scallop roll . ',false
1407,'. ',false
1419,'it s delicious ! ',false
1431,'Moules were excellent , lobster ravioli was VERY salty ! ',false
1443,'Took my mom for Mother s Day , and the maitre d  was pretty rude . ',false
1455,'Told us to sit anywhere , and when we sat he said the table was reserved . ',false
1467,'Stepped on my foot on the SECOND time he reached over me to adjust lighting . ',false
1479,'Tiny dessert was $ 8.00.just plain overpriced for what it is . ',true
1491,'The drinks are always welll made and wine selection is fairly priced . ',false
1503,'Try their chef s specials -- they are to die for . ',false
1515,'Service is not exactly five star , but that s not really a big deal . ',false
1527,'Downstairs lounge is always a good attraction ',false
1539,'Raga s is a romantic , cozy restaurant . ',false
1551,'The exotic food is beautifully presented and is a delight in delicious combinations . ',false
1563,'It is also extremely well priced . ',true
1575,'The staff is incredibly helpful and attentive . ',false
1587,'The bar is very well stocked with interesting beers and well priced wines . ',false
1599,'This is one of my favorite restaurants and it is not to be missed . ',false
1611,'Your friends will thank you for introducing them to this gem ! ',false
1623,'When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong . ',false
1635,'The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no. ',false
1647,'Then , to top things off , she dropped used silverware on my boyfriend s jacket and did not stop to apologize or clean the mess that was left on clothes . ',false
1659,'Such a disappointment . ',false
1671,'Rude service , medicore food.there are tons of restaurants in NY.stay away from this one ',false
1683,'I had a grat time at Jekyll and Hyde ! ',false
1695,'I loved everythig about it - especially the shows and actors . ',false
1707,'Our server was very helpful and friendly . ',false
1719,'I am bringing my whole family back next time . ',false
1731,'The food was good too . ',false
1743,'The tuna and wasabe potatoes are excellent . ',false
1755,'The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful . ',false
