@relation Hotelpersonal-negative

@attribute id numeric
@attribute AFINN numeric
@attribute BingLiu numeric
@attribute EmoLex numeric
@attribute unigrams string
@attribute bigrams string
@attribute negation numeric
@attribute feature__average numeric
@attribute feature__normal numeric
@attribute feature__simple numeric
@attribute feature__okay numeric
@attribute feature__ok numeric
@attribute feature__not_great numeric
@attribute feature__nothing_great numeric
@attribute feature__moderate numeric
@attribute feature__typical numeric
@attribute feature__alright numeric
@attribute feature__fair numeric
@attribute feature__mediocre numeric
@attribute feature__just numeric
@attribute feature__fine numeric
@attribute feature__not_too_good numeric
@attribute feature__good_enough numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {true, false}

@data
72,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
73,0.05,0.05,0.05,'view  although windows need cleaning changed  clear  ','_view_ __although _windows_need _need_cleaning _clear_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
74,0.75,0.25,0.25,'location excellent  ','_excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
75,0.6666666666666666,0.16666666666666666,0.08333333333333333,'water pressure also excellent  ','_water_pressure _also_excellent _excellent_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
76,0.0,0.0,-0.03333333333333333,'bathroom space small potentially  people  ','_bathroom_space _potentially_ __people _people_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
77,0.02040816326530612,-0.02040816326530612,-0.017006802721088433,'security priority  hotel ground level connected small inside mall  huge bonus   also seems converging space homeless  mental health issues addiction issues  ','_priority_ _ground_level _small_inside _inside_mall _mall_ _huge_bonus _bonus_ _also_seems _converging_space _homeless_ _mental_health _health_issues _addiction_issues _issues_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
78,0.0,0.0,-0.01515151515151515,'makes inpredictable would wanted run one small kids tow  ','_small_kids _tow_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
79,0.0,0.0,0.0,'saw episodes next morning  ','_next_morning _morning_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
146,0.0,0.0,0.0,'fine  ','_fine_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,false
147,0.125,0.125,0.0,'gym equipment needs upgraded ','_equipment_needs ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
187,0.0,0.0,0.25,'enjoyed stay  ','_stay_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
188,0.0,0.0,0.1,'comfortable foot rest  ','_foot_rest _rest_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
189,0.0,0.0,0.0,'next elevators ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
289,0.1111111111111111,0.1111111111111111,0.05555555555555555,'economical properties searched area room improvement  ','_improvement_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
290,0.0,0.0,0.0,'location close event attending  ','_attending_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
291,0.05555555555555555,0.0,-0.027777777777777776,'parking structure attacked hotel need park outside  ','_parking_structure _structure_attacked _park_outside _outside_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
292,0.125,0.0,-0.020833333333333332,'travel pets request mini fridge room medication storage honoured charge  ','_mini_fridge _medication_storage _charge_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
293,0.0,-0.05,-0.05833333333333333,'bathroom dated  tiles cracked shower much grout black  ','_dated_ _black_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
294,0.19047619047619047,-0.09523809523809523,-0.14285714285714285,'carpet stained dirty  socks turn get dirty walking carpet   ','_dirty_ _turn_get _get_dirty _dirty_walking _carpet_ __ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
295,0.04,0.0,0.013333333333333332,'parking garage low ceilings   foot max clearance  larger vehicles fit cost    day  ','_parking_garage _low_ceilings _ceilings_ __ __foot _foot_max _max_clearance _clearance_ _larger_vehicles __ __ __day _day_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
296,0.0,0.0,0.018518518518518517,'  charge cleaning room travel pets told check   ','__ __charge _check_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
297,0.043478260869565216,0.0,0.0,'bar  restaurant closed went drink one evening posted hours operationu ','_bar_ __restaurant _drink_one _one_evening _posted_hours ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
415,0.0,0.0,0.0,'acceptably  ','_acceptably_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
416,0.0,0.0,0.16666666666666666,'good location  parking  grocery store building  ','_good_location _location_ __parking _parking_ __grocery _grocery_store _building_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
417,0.07142857142857142,-0.07142857142857142,0.011904761904761902,'old hotel relevant smell  sockets room  ','_old_hotel _relevant_smell _smell_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
418,0.0,0.0,0.0,'charge cellular bathroom  ','_charge_cellular _bathroom_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
419,0.6,-0.2,-0.2,'air condition terrible  ','_air_condition _terrible_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
420,0.08695652173913043,-0.043478260869565216,-0.021739130434782608,'ask staff switch evening  night started blow cool air noisy  ','_ask_staff _evening_ _started_blow _blow_cool _cool_air _noisy_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
421,0.2857142857142857,-0.2857142857142857,-0.21428571428571427,'cold uncomfortable  ','_uncomfortable_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
536,0.0,0.0,0.0,'stay okay  ','_okay_ ',0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
537,0.0,0.0,0.0,'consider staying  ','_consider_staying ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
538,0.3333333333333333,0.2222222222222222,0.0,'location great  right downtown montreal  ','_great_ __right _right_downtown _downtown_montreal _montreal_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
539,0.6,0.3,0.0,'view amazing bed comfortable enough  ','_comfortable_enough _enough_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
540,0.0,0.0,0.0,'hotel outdated  ','_outdated_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
541,0.09090909090909091,-0.09090909090909091,0.045454545454545456,'carpet pretty old vent dusty  ','_pretty_old _dusty_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
542,0.0,-0.1111111111111111,-0.05555555555555555,'actually see caked dust  ','_actually_see _dust_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
543,0.0,0.0,0.0,'need updating aesthetically  ','_need_updating _updating_aesthetically _aesthetically_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
646,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
647,0.4166666666666667,0.16666666666666666,0.125,'housekeeper sweet great job  ','_great_job _job_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
648,0.21428571428571427,-0.07142857142857142,-0.07142857142857142,'little things like broken lights  mildew drippy faucet  ','_little_things _things_like _like_broken _broken_lights _lights_ __mildew _drippy_faucet _faucet_ ',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
649,0.0,0.0,0.0,'hotel needs bit tlc  ','_hotel_needs _tlc_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
650,0.6,0.2,0.0,'otherwise nice experience  ','_nice_experience _experience_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
651,0.4166666666666667,0.16666666666666666,0.20833333333333334,'housekeeping staff friendly great job ','_housekeeping_staff _great_job ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
706,0.0,0.0,0.5,'good  ','_good_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
707,0.0,0.0,0.1,'beds real  ','_real_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
783,0.0,0.0,0.0,'meh  ','_meh_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
784,0.45454545454545453,0.18181818181818182,0.18181818181818182,'s good location s clean  ','_good_location _s_clean _clean_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
785,0.0,0.0,0.0,'s dated  ','_dated_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
786,0.0,0.16666666666666666,0.0,'tv nt work  ','_nt_work _work_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
787,0.125,0.125,0.0,'staff reception nt warm  ','_nt_warm _warm_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
788,0.0,0.0,0.0,'stay absolutely  ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
789,0.0,0.0,-0.038461538461538464,'stranded storm booked last minute  ','_last_minute _minute_ ',0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,false
859,0.0,0.0,0.0,'rude staff  ','_rude_staff _staff_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
860,0.0,0.0,-0.07692307692307693,'staff gave unpleasant vibe started right bat  ','_staff_gave _unpleasant_vibe _started_right _bat_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
861,0.0425531914893617,0.0,0.0017730496453900694,'one female receptionist attitude nt explain room deposit correctly return ask clarify something s already said  seemed upset  ','_one_female _female_receptionist _nt_explain _room_deposit _deposit_correctly _clarify_something _something_s _already_said _said_ ',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
925,0.05555555555555555,0.1111111111111111,0.05555555555555555,'good location  adequate stay  would stay price right  ','_good_location _location_ __adequate _stay_ __would _would_stay _right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
926,0.4444444444444444,0.2222222222222222,0.16666666666666666,'quiet  comfortable  clean  great location  ','_quiet_ __comfortable _comfortable_ __clean _clean_ __great _great_location _location_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
927,0.25,0.125,0.0,'bar fridge room useful  ','_bar_fridge _useful_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
928,0.0,0.0,0.0,'rooms furniture need updating  ','_furniture_need _need_updating _updating_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
929,0.0,0.0,0.047619047619047616,'pool area also needs makeover  ','_pool_area _area_also _also_needs _makeover_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1005,0.05555555555555555,0.1111111111111111,0.05555555555555555,'good location  adequate stay  would stay price right  ','_good_location _location_ __adequate _stay_ __would _would_stay _right_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1006,0.4444444444444444,0.2222222222222222,0.16666666666666666,'quiet  comfortable  clean  great location  ','_quiet_ __comfortable _comfortable_ __clean _clean_ __great _great_location _location_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1007,0.25,0.125,0.0,'bar fridge room useful  ','_bar_fridge _useful_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1008,0.0,0.0,0.0,'rooms furniture need updating  ','_furniture_need _need_updating _updating_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1009,0.0,0.0,0.047619047619047616,'pool area also needs makeover  ','_pool_area _area_also _also_needs _makeover_ ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1067,0.0,0.0,0.0,'thangs service ! ','_service_! ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,false
