@relation Preis-Leistungs-Verhltnis-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
610,'JJ','good','Good',1,'ROOT','. ',false
611,'.','.','.',0,'punct','Good ',false
612,'DT','the','The',1,'det','view - although ',false
613,'NN','view','view',1,'ROOT','The - although the ',false
614,':','-','-',0,'prep','The view although the windows ',false
615,'IN','although','although',1,'mark','The view - the windows need ',false
616,'DT','the','the',1,'det','view - although windows need cleaning ',false
617,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
618,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
619,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
620,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
621,'TO','to','to',1,'aux','need cleaning or be changed out ',false
622,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
623,'VBN','change','changed',1,'conj','or to be out , as ',false
624,'RP','out','out',1,'prt','to be changed , as they ',false
625,',',',',',',0,'punct','be changed out as they were ',false
626,'IN','as','as',1,'mark','changed out , they were not ',false
627,'PRP','they','they',1,'nsubj','out , as were not clear ',false
628,'VBD','be','were',1,'cop',', as they not clear . ',false
629,'RB','not','not',1,'neg','as they were clear . ',false
630,'JJ','clear','clear',1,'advcl','they were not . ',false
631,'.','.','.',0,'punct','were not clear ',false
632,'NNP','location','Location',1,'nsubj','is excellent . ',false
633,'VBZ','be','is',1,'cop','Location excellent . ',false
634,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
635,'.','.','.',0,'punct','Location is excellent ',false
636,'NN','water','Water',1,'nn','pressure is also ',false
637,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
638,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
639,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
640,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
641,'.','.','.',0,'punct','is also excellent ',false
642,'NN','bathroom','Bathroom',1,'nn','space is very ',false
643,'NN','space','space',1,'nsubj','Bathroom is very small ',false
644,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
645,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
646,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
647,'IN','for','for',1,'prep','is very small potentially 4 people ',false
648,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
649,'CD','0','4',0,'num','small for potentially people . ',false
650,'NNS','people','people',1,'pobj','for potentially 4 . ',false
651,'.','.','.',0,'punct','potentially 4 people ',false
652,'NN','security','Security',1,'nsubj','should be a ',false
653,'MD','should','should',1,'aux','Security be a priority ',false
654,'VB','be','be',1,'cop','Security should a priority , ',false
655,'DT','a','a',1,'det','Security should be priority , as ',false
656,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
657,',',',',',',0,'punct','be a priority as the hotel ',false
658,'IN','as','as',1,'prep','a priority , the hotel below ',false
659,'DT','the','the',1,'det','priority , as hotel below ground ',false
660,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
661,'IN','below','below',1,'prep','as the hotel ground level is ',false
662,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
663,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
664,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
665,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
666,'IN','to','to',1,'prep','level is connected a small inside ',false
667,'DT','a','a',1,'det','is connected to small inside mall ',false
668,'JJ','small','small',1,'amod','connected to a inside mall , ',false
669,'JJ','inside','inside',1,'amod','to a small mall , which ',false
670,'NN','mall','mall',1,'pobj','a small inside , which is ',false
671,',',',',',',0,'punct','small inside mall which is a ',false
672,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
673,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
674,'DT','a','a',1,'det',', which is huge bonus , ',false
675,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
676,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
677,',',',',',',0,'punct','a huge bonus but - it ',false
678,'CC','but','but',1,'cc','huge bonus , - it also ',false
679,',','-','-',0,'punct','bonus , but it also seems ',false
680,'PRP','it','it',1,'nsubj',', but - also seems to ',false
681,'RB','also','also',1,'advmod','but - it seems to be ',false
682,'VBZ','seem','seems',1,'conj','- it also to be a ',false
683,'TO','to','to',1,'aux','it also seems be a converging ',false
684,'VB','be','be',1,'cop','also seems to a converging space ',false
685,'DT','a','a',1,'det','seems to be converging space for ',false
686,'JJ','converging','converging',1,'amod','to be a space for the ',false
687,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
688,'IN','for','for',1,'prep','a converging space the homeless , ',false
689,'DT','the','the',1,'det','converging space for homeless , who ',false
690,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
691,',',',',',',0,'punct','for the homeless who have mental ',false
692,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
693,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
694,'JJ','mental','mental',1,'amod',', who have health issues and ',false
695,'NN','health','health',1,'nn','who have mental issues and addiction ',false
696,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
697,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
698,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
699,'NNS','issue','issues',1,'conj','issues and addiction . ',false
700,'.','.','.',0,'punct','and addiction issues ',false
701,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
702,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
703,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
704,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
705,'CC','and','and',1,'cc','them very in-predictable I would not ',false
706,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
707,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
708,'RB','not','not',1,'neg','and I would have wanted to ',false
709,'VB','have','have',1,'aux','I would not wanted to run ',false
710,'VBN','want','wanted',1,'conj','would not have to run into ',false
711,'TO','to','to',1,'aux','not have wanted run into one ',false
712,'VB','run','run',1,'xcomp','have wanted to into one of ',false
713,'IN','into','into',1,'prep','wanted to run one of them ',false
714,'CD','#crd#','one',1,'pobj','to run into of them with ',false
715,'IN','of','of',1,'prep','run into one them with small ',false
716,'PRP','them','them',1,'pobj','into one of with small kids ',false
717,'IN','with','with',1,'prep','one of them small kids in ',false
718,'JJ','small','small',1,'amod','of them with kids in tow ',false
719,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
720,'IN','in','in',1,'prep','with small kids tow . ',false
721,'NN','tow','tow',1,'pobj','small kids in . ',false
722,'.','.','.',0,'punct','kids in tow ',false
723,'VBD','see','Saw',1,'ROOT','a few having ',false
724,'DT','a','a',1,'det','Saw few having episodes ',false
725,'JJ','few','few',1,'amod','Saw a having episodes the ',false
726,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
727,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
728,'DT','the','the',1,'det','few having episodes next morning . ',false
729,'JJ','next','next',1,'amod','having episodes the morning . ',false
730,'NN','morning','morning',1,'ccomp','episodes the next . ',false
731,'.','.','.',0,'punct','the next morning ',false
2002,'NN','fine','Fine',1,'ROOT','. ',false
2003,'.','.','.',0,'punct','Fine ',false
2004,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
2005,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
2006,'DT','no','no',1,'det','Gym had equipment Needs to ',false
2007,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
2008,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
2009,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
2010,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
2011,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2172,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2173,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2174,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2175,'.','.','.',0,'punct','Enjoyed our stay ',false
2176,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2177,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
