@relation food#style_options

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
5,'Judging from previous posts this used to be a good place , but not any longer . ',false
17,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
29,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
41,'The food was lousy - too sweet or too salty and the portions tiny . ',true
53,'After all that , they complained to me about the small tip . ',false
65,'Avoid this place ! ',false
77,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
89,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
101,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
113,'The wine list is interesting and has many good values . ',false
125,'For the price , you can not eat this well in Manhattan . ',false
137,'I was very disappointed with this restaurant . ',false
149,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
161,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
173,'Food was okay , nothing great . ',false
185,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
197,'I / we will never go back to this place again . ',false
209,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
221,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
233,'You ca nt go wrong here . ',false
245,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
257,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
269,'I had the duck breast special on my last visit and it was incredible . ',false
281,'Ca nt wait wait for my next visit . ',false
293,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
305,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
317,'we love th pink pony . ',false
329,'THe perfect spot . ',false
341,'Food - awesome . ',false
353,'Service- friendly and attentive . ',false
365,'Ambiance - relaxed and stylish . ',false
377,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
389,'the food is decent . ',false
401,'however , it s the service that leaves a bad taste in my mouth . ',false
413,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
425,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
437,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
449,'the last time i walked by it looked pretty empty . ',false
461,'hmmm . ',false
473,'This place has got to be the best japanese restaurant in the new york area . ',false
485,'I had a great experience . ',false
497,'Food is great . ',false
509,'Service is top notch . ',false
521,'I have been going back again and again . ',false
533,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
545,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
557,'The sushi seemed pretty fresh and was adequately proportioned . ',true
569,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',true
581,'We took advanatage of the half price sushi deal on saturday so it was well worth it . ',false
593,'Surprisingly nothing could be further from the truth . ',false
605,'In the evening , this place attracted a well dressed , with it , NY crowd . ',false
617,'The food was well prepared and the service impecable . ',false
629,'I m going back . ',false
641,'The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . ',true
653,'I will be going back and heartily recommend it ! ',false
665,'$ 6 and there is much tasty food , all of it fresh and continually refilled . ',true
677,'I am not a vegetarian but , almost all the dishes were great . ',false
689,'I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing . ',false
701,'The service varys from day to day - sometimes they re very nice , and sometimes not . ',false
713,'The kitchen however , is almost always slow . ',false
725,'Also , specify if you like your food spicy - its rather bland if you dont . ',false
737,'The ambience is pretty and nice for conversation , so a casual lunch here would probably be best . ',false
749,'However , go for the ambience , and consider the food just a companion for a trip across the world ! ',false
761,'It looked like shredded cheese partly done - still in strips . ',true
773,'Yes , they use fancy ingredients , but even fancy ingredients do nt make for good pizza unless someone knows how to get the crust right . ',false
785,'A big disappointment , all around . ',false
797,'I think I ve had some the best meals of my life at minnow . ',false
809,'The seafood is amazing , there s a good wine list , and the ever - changing menu always offers some great surprises . ',true
821,'The combination of super-fresh ingredients in the dishes are unusual but really delicious . ',false
833,'Worth the trip from Manhattan . ',false
845,'This place is worth an one - hour drive . ',false
