@relation Hotelpersonal-negative

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
1098,'JJ','good','Good',1,'ROOT','. ',false
1099,'.','.','.',0,'punct','Good ',false
1100,'DT','the','The',1,'det','view - although ',false
1101,'NN','view','view',1,'ROOT','The - although the ',false
1102,':','-','-',0,'prep','The view although the windows ',false
1103,'IN','although','although',1,'mark','The view - the windows need ',false
1104,'DT','the','the',1,'det','view - although windows need cleaning ',false
1105,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
1106,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
1107,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
1108,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
1109,'TO','to','to',1,'aux','need cleaning or be changed out ',false
1110,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
1111,'VBN','change','changed',1,'conj','or to be out , as ',false
1112,'RP','out','out',1,'prt','to be changed , as they ',false
1113,',',',',',',0,'punct','be changed out as they were ',false
1114,'IN','as','as',1,'mark','changed out , they were not ',false
1115,'PRP','they','they',1,'nsubj','out , as were not clear ',false
1116,'VBD','be','were',1,'cop',', as they not clear . ',false
1117,'RB','not','not',1,'neg','as they were clear . ',false
1118,'JJ','clear','clear',1,'advcl','they were not . ',false
1119,'.','.','.',0,'punct','were not clear ',false
1120,'NNP','location','Location',1,'nsubj','is excellent . ',false
1121,'VBZ','be','is',1,'cop','Location excellent . ',false
1122,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
1123,'.','.','.',0,'punct','Location is excellent ',false
1124,'NN','water','Water',1,'nn','pressure is also ',false
1125,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
1126,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
1127,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
1128,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
1129,'.','.','.',0,'punct','is also excellent ',false
1130,'NN','bathroom','Bathroom',1,'nn','space is very ',false
1131,'NN','space','space',1,'nsubj','Bathroom is very small ',false
1132,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
1133,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
1134,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
1135,'IN','for','for',1,'prep','is very small potentially 4 people ',false
1136,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
1137,'CD','0','4',0,'num','small for potentially people . ',false
1138,'NNS','people','people',1,'pobj','for potentially 4 . ',false
1139,'.','.','.',0,'punct','potentially 4 people ',false
1140,'NN','security','Security',1,'nsubj','should be a ',false
1141,'MD','should','should',1,'aux','Security be a priority ',false
1142,'VB','be','be',1,'cop','Security should a priority , ',false
1143,'DT','a','a',1,'det','Security should be priority , as ',false
1144,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
1145,',',',',',',0,'punct','be a priority as the hotel ',false
1146,'IN','as','as',1,'prep','a priority , the hotel below ',false
1147,'DT','the','the',1,'det','priority , as hotel below ground ',false
1148,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
1149,'IN','below','below',1,'prep','as the hotel ground level is ',false
1150,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
1151,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
1152,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
1153,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
1154,'IN','to','to',1,'prep','level is connected a small inside ',false
1155,'DT','a','a',1,'det','is connected to small inside mall ',false
1156,'JJ','small','small',1,'amod','connected to a inside mall , ',false
1157,'JJ','inside','inside',1,'amod','to a small mall , which ',false
1158,'NN','mall','mall',1,'pobj','a small inside , which is ',false
1159,',',',',',',0,'punct','small inside mall which is a ',false
1160,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
1161,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
1162,'DT','a','a',1,'det',', which is huge bonus , ',false
1163,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
1164,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
1165,',',',',',',0,'punct','a huge bonus but - it ',false
1166,'CC','but','but',1,'cc','huge bonus , - it also ',false
1167,',','-','-',0,'punct','bonus , but it also seems ',false
1168,'PRP','it','it',1,'nsubj',', but - also seems to ',false
1169,'RB','also','also',1,'advmod','but - it seems to be ',false
1170,'VBZ','seem','seems',1,'conj','- it also to be a ',false
1171,'TO','to','to',1,'aux','it also seems be a converging ',false
1172,'VB','be','be',1,'cop','also seems to a converging space ',false
1173,'DT','a','a',1,'det','seems to be converging space for ',false
1174,'JJ','converging','converging',1,'amod','to be a space for the ',false
1175,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
1176,'IN','for','for',1,'prep','a converging space the homeless , ',false
1177,'DT','the','the',1,'det','converging space for homeless , who ',false
1178,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
1179,',',',',',',0,'punct','for the homeless who have mental ',false
