@relation Sauberkeit-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
854,'JJ','good','Good',1,'ROOT','. ',false
855,'.','.','.',0,'punct','Good ',false
856,'DT','the','The',1,'det','view - although ',false
857,'NN','view','view',1,'ROOT','The - although the ',false
858,':','-','-',0,'prep','The view although the windows ',false
859,'IN','although','although',1,'mark','The view - the windows need ',false
860,'DT','the','the',1,'det','view - although windows need cleaning ',false
861,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
862,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
863,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
864,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
865,'TO','to','to',1,'aux','need cleaning or be changed out ',false
866,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
867,'VBN','change','changed',1,'conj','or to be out , as ',false
868,'RP','out','out',1,'prt','to be changed , as they ',false
869,',',',',',',0,'punct','be changed out as they were ',false
870,'IN','as','as',1,'mark','changed out , they were not ',false
871,'PRP','they','they',1,'nsubj','out , as were not clear ',false
872,'VBD','be','were',1,'cop',', as they not clear . ',false
873,'RB','not','not',1,'neg','as they were clear . ',false
874,'JJ','clear','clear',1,'advcl','they were not . ',false
875,'.','.','.',0,'punct','were not clear ',false
876,'NNP','location','Location',1,'nsubj','is excellent . ',false
877,'VBZ','be','is',1,'cop','Location excellent . ',false
878,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
879,'.','.','.',0,'punct','Location is excellent ',false
880,'NN','water','Water',1,'nn','pressure is also ',false
881,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
882,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
883,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
884,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
885,'.','.','.',0,'punct','is also excellent ',false
886,'NN','bathroom','Bathroom',1,'nn','space is very ',false
887,'NN','space','space',1,'nsubj','Bathroom is very small ',false
888,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
889,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
890,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
891,'IN','for','for',1,'prep','is very small potentially 4 people ',false
892,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
893,'CD','0','4',0,'num','small for potentially people . ',false
894,'NNS','people','people',1,'pobj','for potentially 4 . ',false
895,'.','.','.',0,'punct','potentially 4 people ',false
896,'NN','security','Security',1,'nsubj','should be a ',false
897,'MD','should','should',1,'aux','Security be a priority ',false
898,'VB','be','be',1,'cop','Security should a priority , ',false
899,'DT','a','a',1,'det','Security should be priority , as ',false
900,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
