@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
56,'Good . ',Sauberkeit-positive,false
57,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Sauberkeit-positive,false
58,'Location is excellent . ',Sauberkeit-positive,false
59,'Water pressure is also excellent . ',Sauberkeit-positive,false
60,'Bathroom space is very small for potentially 4 people . ',Sauberkeit-positive,false
61,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Sauberkeit-positive,false
62,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Sauberkeit-positive,false
63,'Saw a few having episodes the next morning . ',Sauberkeit-positive,false
142,'Fine . ',Sauberkeit-positive,false
143,'Gym had no equipment Needs to be upgraded ',Sauberkeit-positive,false
181,'Enjoyed our stay . ',Sauberkeit-positive,false
182,'Comfortable and Foot rest . ',Sauberkeit-positive,false
183,'Next to elevators ',Sauberkeit-positive,false
271,'Was more economical than other properties I searched in the area but there is room for improvement . ',Sauberkeit-positive,false
272,'Location was close to the event we were attending . ',Sauberkeit-positive,false
273,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Sauberkeit-positive,false
274,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Sauberkeit-positive,false
275,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Sauberkeit-positive,false
276,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Sauberkeit-positive,false
277,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Sauberkeit-positive,false
278,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Sauberkeit-positive,false
279,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Sauberkeit-positive,false
401,'Acceptably . ',Sauberkeit-positive,false
402,'Good Location , parking , grocery store in the building . ',Sauberkeit-positive,false
403,'Old hotel and relevant smell , no sockets in the room at all . ',Sauberkeit-positive,false
404,'Had to charge cellular in bathroom . ',Sauberkeit-positive,false
405,'Air condition was terrible . ',Sauberkeit-positive,false
406,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Sauberkeit-positive,false
407,'It was very cold and uncomfortable . ',Sauberkeit-positive,false
520,'Stay was okay . ',Sauberkeit-positive,false
521,'I will consider staying there again . ',Sauberkeit-positive,false
522,'The location was great , right downtown Montreal . ',Sauberkeit-positive,false
523,'View was amazing and the bed was comfortable enough . ',Sauberkeit-positive,false
524,'The hotel was outdated . ',Sauberkeit-positive,false
525,'Carpet was pretty old and the vent was VERY dusty . ',Sauberkeit-positive,false
526,'You can actually see the caked on dust . ',Sauberkeit-positive,false
527,'It does need updating aesthetically . ',Sauberkeit-positive,false
634,'Good . ',Sauberkeit-positive,false
635,'The housekeeper was very sweet and she did a great job . ',Sauberkeit-positive,false
636,'There were some little things like broken lights , mildew and drippy faucet . ',Sauberkeit-positive,false
637,'The hotel needs a bit of TLC . ',Sauberkeit-positive,false
638,'Otherwise a nice experience . ',Sauberkeit-positive,false
639,'The housekeeping staff were very friendly and they did a great job ',Sauberkeit-positive,false
702,'Good . ',Sauberkeit-positive,false
703,'Beds are not real . ',Sauberkeit-positive,false
769,'Meh . ',Sauberkeit-positive,false
770,'It s in a good location and it s clean . ',Sauberkeit-positive,true
771,'It s very dated . ',Sauberkeit-positive,false
772,'The TV did nt work . ',Sauberkeit-positive,false
773,'The staff at reception are nt warm . ',Sauberkeit-positive,false
774,'I only stay here if I absolutely have to . ',Sauberkeit-positive,false
775,'We were stranded with the storm so we booked it last minute . ',Sauberkeit-positive,false
853,'Rude staff . ',Sauberkeit-positive,false
854,'The staff gave an unpleasant vibe that started right off the bat . ',Sauberkeit-positive,false
855,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Sauberkeit-positive,false
915,'Good location , adequate for our stay , Would stay there again if the price was right . ',Sauberkeit-positive,false
916,'Quiet , comfortable , clean , GREAT LOCATION . ',Sauberkeit-positive,false
917,'Bar fridge in room was very useful . ',Sauberkeit-positive,false
918,'Rooms and furniture need updating . ',Sauberkeit-positive,false
919,'Pool area also needs a makeover . ',Sauberkeit-positive,false
995,'Good location , adequate for our stay , Would stay there again if the price was right . ',Sauberkeit-positive,false
996,'Quiet , comfortable , clean , GREAT LOCATION . ',Sauberkeit-positive,false
997,'Bar fridge in room was very useful . ',Sauberkeit-positive,false
998,'Rooms and furniture need updating . ',Sauberkeit-positive,false
999,'Pool area also needs a makeover . ',Sauberkeit-positive,false
1061,'Thangs for the service ! ',Sauberkeit-positive,false
1062,'The moon light !!!! ',Sauberkeit-positive,false
1063,'Maybe update a little bit more coloRs and furniture !!! ',Sauberkeit-positive,false
1116,'Good . ',Sauberkeit-positive,false
1117,'The location . ',Sauberkeit-positive,false
1118,'Bathrooms are showing their age . ',Sauberkeit-positive,false
1119,'Time to renovate ! ',Sauberkeit-positive,false
1208,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',Sauberkeit-positive,false
1209,'We stayed for two ni . ',Sauberkeit-positive,false
1210,'Nice big room upgraded on arrival . ',Sauberkeit-positive,false
