@relation drinks#style_options

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
11,0.1,0.6,0.0,0.2,1.0,0.0,0.2,1.0,0.0,'target_wine list','The wine list is interesting and has many good values ','DT NN NN VBZ JJ CC VBZ JJ JJ NNS . ',10,0,2,0,0,0,0,0,0,0,positive
94,0.06666666666666667,0.6,0.0,0.1111111111111111,1.0,0.0,0.05555555555555555,1.0,0.0,'target_wine list','The seafood is amazing, theres a good wine list, and the ever-changing menu always offers some great surprises ','DT NN VBZ JJ , EX VBZ DT JJ NN NN , CC DT RB HYPH VBG NN RB VBZ DT JJ NNS . ',18,0,3,0,0,0,0,0,0,0,positive
149,0.0625,0.6,0.0,0.125,1.0,0.0,0.020833333333333332,0.3333333333333333,0.0,'target_wine selection','Great wine selection, Gigondas is worth the price, and the house champagne is a great value ','JJ NN NN , NNP VBZ JJ DT NN , CC DT NN NN VBZ DT JJ NN . ',16,0,3,0,0,0,0,0,0,0,positive
188,0.03076923076923077,0.4,0.0,0.23076923076923078,1.0,0.0,0.07692307692307693,1.0,0.0,'target_bar','The bar is very well stocked with interesting beers and well priced wines ','DT NN VBZ RB RB JJ IN JJ NNS CC RB VBN NNS . ',13,0,3,0,0,0,0,0,0,0,positive
189,0.03076923076923077,0.4,0.0,0.23076923076923078,1.0,0.0,0.07692307692307693,1.0,0.0,'target_beers','The bar is very well stocked with interesting beers and well priced wines ','DT NN VBZ RB RB JJ IN JJ NNS CC RB VBN NNS . ',13,0,3,0,0,0,0,0,0,0,positive
234,0.028571428571428574,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,'target_sake menu','The sake menu should not be overlooked ','DT NN NN MD RB VB VBN . ',7,1,1,0,1,0,0,0,0,0,positive
238,0.07692307692307693,0.6,0.0,0.23076923076923078,1.0,0.0,0.15384615384615385,1.0,0.0,'target_Wine list selection','Wine list selection is good and wine-by-the-glass was generously filled to the top ','NN NN NN VBZ JJ CC NN HYPH IN HYPH DT HYPH NN VBD RB VBN IN DT NN . ',13,0,2,0,0,0,0,0,0,0,positive
239,0.07692307692307693,0.6,0.0,0.23076923076923078,1.0,0.0,0.15384615384615385,1.0,0.0,'target_wine-by-the-glass','Wine list selection is good and wine-by-the-glass was generously filled to the top ','NN NN NN VBZ JJ CC NN HYPH IN HYPH DT HYPH NN VBD RB VBN IN DT NN . ',13,0,2,0,0,0,0,0,0,0,positive
262,0.029411764705882353,0.6,0.0,0.058823529411764705,1.0,0.0,0.07352941176470588,1.0,0.0,'target_beers','The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini ','DT VBP IN CD JJ NNS TO VB PRP$ NN IN IN VBD PRP$ NN RB JJ CC DT NN VBD JJ , IN PRP MD VB DT NN PRP MD VB DT NN NN . ',34,0,3,1,0,0,0,0,0,0,positive
466,0.12,0.6,0.0,0.2,1.0,0.0,0.2,1.0,0.0,'target_wine list','The wine list is excellent ','DT NN NN VBZ JJ . ',5,0,1,0,0,0,0,0,0,0,positive
468,0.028571428571428574,0.8,0.0,0.03571428571428571,1.0,0.0,0.03571428571428571,0.5,0.0,'target_selection of wines','The food is amazing  especially if you get the Chefs tasting menu and your favourite bottle (or two ) of wine from an extensive selection of wines ','DT NN VBZ JJ . ',28,0,3,1,0,0,0,0,0,0,positive
