@relation restaurant#general

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
0,0.04,0.6,0.0,0.06666666666666667,1.0,0.0,0.06666666666666667,1.0,0.0,'target_place','Judging from previous posts this used to be a good place, but not any longer ','VBG IN JJ NNS DT VBD TO VB DT JJ NN , CC RB DT RBR . ',15,0,1,0,1,0,0,0,0,1,negative
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_place','Avoid this place ','VB DT NN . ',3,1,1,0,0,0,0,0,0,0,negative
8,0.05454545454545454,0.6,0.0,0.09090909090909091,1.0,0.0,0.0,0.0,0.0,'target_Saul','Saul is the best restaurant on Smith Street and in Brooklyn ','NNP VBZ DT JJS NN IN NNP NNP CC IN NNP . ',11,0,1,0,0,0,0,0,0,0,positive
15,0.05714285714285715,0.0,-0.4,-0.14285714285714285,0.0,0.0,-0.14285714285714285,0.0,0.0,'target_restaurant','I was very disappointed with this restaurant ','PRP VBD RB JJ IN DT NN . ',7,0,1,1,0,0,0,0,0,0,negative
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_place','I/we will never go back to this place again ','PRP NFP PRP MD RB VB RB IN DT NN RB . ',9,0,1,0,0,0,0,0,0,0,negative
23,0.03870967741935484,0.6,0.0,0.06451612903225806,1.0,0.0,0.03225806451612903,1.0,0.0,'target_Fish','Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great ','VBD IN DT CD NN NN NN , IN NN VBG RP DT NN , CC PRP VBP RB JJ DT VBD DT NN PRP NNP NN VBD , IN PRP VBD RB JJ . ',31,1,1,1,0,0,0,0,0,0,positive
27,0.08,0.0,-0.4,-0.2,0.0,0.0,-0.2,0.0,0.0,'target_NULL','You cant go wrong here ','PRP MD RB VB JJ RB . ',5,0,1,0,0,1,0,0,0,0,positive
28,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.5,0.0,'target_Restaurant Saul','Every time in New York I make it a point to visit Restaurant Saul on Smith Street ','DT NN IN NNP NNP PRP VBP PRP DT NN TO VB NNP NNP IN NNP NNP . ',17,0,1,1,0,0,0,0,0,0,positive
33,0.0,0.0,0.0,0.0,0.0,0.0,-0.07142857142857142,0.5,0.0,'target_NULL','Cant wait wait for my next visit ','MD RB VB VB IN PRP$ JJ NN . ',7,0,1,0,0,1,0,0,0,0,positive
37,0.12,0.6,0.0,0.2,1.0,0.0,0.2,1.0,0.0,'target_pink pony','we love th pink pony ','PRP VBP DT JJ NN . ',5,0,1,0,0,0,0,0,0,0,positive
38,0.19999999999999998,0.6,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.0,'target_spot','THe perfect spot ','DT JJ NN . ',3,0,1,0,0,0,0,0,0,0,positive
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_place','Dont judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart ','VB RB VB DT NN NN NN , PRP VBP TO VB PRP TO VB PRP , DT NN RB IN NN IN DT JJ NN . ',23,0,1,0,0,1,0,1,0,0,positive
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','well, i didnt find it there, and trust, i have told everyone i can think of about my experience ','UH , PRP VBD RB VB PRP RB , CC NN , PRP VBP VBN NN PRP MD VB IN IN PRP$ NN . ',19,0,1,0,0,1,0,0,1,0,negative
50,0.04,0.6,0.0,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,'target_place','This place has got to be the best japanese restaurant in the new york area ','DT NN VBZ VBN TO VB DT JJS JJ NN IN DT JJ NN NN . ',15,0,1,0,0,0,0,0,0,0,positive
51,0.12,0.6,0.0,0.2,1.0,0.0,0.0,0.0,0.0,'target_NULL','I had a great experience ','PRP VBD DT JJ NN . ',5,0,1,1,0,0,0,0,0,0,positive
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','I have been going back again and again ','PRP VBP VBN VBG RB RB CC RB . ',8,0,1,1,0,0,0,0,0,0,positive
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','Im going back ','PRP VBP VBG RB . ',3,0,1,0,0,0,0,0,0,0,positive
70,0.044444444444444446,0.4,0.0,0.2222222222222222,1.0,0.0,0.16666666666666666,1.0,0.0,'target_NULL','I will be going back and heartily recommend it ','PRP MD VB VBG RB CC RB VB PRP . ',9,1,1,1,0,0,0,0,0,0,positive
91,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','A big disappointment, all around ','DT JJ NN , RB RB . ',5,0,1,1,0,0,0,0,0,0,negative
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','Worth the trip from Manhattan ','JJ DT NN IN NNP . ',5,0,1,0,0,0,0,0,0,0,positive
98,0.05714285714285715,0.4,0.0,0.14285714285714285,1.0,0.0,0.047619047619047616,0.3333333333333333,0.0,'target_place','This place is worth an one-hour drive ','DT NN VBZ JJ DT CD HYPH NN NN . ',7,0,1,0,0,0,0,0,0,0,positive
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_NULL','I am so coming back here again, as much as I can ','PRP VBP RB VBG RB RB RB , RB RB IN PRP MD . ',12,0,1,1,0,0,0,0,0,0,positive
100,0.0608695652173913,0.6,0.0,0.17391304347826086,1.0,0.0,0.07246376811594202,1.0,0.0,'target_Leon','Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ','NNP VBZ DT NNP NNP NN : JJ CC NN , IN RB VBN JJ JJ NN NN , JJ NNS , DT JJ CC JJ NN . ',23,0,5,0,0,0,0,0,0,1,positive
106,0.06666666666666667,0.4,-0.4,0.0,1.0,0.0,0.08333333333333333,1.0,0.0,'target_NULL','Have been dozens of times and never failed to enjoy the experience ','VBP VBN NNS IN NNS CC RB VBD TO VB DT NN . ',12,0,1,0,0,0,0,0,0,0,positive
107,0.09999999999999999,0.6,0.0,0.16666666666666666,1.0,0.0,0.16666666666666666,1.0,0.0,'target_NULL','Our teenage kids love it, too ','PRP$ JJ NNS VBP PRP , RB . ',6,0,1,0,0,0,0,0,0,0,positive
108,0.02857142857142857,0.0,-0.6,-0.047619047619047616,0.0,0.0,-0.047619047619047616,0.0,0.0,'target_Zucchero Pomodori','Everytime I decide to try another place on the UES, I get angry that I didnt just go to Zucchero Pomodori ','RB PRP VBP TO VB DT NN IN DT NNP , PRP VBP JJ IN PRP VBD RB RB VB IN NNP NNP . ',21,0,1,1,1,1,0,0,1,0,positive
109,0.04,0.4,0.0,0.1,1.0,0.0,0.1,1.0,0.0,'target_place','This is by far my favorite place in the neighborhood ','DT VBZ IN RB PRP$ JJ NN IN DT NN . ',10,0,1,0,0,0,0,0,0,0,positive
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_place','Make sure you try this place as often as you can ','VB JJ PRP VBP DT NN RB RB IN PRP MD . ',11,0,1,0,0,0,0,0,0,0,positive
