@relation OTHER

@attribute id numeric
@attribute lemma string
@attribute pos string
@attribute nsubj_1 string
@attribute nsubj_2 string
@attribute lexicons_min numeric
@attribute lexicons_max numeric
@attribute lexicons_extremes_difference numeric
@attribute contains_negation numeric
@attribute aspecttype {true, false}

@data
24,'good ','jj ','','',0.0,1.0,1.0,0,false
25,'view window need clean be change be not clear ','nn nns vbp vbg vb vbn vbd rb jj ','clear','they',0.0,1.0,1.0,1,false
26,'location be excellent ','nnp vbz jj ','excellent','location',0.0,1.0,1.0,0,false
27,'water pressure be also excellent ','nn nn vbz rb jj ','excellent','pressure',-0.2,1.0,1.2,0,false
28,'bathroom space be very small potentially people ','nn nn vbz rb jj rb nns ','small','space',0.0,0.0,0.0,0,false
29,'security be priority hotel ground level be connect small inside mall be huge bonus also seem be converging space homeless have mental health issue addiction issue ','nn vb nn nn nn nn vbz vbn jj jj nn vbz jj nn rb vbz vb jj nn jj vbp jj nn nns nn nns ','have','who',0.0,1.0,1.0,0,true
30,'make very in-predictable not have want run small kid tow ','vbz rb jj rb vb vbn vb jj nns nn ','in-predictable','them',0.0,0.2,0.2,1,false
31,'see few have episode next morning ','vbd jj vbg nns jj nn ','morning','episodes',0.0,0.0,0.0,0,false
70,'fine ','nn ','','',0.0,0.4,0.4,0,false
71,'gym have equipment need be upgrade ','nnp vbd nn nns vb vbn ','had','gym',0.0,0.0,0.0,1,false
89,'enjoy stay ','vbn nn ','','',0.0,1.0,1.0,0,true
90,'comfortable foot rest ','jj jj nn ','','',0.0,0.5,0.5,0,false
91,'next elevator ','rb nns ','','',0.0,0.0,0.0,0,false
131,'be more economical other property search area be room improvement ','vbd rbr jj jj nns vbd nn vbz nn nn ','is','room',0.0,1.0,1.0,1,false
132,'location be close event be attend ','nnp vbd jj nn vbd vbg ','attending','we',0.0,0.0,0.0,0,false
133,'be parking structure attack hotel do not need park outside ','vbz nn nn vbd nn vbd rb vb vb rb ','need','you',-0.2,0.5,0.7,1,false
134,'travel pet request mini fridge room medication storage be honour charge ','vb nns nn jj nn nn nn nn vbd vbn nn ','travel','you',0.0,0.4,0.4,1,false
