@relation drinks#quality

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
7,'Judging from previous posts this used to be a good place , but not any longer . ',false
19,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
31,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
43,'The food was lousy - too sweet or too salty and the portions tiny . ',false
55,'After all that , they complained to me about the small tip . ',false
67,'Avoid this place ! ',false
79,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
91,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
103,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
115,'The wine list is interesting and has many good values . ',false
127,'For the price , you can not eat this well in Manhattan . ',false
139,'I was very disappointed with this restaurant . ',false
151,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
163,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
175,'Food was okay , nothing great . ',false
187,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
199,'I / we will never go back to this place again . ',false
211,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
223,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
235,'You ca nt go wrong here . ',false
247,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
259,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
271,'I had the duck breast special on my last visit and it was incredible . ',false
283,'Ca nt wait wait for my next visit . ',false
295,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
307,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
319,'we love th pink pony . ',false
331,'THe perfect spot . ',false
343,'Food - awesome . ',false
355,'Service- friendly and attentive . ',false
367,'Ambiance - relaxed and stylish . ',false
379,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
391,'the food is decent . ',false
403,'however , it s the service that leaves a bad taste in my mouth . ',false
415,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
427,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
439,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
451,'the last time i walked by it looked pretty empty . ',false
463,'hmmm . ',false
475,'This place has got to be the best japanese restaurant in the new york area . ',false
487,'I had a great experience . ',false
499,'Food is great . ',false
511,'Service is top notch . ',false
523,'I have been going back again and again . ',false
