@relation valence

@attribute id numeric
@attribute aspectlabel string
@attribute unigrams string
@attribute polarity {positive, negative, neutral}

@data
0,RESTAURANT#GENERAL,'Judging from previous posts this used to be a good place, but not any longer ',negative
1,SERVICE#GENERAL,'We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude ',negative
2,SERVICE#GENERAL,'They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table ',negative
3,FOOD#QUALITY,'The food was lousy - too sweet or too salty and the portions tiny ',negative
4,FOOD#STYLE_OPTIONS,'The food was lousy - too sweet or too salty and the portions tiny ',negative
5,SERVICE#GENERAL,'After all that, they complained to me about the small tip ',negative
6,RESTAURANT#GENERAL,'Avoid this place ',negative
7,FOOD#QUALITY,'I have eaten at Saul, many times, the food is always consistently, outrageously good ',positive
8,RESTAURANT#GENERAL,'Saul is the best restaurant on Smith Street and in Brooklyn ',positive
9,FOOD#QUALITY,'The duck confit is always amazing and the foie gras terrine with figs was out of this world ',positive
10,FOOD#QUALITY,'The duck confit is always amazing and the foie gras terrine with figs was out of this world ',positive
11,DRINKS#STYLE_OPTIONS,'The wine list is interesting and has many good values ',positive
12,DRINKS#PRICES,'The wine list is interesting and has many good values ',positive
13,RESTAURANT#PRICES,'For the price, you cannot eat this well in Manhattan ',positive
14,FOOD#QUALITY,'For the price, you cannot eat this well in Manhattan ',positive
15,RESTAURANT#GENERAL,'I was very disappointed with this restaurant ',negative
16,SERVICE#GENERAL,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away ',negative
17,SERVICE#GENERAL,'I had to ask her three times before she finally came back with the dish Ive requested ',negative
18,FOOD#QUALITY,'Food was okay, nothing great ',neutral
19,FOOD#QUALITY,'Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family ',negative
20,FOOD#QUALITY,'Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family ',negative
21,RESTAURANT#MISCELLANEOUS,'Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family ',negative
22,RESTAURANT#GENERAL,'I/we will never go back to this place again ',negative
23,RESTAURANT#GENERAL,'Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great ',positive
24,SERVICE#GENERAL,'Service was devine, oysters where a sensual as they come, and the price cant be beat ',positive
25,FOOD#QUALITY,'Service was devine, oysters where a sensual as they come, and the price cant be beat ',positive
