@relation review

@attribute id numeric
@attribute title_lemma string
@attribute positive_part_lemma string
@attribute negative_part_lemma string
@attribute aspects_in_positive string
@attribute aspects_in_negative string
@attribute sentiment_avg_in_tit numeric
@attribute sentiment_avg_in_pos numeric
@attribute sentiment_avg_in_neg numeric
@attribute sentiment_max_in_pos numeric
@attribute sentiment_max_in_neg numeric
@attribute sentiment_min_in_pos numeric
@attribute sentiment_min_in_neg numeric
@attribute relation_of_type numeric
@attribute score numeric

@data
0,'good ','view - although window need clean change , clear . location excellent . water pressure also excellent ','bathroom space small potentially 0 people . security priority , hotel ground level connect small inside mall , huge bonus , - also seem converging space homeless , mental health issue addiction issue . make in-predictable i would want run #crd# small kid tow . see episode next morning . ',' -sauberkeit  -sauberkeit +lage  +komfort  ','-komfort  +lage  +lage   -other  -other ',0.65,0.09659090909090909,-0.023863636363636365,1.0,1.0,-0.2,0.0,0.3355855855855856,7.9
1,'fine ','gym equipment need upgrade ','',' -ausstattung ','',0.35,0.008,0.0,0.0,0.0,-0.2,0.0,0.0,7.1
2,'enjoy stay ','comfortable foot rest ','next elevator ','+other  ','',0.24,0.14615384615384613,0.0,1.0,0.0,0.0,0.0,1.4444444444444444,6.7
3,'economical property i search area room improvement . ','location close event attend . parking structure attack hotel need park outside . travel pet request mini fridge room medication storage honour charge . ','bathroom date , tile crack shower much grout black . carpet stain dirty ( sock turn get dirty walking carpet ) . parking garage low ceiling ( 0 foot max clearance ) large vehicle fit cost $ 0 / day . $ 0 charge clean room travel pet tell check - . bar / restaurant close go drink #crd# evening post hour operation.u ','+lage  +komfort  ','-komfort  -komfort  -sauberkeit  -sauberkeit  -ausstattung   -other -hotelpersonal  -ausstattung  -ausstattung  ',0.061818181818181814,-0.007643312101910828,-0.030148619957537145,0.5,1.0,-0.2,-0.4,0.49056603773584906,7.1
4,'acceptably ','good location , parking , grocery store building ','old hotel relevant smell , socket room . charge cellular bathroom . air condition terrible . ask staff switch evening , night start blow cool air noisy . cold uncomfortable . ','+ausstattung  +lage  ','-ausstattung  -sauberkeit  -komfort  -komfort  ',0.0,0.11075268817204302,-0.20107526881720428,1.0,1.0,0.0,-0.6,0.210727969348659,7.5
5,'stay okay . i consider stay . ','location great , right downtown montreal . view amazing bed comfortable enough . ','hotel outdated . carpet pretty old vent dusty . actually see caked dust . need update aesthetically . ','+lage  +lage  +komfort  ','-ausstattung  -ausstattung  -sauberkeit  -ausstattung  ',0.0,0.11724137931034484,-0.03103448275862069,1.0,1.0,0.0,0.0,0.6710526315789473,7.1
6,'good ','housekeeper sweet great job ','. little thing like break light , mildew drippy faucet . hotel need bit tlc . otherwise nice experience . housekeeping staff friendly great job ','+hotelpersonal  +hotelpersonal  ','-komfort  -sauberkeit  -other  +other  +hotelpersonal  +hotelpersonal  ',0.65,0.1323529411764706,0.16176470588235295,1.0,1.0,0.0,0.0,0.2722772277227723,7.9
7,'good ','bed real ','','','',0.65,0.038461538461538464,0.0,0.5,0.0,0.0,0.0,0.0,7.9
8,'meh . ','s good location s clean . ','s date . tv work . staff reception warm . i stay i absolutely . strand storm book last minute . ','',' -komfort  -hotelpersonal ',0.0,0.14705882352941177,0.05,1.0,1.0,0.0,0.0,0.22727272727272727,7.1
9,'rude staff ','staff give unpleasant vibe start right bat . #crd# female receptionist attitude explain room deposit correctly i return ask clarify something s already say , seem upset ','','-hotelpersonal   -hotelpersonal ','-hotelpersonal  ',-0.14285714285714285,-0.0029026217228464418,0.0,1.0,0.0,-0.4,0.0,0.0,6.2
10,'good location , adequate stay , would stay price right . ','quiet , comfortable , clean , great location . bar fridge room useful . ','room furniture need update . pool area also need makeover . ','+lage  +other  +lage  +komfort  ',' -komfort  -komfort  -ausstattung ',0.08727272727272728,0.15961538461538463,0.00641025641025641,1.0,0.3333333333333333,0.0,0.0,1.161764705882353,7.5
11,'good location , adequate stay , would stay price right . ','quiet , comfortable , clean , great location . bar fridge room useful . ','room furniture need update . pool area also need makeover . ','+lage  +other  +lage  +komfort  ',' -komfort  -komfort  -ausstattung ',0.08727272727272728,0.15961538461538463,0.00641025641025641,1.0,0.3333333333333333,0.0,0.0,1.161764705882353,7.5
12,'thang service ! ','moon light !! ','maybe update little bit color furniture !! ','',' -komfort ',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34545454545454546,8.3
13,'good ','location ','. bathroom show age . time renovate ! ','','-komfort  -ausstattung  ',0.65,0.0,0.07142857142857142,0.0,0.5,0.0,0.0,0.2549019607843137,7.5
14,'i wish i would wait low rate site offer $ 0 per night . stay #crd# ni ','nice big room upgrade arrival ','. smell lobby #ord# walk smell stale like nursing home . much antiseptic smell try cover stale smell . beautiful old building i appreciate . also turn water midnight 0 . big affect far comfort ','+komfort  +komfort  ','-sauberkeit  +ausstattung  -ausstattung  ',0.002857142857142857,0.09473684210526316,0.04035087719298238,1.0,1.0,0.0,-0.4,0.12408759124087591,7.5
15,'good ','location fair ','old hotel , room curtain fall ','','-ausstattung  -komfort  ',0.65,0.14615384615384613,-0.15384615384615385,1.0,0.0,0.0,0.0,0.6037735849056604,7.5
16,'stay ok bit like b&b old style hotel ambience without bar diner ','breakfast good , location excellent , view room good . room clean service good . safe place quiet ','usb pports power point electronic device ; furniture old bed squeak . last evening could get room apparently check already . room service , bar except lunch time quite 0 star standard ','+other  +lage  +lage  +hotelpersonal  +lage  ','-komfort  -ausstattung  -ausstattung  -komfort  -komfort  -komfort  -hotelpersonal  -ausstattung  ',0.0208955223880597,0.2392857142857143,0.011428571428571429,1.0,1.0,0.0,-0.2,0.44402985074626866,6.2
17,'excellent customer service . ','staff accommodating helpful . ','bathroom shower mold wall . explain problem front desk , apologetic move us upgrade room . excellent customer service . ','+hotelpersonal  +hotelpersonal  +hotelpersonal  ','+hotelpersonal  +hotelpersonal  ',0.27692307692307694,0.096,0.11,1.0,1.0,0.0,-0.4,0.2611111111111111,7.5
18,'good ','location excellent , central , convenient public transportation , restaurant , metro , place dupuis food court , various service ','maintenance spotty . bathtub drain clog , hairdryer work , ice maker several floor order , furniture room scuff . ','+lage  +lage  +lage  ','-hotelpersonal  -sauberkeit   -komfort -ausstattung  -komfort  ',0.65,0.07642857142857143,-0.04285714285714286,1.0,1.0,0.0,0.0,0.9379310344827586,7.1
19,'good ','really like location hotel ','swimming pool cold . ','+lage  ','-ausstattung  ',0.65,0.055999999999999994,-0.04666666666666667,1.0,0.3333333333333333,0.0,0.0,1.5357142857142858,7.1
