@relation ambience#general

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
31,0.013333333333333334,0.2,0.0,0.06666666666666667,1.0,0.0,0.03333333333333333,0.5,0.0,'target_decor','Everything is always cooked to perfection, the service is excellent, the decor cool and understated ','NN VBZ RB VBN IN NN , DT NN VBZ JJ , DT NN JJ CC JJ . ',15,0,3,0,0,0,0,0,0,0,positive
41,0.1,0.4,0.0,0.5,1.0,0.0,0.0,0.0,0.0,'target_Ambiance','Ambiance- relaxed and stylish ','NN HYPH JJ CC JJ . ',4,0,1,0,0,0,0,0,0,0,positive
83,0.08235294117647059,0.6,0.0,0.17647058823529413,1.0,0.0,0.029411764705882353,0.5,0.0,'target_ambience','The ambience is pretty and nice for conversation, so a casual lunch here would probably be best ','DT NN VBZ JJ CC JJ IN NN , RB DT JJ NN RB MD RB VB JJS . ',17,0,2,0,0,0,0,0,0,0,positive
85,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.5,0.0,'target_ambience','However, go for the ambience, and consider the food just a companion for a trip across the world ','RB , VB IN DT NN , CC VB DT NN RB DT NN IN DT NN IN DT NN . ',18,1,2,0,0,0,0,0,0,0,positive
101,0.0608695652173913,0.6,0.0,0.17391304347826086,1.0,0.0,0.07246376811594202,1.0,0.0,'target_Leon','Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ','NNP VBZ DT NNP NNP NN : JJ CC NN , IN RB VBN JJ JJ NN NN , JJ NNS , DT JJ CC JJ NN . ',23,0,5,0,0,0,0,0,0,1,positive
103,0.0608695652173913,0.6,0.0,0.17391304347826086,1.0,0.0,0.07246376811594202,1.0,0.0,'target_atmosphere','Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere ','NNP VBZ DT NNP NNP NN : JJ CC NN , IN RB VBN JJ JJ NN NN , JJ NNS , DT JJ CC JJ NN . ',23,0,5,0,0,0,0,0,0,1,positive
111,0.0,0.0,0.0,0.05555555555555555,1.0,0.0,0.08333333333333333,1.0,0.0,'target_decor','The service is excellent, the decor is great, and the food is delicious and comes in large portions ','DT NN VBZ JJ , DT NN VBZ JJ , CC DT NN VBZ JJ CC VBZ IN JJ NNS . ',18,0,4,0,0,0,0,0,0,0,positive
124,0.1111111111111111,0.6,0.0,0.1111111111111111,1.0,0.0,0.0,0.0,0.0,'target_atmoshpere','The pizza is yummy and I like the atmoshpere ','DT NN VBZ JJ CC PRP VBP DT NN . ',9,0,2,1,0,0,0,0,0,0,positive
138,0.04,0.2,0.0,0.4,1.0,0.0,0.0,0.0,0.0,'target_NULL','Very cozy and warm inside ','RB JJ CC JJ RB . ',5,0,1,0,0,0,0,0,0,0,positive
141,0.07272727272727274,0.8,0.0,0.0,1.0,0.0,-0.07575757575757575,0.5,0.0,'target_place','The place is small and cramped but the food is fantastic ','DT NN VBZ JJ CC JJ CC DT NN VBZ JJ . ',11,0,2,0,0,0,0,0,0,1,negative
147,0.03333333333333333,0.6,0.0,0.05555555555555555,1.0,0.0,0.027777777777777776,0.5,0.0,'target_open kitchen','Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm ','RB DT NNS IN DT NN VBD RB JJ , CC DT JJ NN VBZ NN IN DT NN . ',18,0,2,0,0,0,0,0,0,1,positive
