@relation Sauberkeit-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
120,'Good . ',false
121,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',true
122,'Location is excellent . ',false
123,'Water pressure is also excellent . ',false
124,'Bathroom space is very small for potentially 4 people . ',false
125,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
126,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
127,'Saw a few having episodes the next morning . ',false
158,'Fine . ',false
159,'Gym had no equipment Needs to be upgraded ',false
205,'Enjoyed our stay . ',false
206,'Comfortable and Foot rest . ',false
207,'Next to elevators ',false
343,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
344,'Location was close to the event we were attending . ',false
345,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
346,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
347,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',true
348,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',true
349,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
350,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
351,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
457,'Acceptably . ',false
458,'Good Location , parking , grocery store in the building . ',false
459,'Old hotel and relevant smell , no sockets in the room at all . ',true
460,'Had to charge cellular in bathroom . ',false
461,'Air condition was terrible . ',false
462,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
463,'It was very cold and uncomfortable . ',false
584,'Stay was okay . ',false
585,'I will consider staying there again . ',false
586,'The location was great , right downtown Montreal . ',false
587,'View was amazing and the bed was comfortable enough . ',false
588,'The hotel was outdated . ',false
589,'Carpet was pretty old and the vent was VERY dusty . ',true
590,'You can actually see the caked on dust . ',false
591,'It does need updating aesthetically . ',false
682,'Good . ',false
683,'The housekeeper was very sweet and she did a great job . ',false
684,'There were some little things like broken lights , mildew and drippy faucet . ',false
685,'The hotel needs a bit of TLC . ',false
686,'Otherwise a nice experience . ',false
687,'The housekeeping staff were very friendly and they did a great job ',false
718,'Good . ',false
719,'Beds are not real . ',false
825,'Meh . ',false
826,'It s in a good location and it s clean . ',false
827,'It s very dated . ',false
828,'The TV did nt work . ',false
829,'The staff at reception are nt warm . ',false
830,'I only stay here if I absolutely have to . ',false
831,'We were stranded with the storm so we booked it last minute . ',false
877,'Rude staff . ',false
878,'The staff gave an unpleasant vibe that started right off the bat . ',false
879,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
955,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
956,'Quiet , comfortable , clean , GREAT LOCATION . ',false
957,'Bar fridge in room was very useful . ',false
958,'Rooms and furniture need updating . ',false
959,'Pool area also needs a makeover . ',false
1035,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
1036,'Quiet , comfortable , clean , GREAT LOCATION . ',false
1037,'Bar fridge in room was very useful . ',false
1038,'Rooms and furniture need updating . ',false
1039,'Pool area also needs a makeover . ',false
1085,'Thangs for the service ! ',false
1086,'The moon light !!!! ',false
1087,'Maybe update a little bit more coloRs and furniture !!! ',false
1148,'Good . ',false
1149,'The location . ',false
1150,'Bathrooms are showing their age . ',false
1151,'Time to renovate ! ',false
1272,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1273,'We stayed for two ni . ',false
1274,'Nice big room upgraded on arrival . ',false
1275,'The smell in lobby when you first walk in it smells stale like a nursing home . ',true
1276,'Too much antiseptic smell trying to cover up the stale smell . ',true
1277,'Beautiful older building I can appreciate . ',false
1278,'Also they had to turn off the water from midnight to 6 am . ',false
1279,'No big affect as far as comfort ',false
1325,'Good . ',false
1326,'location is good?Cprice is fair . ',false
1327,'its a old hotel , and in my room the curtain fell off ',false
1433,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1434,'Breakfast was good , location excellent , view from room was good . ',false
1435,'Room cleaning service was good . ',false
1436,'Safe place and quiet . ',false
1437,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1438,'The last evening we could not get into our room as we were apparently checked out already . ',false
1439,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1515,'Excellent customer service . ',false
1516,'The staff were very accommodating and helpful . ',false
1517,'Our bathroom shower had mold on the walls . ',false
1518,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
