@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
120,'Good . ',Sauberkeit-negative,false
121,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Sauberkeit-negative,true
122,'Location is excellent . ',Sauberkeit-negative,false
123,'Water pressure is also excellent . ',Sauberkeit-negative,false
124,'Bathroom space is very small for potentially 4 people . ',Sauberkeit-negative,false
125,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Sauberkeit-negative,false
126,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Sauberkeit-negative,false
127,'Saw a few having episodes the next morning . ',Sauberkeit-negative,false
158,'Fine . ',Sauberkeit-negative,false
159,'Gym had no equipment Needs to be upgraded ',Sauberkeit-negative,false
205,'Enjoyed our stay . ',Sauberkeit-negative,false
206,'Comfortable and Foot rest . ',Sauberkeit-negative,false
207,'Next to elevators ',Sauberkeit-negative,false
343,'Was more economical than other properties I searched in the area but there is room for improvement . ',Sauberkeit-negative,false
344,'Location was close to the event we were attending . ',Sauberkeit-negative,false
345,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Sauberkeit-negative,false
346,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Sauberkeit-negative,false
347,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Sauberkeit-negative,true
348,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Sauberkeit-negative,true
349,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Sauberkeit-negative,false
350,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Sauberkeit-negative,false
351,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Sauberkeit-negative,false
457,'Acceptably . ',Sauberkeit-negative,false
458,'Good Location , parking , grocery store in the building . ',Sauberkeit-negative,false
459,'Old hotel and relevant smell , no sockets in the room at all . ',Sauberkeit-negative,true
460,'Had to charge cellular in bathroom . ',Sauberkeit-negative,false
461,'Air condition was terrible . ',Sauberkeit-negative,false
462,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Sauberkeit-negative,false
463,'It was very cold and uncomfortable . ',Sauberkeit-negative,false
584,'Stay was okay . ',Sauberkeit-negative,false
585,'I will consider staying there again . ',Sauberkeit-negative,false
586,'The location was great , right downtown Montreal . ',Sauberkeit-negative,false
587,'View was amazing and the bed was comfortable enough . ',Sauberkeit-negative,false
588,'The hotel was outdated . ',Sauberkeit-negative,false
589,'Carpet was pretty old and the vent was VERY dusty . ',Sauberkeit-negative,true
590,'You can actually see the caked on dust . ',Sauberkeit-negative,false
591,'It does need updating aesthetically . ',Sauberkeit-negative,false
682,'Good . ',Sauberkeit-negative,false
683,'The housekeeper was very sweet and she did a great job . ',Sauberkeit-negative,false
684,'There were some little things like broken lights , mildew and drippy faucet . ',Sauberkeit-negative,false
685,'The hotel needs a bit of TLC . ',Sauberkeit-negative,false
686,'Otherwise a nice experience . ',Sauberkeit-negative,false
687,'The housekeeping staff were very friendly and they did a great job ',Sauberkeit-negative,false
718,'Good . ',Sauberkeit-negative,false
719,'Beds are not real . ',Sauberkeit-negative,false
825,'Meh . ',Sauberkeit-negative,false
826,'It s in a good location and it s clean . ',Sauberkeit-negative,false
827,'It s very dated . ',Sauberkeit-negative,false
828,'The TV did nt work . ',Sauberkeit-negative,false
829,'The staff at reception are nt warm . ',Sauberkeit-negative,false
830,'I only stay here if I absolutely have to . ',Sauberkeit-negative,false
831,'We were stranded with the storm so we booked it last minute . ',Sauberkeit-negative,false
877,'Rude staff . ',Sauberkeit-negative,false
878,'The staff gave an unpleasant vibe that started right off the bat . ',Sauberkeit-negative,false
879,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Sauberkeit-negative,false
955,'Good location , adequate for our stay , Would stay there again if the price was right . ',Sauberkeit-negative,false
956,'Quiet , comfortable , clean , GREAT LOCATION . ',Sauberkeit-negative,false
