@relation Preis-Leistungs-Verhltnis

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
40,'good . ',false
41,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
42,'location is excellent . ',false
43,'water pressure is also excellent . ',false
44,'bathroom space is very small for potentially 4 people . ',false
45,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
46,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
47,'saw a few having episodes the next morning . ',false
74,'fine . ',false
75,'gym had no equipment needs to be upgraded ',false
95,'enjoyed our stay . ',false
96,'comfortable and foot rest . ',false
97,'next to elevators ',false
149,'was more economical than other properties i searched in the area but there is room for improvement . ',false
150,'location was close to the event we were attending . ',false
151,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
152,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
153,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
154,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
155,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
156,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
157,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
211,'acceptably . ',false
212,'good location , parking , grocery store in the building . ',false
213,'old hotel and relevant smell , no sockets in the room at all . ',false
214,'had to charge cellular in bathroom . ',false
215,'air condition was terrible . ',false
216,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
217,'it was very cold and uncomfortable . ',false
272,'stay was okay . ',false
273,'i will consider staying there again . ',false
274,'the location was great , right downtown montreal . ',false
275,'view was amazing and the bed was comfortable enough . ',false
276,'the hotel was outdated . ',false
277,'carpet was pretty old and the vent was very dusty . ',false
278,'you can actually see the caked on dust . ',false
279,'it does need updating aesthetically . ',false
326,'good . ',false
327,'the housekeeper was very sweet and she did a great job . ',false
328,'there were some little things like broken lights , mildew and drippy faucet . ',false
329,'the hotel needs a bit of tlc . ',false
330,'otherwise a nice experience . ',false
331,'the housekeeping staff were very friendly and they did a great job ',false
354,'good . ',false
355,'beds are not real . ',false
395,'meh . ',false
396,'it s in a good location and it s clean . ',false
397,'it s very dated . ',false
398,'the tv did nt work . ',false
399,'the staff at reception are nt warm . ',false
400,'i only stay here if i absolutely have to . ',false
401,'we were stranded with the storm so we booked it last minute . ',false
431,'rude staff . ',false
432,'the staff gave an unpleasant vibe that started right off the bat . ',false
433,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
465,'good location , adequate for our stay , would stay there again if the price was right . ',false
466,'quiet , comfortable , clean , great location . ',false
467,'bar fridge in room was very useful . ',false
468,'rooms and furniture need updating . ',false
469,'pool area also needs a makeover . ',false
505,'good location , adequate for our stay , would stay there again if the price was right . ',false
506,'quiet , comfortable , clean , great location . ',false
507,'bar fridge in room was very useful . ',false
508,'rooms and furniture need updating . ',false
509,'pool area also needs a makeover . ',false
535,'thangs for the service ! ',false
536,'the moon light !!!! ',false
537,'maybe update a little bit more colors and furniture !!! ',false
564,'good . ',false
565,'the location . ',false
566,'bathrooms are showing their age . ',false
567,'time to renovate ! ',false
616,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
617,'we stayed for two ni . ',false
618,'nice big room upgraded on arrival . ',false
619,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
620,'too much antiseptic smell trying to cover up the stale smell . ',false
621,'beautiful older building i can appreciate . ',false
622,'also they had to turn off the water from midnight to 6 am . ',false
623,'no big affect as far as comfort ',false
655,'good . ',false
656,'location is good?cprice is fair . ',false
657,'its a old hotel , and in my room the curtain fell off ',false
699,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
700,'breakfast was good , location excellent , view from room was good . ',false
701,'room cleaning service was good . ',false
702,'safe place and quiet . ',false
703,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
704,'the last evening we could not get into our room as we were apparently checked out already . ',false
705,'no room service , no bar except during lunch time not quite 4 star standard ',false
745,'excellent customer service . ',false
746,'the staff were very accommodating and helpful . ',false
747,'our bathroom shower had mold on the walls . ',false
748,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
749,'excellent customer service . ',false
780,'good . ',false
781,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
782,'maintenance is spotty . ',false
783,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
807,'good . ',false
808,'we really liked the location of the hotel . ',false
809,'the swimming pool was cold . ',false
836,'pleasant . ',false
837,'great location . ',false
838,'the room have mold . ',false
839,'they move me to another room becsuse of the noise from the contiguos room . ',false
863,'good . ',false
864,'close to shopping . ',false
865,'no heat in bathroom ',false
882,'good . ',false
883,'service de concierge nest pas sufficient ',false
913,'okay . ',false
914,'location . ',false
915,'the room was very tired and overused . ',false
916,'the room need a facelift . ',false
917,'the carpet was stained , there was mould in the bathroom . ',false
943,'overall nice one . ',false
944,'location . ',false
945,'facilities ',false
992,'good value for money . ',true
993,'great location , next to metro station , big n modern food court , supermarket . ',false
994,'walkable to city centre . ',false
995,'erred an electric teapot to a coffee maker . ',false
996,'coffee brewer can be cleaned after each guest . ',false
997,'. ',false
998,'sheet is big enough to be tucked under the matress . ',false
999,'so that it wo nt be rolled up . ',false
1046,'good cost effectiveness . ',true
1047,'good location . ',false
1048,'good location . ',false
1049,'breakfest could be better . ',false
1050,'there is no room service and the restaurant is closed for dinner , what s is essential . ',false
1051,'pool is only opened in the evening ! ',false
1084,'okay . ',false
1085,'great location . ',false
1086,'i lost some of my things when i left and i contacted them about it but they said they can?ft find it ... ',false
1087,'also , the hot water would only work in the morning ',false
1121,'good . ',false
1122,'great buffet . ',false
1123,'too bad there was no fridge in our room since we booked the smaller room . ',false
1124,'great location . ',false
1125,'parking was scary but at least it wasn?ft on the street ',false
1171,'the room served its purpose . ',false
1172,'no more and no less . ',false
1173,'room 718 - it was a very clean room . ',false
1174,'front staff was friendly . ',false
1175,'front entrance was beautiful . ',false
1176,'ked that there was parking underground with easy access to the hotel . ',false
1177,'room 718 - the bathroom was in need of major renovation ( i was nt comfortable with the mold on the bath tub walls ) . ',false
1217,'good . ',false
1218,'the lobby was clean and the room was clean and had a great view of the city . ',false
1219,'the restaurant in the hotel was good . ',false
1220,'the location of the hotel is great for access to st. catherine s street and getting downtown . ',false
1221,'the bathrooms were outdated , and seemed a little scummy . ',false
1252,'good value . ',true
1253,'the location was very convenient and the view from our room was outstanding . ',false
1254,'it needs to be updated . ',false
1255,'it took a full five minutes running the shower before the water was really warm . ',false
1274,'pleasant . ',false
1275,'very old , needs reformation on comon areas . ',false
1290,'probably would not stay there again . ',false
1291,'there was no working ice machine . ',false
1331,'would go back and would recommend to friends . ',false
1332,'the rooms were roomy . ',false
1333,'the location was excellent . ',false
1334,'it was clean and the staff were awesome . ',false
1335,'the air ducts need cleaning . ',false
1336,'when they came on i smelled mould . ',false
1337,'the pool hours were limited and odd . ',false
1362,'good . ',false
1363,'location ',false
1383,'very good . ',false
1384,'nice in the city . ',false
1385,'room has no fridge ',false
1417,'good . ',false
1418,'good location . ',false
1419,'lots of elevators that worked rapidly . ',false
1420,'old building . ',false
1421,'not a lot of amenities . ',false
1462,'home away from home . ',false
1463,'ideal location of hotel at the heart of downtown montreal . ',false
1464,'friendly and helpful staff . ',false
1465,'trustworthy housekeeping . ',false
1466,'wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
1467,'too many homeless people near hotel . ',false
1495,'pleasant . ',false
1496,'good location . ',false
1497,'the design is quite old and need change lift to car park ',false
1539,'the hotel was convenient to the airport shuttle and subway . ',false
1540,'the bed was comfy . ',false
1541,'the coffee machine did nt work . ',false
1542,'there was a strange smell in the room . ',false
1543,'the room and hotel was a little tired and tatty . ',false
1544,'one of the staff was friendly . ',false
1545,'the others made no effort to be friendly or helpful . ',false
1575,'not bad . ',false
1576,'location , comfort . ',false
1577,'payment process ',false
1599,'very nice hotel , would recommend . ',false
1600,'staff ( sammy , at checkin ) very helpful in providing a room with a nice view ! ',false
1601,'very bad signage for directions from parking garage to hotel through food court , ect . ',false
1628,'good . ',false
1629,'location is great . ',false
1630,'old hotel with old equipments : old bathroom , old carpets .. ',false
1631,'needs urgent remodeling ',false
1670,'breakfast needs improvement . ',false
1671,'proximity to everything in montreal . ',false
1672,'location . ',false
1673,'breakfast a bit expensive . ',true
1674,'was cold . ',false
1675,'spresso ',false
1723,'fairly good hotel , nice practical location . ',false
1724,'good location , check - in / out was fast , i was able to get my room earlier than expected , and in general the stay was pleasant . ',false
1725,'it s also connected to a shopping mall and the metro system , so you do nt have to go outside to get to those . ',false
1726,'it was nt my first stay in this hotel and i m sure it wo nt be my last . ',false
1727,'a big space under the door let the sound and light in , which was mildly annoying while trying to sleep . ',false
1728,'i ve also reduced the score for  facilities  because the hotel still follows the archaic ( and slightly offensive ) practice of putting a bible ( or , in this case , new testament ) in the room . ',false
1729,'as a non-christian , this irritates me and i would like it to stop . ',false
1759,'pleasant . ',false
1760,'it was a nice clean hotel . ',false
1761,'during the night heard the air circulation almost sounded like a roller coaster kept waking me up ',false
1803,'location , location , location . ',false
1804,'the location was absolutely terrific . ',false
1805,'the staff were extremely accommodating , but the hotel is in need of an update . ',false
1806,'our first room smelled like smoke , and we were immediately moved to another room . ',false
1807,'where the lock was nt working - it was immediately fixed . ',false
1808,'the staff helped us book our train rides , loaned us a wine opener , and never said  no  to a request . ',false
1809,'the rooms need upgrading . ',false
1859,'satisfied ! ',false
1860,'hotel location was great ! ',false
1861,'easy subway access . ',false
1862,'close to bars and restaurants , and beds were comfortable . ',false
1863,'staff is bilingual , and were able to give information for getting around the city . ',false
1864,'our room was beside the elevators and we could hear them going up and down quite loudly . ',false
1865,'wasn?ft the best noise to wake up to in the morning . ',false
1900,'pleasant . ',false
1901,'after we complained for our roos they gave us better rooms . ',false
