@relation Ausstattung-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
0,'Good . ',false
1,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
2,'Location is excellent . ',false
3,'Water pressure is also excellent . ',false
4,'Bathroom space is very small for potentially 4 people . ',false
5,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
6,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
7,'Saw a few having episodes the next morning . ',false
128,'Fine . ',false
129,'Gym had no equipment Needs to be upgraded ',false
160,'Enjoyed our stay . ',false
161,'Comfortable and Foot rest . ',false
162,'Next to elevators ',true
208,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
209,'Location was close to the event we were attending . ',false
210,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
211,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
212,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
213,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
214,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
215,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
216,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
352,'Acceptably . ',false
353,'Good Location , parking , grocery store in the building . ',false
354,'Old hotel and relevant smell , no sockets in the room at all . ',false
355,'Had to charge cellular in bathroom . ',false
356,'Air condition was terrible . ',false
357,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
358,'It was very cold and uncomfortable . ',false
464,'Stay was okay . ',false
465,'I will consider staying there again . ',false
466,'The location was great , right downtown Montreal . ',false
467,'View was amazing and the bed was comfortable enough . ',false
468,'The hotel was outdated . ',false
469,'Carpet was pretty old and the vent was VERY dusty . ',false
470,'You can actually see the caked on dust . ',false
471,'It does need updating aesthetically . ',false
592,'Good . ',false
593,'The housekeeper was very sweet and she did a great job . ',false
594,'There were some little things like broken lights , mildew and drippy faucet . ',false
595,'The hotel needs a bit of TLC . ',false
596,'Otherwise a nice experience . ',false
597,'The housekeeping staff were very friendly and they did a great job ',false
688,'Good . ',false
689,'Beds are not real . ',false
720,'Meh . ',false
721,'It s in a good location and it s clean . ',false
722,'It s very dated . ',false
723,'The TV did nt work . ',false
724,'The staff at reception are nt warm . ',false
725,'I only stay here if I absolutely have to . ',false
726,'We were stranded with the storm so we booked it last minute . ',false
832,'Rude staff . ',false
833,'The staff gave an unpleasant vibe that started right off the bat . ',false
834,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
880,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
881,'Quiet , comfortable , clean , GREAT LOCATION . ',false
882,'Bar fridge in room was very useful . ',false
883,'Rooms and furniture need updating . ',false
884,'Pool area also needs a makeover . ',false
960,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
961,'Quiet , comfortable , clean , GREAT LOCATION . ',false
962,'Bar fridge in room was very useful . ',false
963,'Rooms and furniture need updating . ',false
964,'Pool area also needs a makeover . ',false
1040,'Thangs for the service ! ',false
1041,'The moon light !!!! ',false
1042,'Maybe update a little bit more coloRs and furniture !!! ',false
1088,'Good . ',false
1089,'The location . ',false
1090,'Bathrooms are showing their age . ',false
1091,'Time to renovate ! ',false
1152,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1153,'We stayed for two ni . ',false
1154,'Nice big room upgraded on arrival . ',false
1155,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1156,'Too much antiseptic smell trying to cover up the stale smell . ',false
1157,'Beautiful older building I can appreciate . ',true
1158,'Also they had to turn off the water from midnight to 6 am . ',false
1159,'No big affect as far as comfort ',false
1280,'Good . ',false
1281,'location is good?Cprice is fair . ',false
1282,'its a old hotel , and in my room the curtain fell off ',false
1328,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1329,'Breakfast was good , location excellent , view from room was good . ',false
1330,'Room cleaning service was good . ',false
1331,'Safe place and quiet . ',false
1332,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1333,'The last evening we could not get into our room as we were apparently checked out already . ',false
1334,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1440,'Excellent customer service . ',false
1441,'The staff were very accommodating and helpful . ',false
1442,'Our bathroom shower had mold on the walls . ',false
1443,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1444,'Excellent customer service . ',false
1520,'Good . ',false
1521,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1522,'Maintenance is spotty . ',false
1523,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1584,'Good . ',false
1585,'We really liked the location of the hotel . ',false
1586,'The swimming pool was cold . ',false
1632,'Pleasant . ',false
1633,'Great Location . ',false
1634,'The room have mold . ',false
1635,'They move me to another room becsuse of the noise from the contiguos room . ',false
1696,'Good . ',false
1697,'Close to shopping . ',false
1698,'No heat in bathroom ',false
1744,'Good . ',false
1745,'Service de concierge nest pas sufficient ',false
1776,'Okay . ',false
1777,'Location . ',false
1778,'The room was very tired and overused . ',false
1779,'The room need a facelift . ',false
1780,'The carpet was stained , there was mould in the bathroom . ',false
1856,'Overall nice one . ',false
1857,'Location . ',false
1858,'Facilities ',false
1904,'Good value for money . ',false
1905,'Great location , next to Metro station , big n modern food court , supermarket . ',false
1906,'Walkable to city centre . ',false
1907,'erred an electric teapot to a coffee maker . ',false
1908,'Coffee brewer can be cleaned after each guest . ',false
1909,'. ',false
1910,'sheet is big enough to be tucked under the matress . ',false
1911,'So that it wo nt be rolled up . ',false
2032,'Good cost effectiveness . ',false
2033,'Good location . ',false
2034,'Good location . ',false
2035,'Breakfest could be better . ',false
2036,'There is no room service and the restaurant is closed for dinner , what s is essential . ',false
2037,'Pool is only opened in the evening ! ',false
2128,'Okay . ',false
2129,'Great location . ',false
2130,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',false
2131,'also , the hot water would only work in the morning ',false
2192,'Good . ',false
2193,'Great buffet . ',false
2194,'Too bad there was no fridge in our room since we booked the smaller room . ',false
2195,'Great location . ',false
2196,'Parking was scary but at least it wasn?ft on the street ',false
2272,'The room served its purpose . ',false
2273,'No more and no less . ',false
2274,'Room 718 - It was a very clean room . ',false
2275,'front staff was friendly . ',false
2276,'front entrance was beautiful . ',true
2277,'ked that there was parking underground with easy access to the hotel . ',true
2278,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',false
2384,'Good . ',false
2385,'The lobby was clean and the room was clean and had a great view of the city . ',false
2386,'The restaurant in the hotel was good . ',false
2387,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',false
2388,'The bathrooms were outdated , and seemed a little scummy . ',false
2464,'Good value . ',false
2465,'The location was very convenient and the view from our room was outstanding . ',false
2466,'It needs to be updated . ',true
2467,'It took a full five minutes running the shower before the water was really warm . ',false
2528,'Pleasant . ',false
2529,'very old , needs reformation on comon areas . ',false
2560,'Probably would not stay there again . ',false
2561,'There was no working ice machine . ',false
2592,'Would go back and would recommend to friends . ',false
2593,'The rooms were roomy . ',false
2594,'The location was excellent . ',false
2595,'It was clean and The staff were awesome . ',false
2596,'The air ducts need cleaning . ',false
2597,'When they came on I smelled mould . ',false
2598,'The pool hours were limited and odd . ',false
2704,'Good . ',false
2705,'Location ',false
2736,'Very Good . ',false
2737,'Nice in the city . ',false
2738,'Room has no fridge ',false
2784,'Good . ',false
2785,'Good location . ',false
2786,'Lots of elevators that worked rapidly . ',true
2787,'Old building . ',false
2788,'Not a lot of amenities . ',false
2864,'Home away from home . ',false
2865,'Ideal location of hotel at the heart of downtown Montreal . ',false
2866,'Friendly and helpful staff . ',false
2867,'Trustworthy housekeeping . ',false
2868,'Wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
2869,'Too many homeless people near hotel . ',false
2960,'Pleasant . ',false
2961,'Good location . ',false
2962,'The design is quite old and need change lift to car park ',false
3008,'The hotel was convenient to the airport shuttle and subway . ',false
3009,'The bed was comfy . ',false
3010,'The coffee machine did nt work . ',false
3011,'There was a strange smell in the room . ',false
3012,'The room and hotel was a little tired and tatty . ',false
3013,'One of the staff was friendly . ',false
3014,'The others made no effort to be friendly or helpful . ',false
3120,'Not bad . ',false
3121,'Location , comfort . ',false
3122,'Payment process ',false
3168,'Very nice hotel , would recommend . ',true
3169,'Staff ( Sammy , at checkin ) very helpful in providing a room with a nice view ! ',false
3170,'Very bad signage for directions from parking garage to hotel through food court , ect . ',false
3216,'Good . ',false
3217,'LOCATION IS GREAT . ',false
3218,'OLD HOTEL WITH OLD EQUIPMENTS : OLD BATHROOM , OLD CARPETS .. ',false
3219,'NEEDS URGENT REMODELING ',false
3280,'Breakfast needs improvement . ',false
3281,'Proximity to everything in Montreal . ',false
3282,'Location . ',false
3283,'Breakfast a bit expensive . ',false
3284,'was cold . ',false
3285,'spresso ',false
3376,'Fairly good hotel , nice practical location . ',true
3377,'Good location , check - in / out was fast , I was able to get my room earlier than expected , and in general the stay was pleasant . ',false
3378,'It s also connected to a shopping mall and the metro system , so you do nt have to go outside to get to those . ',false
3379,'It was nt my first stay in this hotel and I m sure it wo nt be my last . ',false
3380,'A big space under the door let the sound and light in , which was mildly annoying while trying to sleep . ',false
3381,'I ve also reduced the score for  Facilities  because the hotel still follows the archaic ( and slightly offensive ) practice of putting a Bible ( or , in this case , New Testament ) in the room . ',false
3382,'As a Non-Christian , this irritates me and I would like it to stop . ',false
3488,'Pleasant . ',false
3489,'It was a nice clean hotel . ',false
3490,'During the night heard the air Circulation almost sounded like a Roller coaster kept waking me up ',false
3536,'Location , location , location . ',false
3537,'The location was absolutely terrific . ',false
3538,'The staff were extremely accommodating , but the hotel is in need of an update . ',false
3539,'Our first room smelled like smoke , and we were immediately moved to another room . ',false
3540,'Where the lock was nt working - it was immediately fixed . ',false
3541,'The staff helped us book our train rides , loaned us a wine opener , and never said  no  to a request . ',false
3542,'The rooms need upgrading . ',false
3648,'Satisfied ! ',false
3649,'Hotel location was great ! ',false
3650,'Easy subway access . ',false
3651,'Close to bars and restaurants , and beds were comfortable . ',false
3652,'Staff is bilingual , and were able to give information for getting around the city . ',false
3653,'Our room was beside the elevators and we could hear them going up and down quite loudly . ',false
3654,'Wasn?ft the best noise to wake up to in the morning . ',false
3760,'Pleasant . ',false
3761,'After we complained for our Roos they gave us better rooms . ',false
3762,'When I complained they sent the maintenance men to my room and check my room to tell me I am wrong and the room is fine . ',false
3763,'I was about leaving then they change my room and had better one . ',false
3824,'Okay . ',false
3825,'indoor access to IGA and Metro is definitely an asset . ',false
3826,'the bathroom fixtures and look are both old and outdated . ',false
3827,'There is not enough electric outlet for personal devices . ',false
3888,'Stay was good , a convenient location , comfortable and spacious room . ',false
3889,'Location to Old Town good . ',false
3890,'Park across the way was pleasant and we enjoyed the music . ',false
3891,'It was convenient having an IGA attached to the hotel . ',false
3892,'Desk Staff and Concierge We felt that these positions were understaffed . ',false
3893,'Had to ask for coffee at the desk twice as none was left the first day and only one the second day . ',false
3894,'Did nt care for the area behind the hotel going away from the park , people seemed disrespectful of public property and the area did not feel particularly safe in the evening . ',false
3895,'It was the weekend of the Marathon and no one at the hotel was able to tell us what to expect the morning of the Marathon which was when we were leaving ',false
4016,'Disgusted on our 1 st night because of defective air con . ',false
4017,'Kudos to daytime receptionists , for transferring us to another room on the 2nd night , we have no air - con on our 1 st night , no available room to transfer as claimed by the not so friendly night staff . ',false
4018,'Not so friendly night receptionist .. ',false
4019,'and give us a room with defective air - con . ',false
4080,'Good location nice look but old from interior it needs renovation . ',true
4081,'Good place in Montreal with nice look to the city . ',false
4082,'everything is old furniture bathroom style of carpet AC windows as if it belongs to 1990 . ',false
4083,'Room design furniture bathroom AC ',false
4144,'I will come again . ',false
4145,'Great Location !!! ',false
4146,'ndly hotel staff . ',false
4147,'A 4 star hotel is expected to have a safe box at the room , all rooms ! ',false
4148,'glasses / cups are single use plastic or paper . ',false
4149,'lectric charging at the room desk . ',false
4240,'Good . ',false
4241,'I was injured , twice , by hidden obstacles protruding from the bed frame . ',false
4242,'Management was not willing to adequately address . ',false
4288,'Okay . ',false
4289,'Location and access to subway was great . ',false
4290,'Bathrooms were in need of immediate upgrade . ',false
4291,'You can smell the mould . ',false
4292,'Rooms good size but some new wallpaper would be great . ',false
4368,'Okay . ',false
4369,'Great location . ',false
4370,'Comfortable bed . ',false
4371,'Outdated . ',false
4372,'Big lines at elevators . ',false
4448,'after our experience at the check in counter it was great !!!! ',false
4449,'bed was very comfortable ... ',false
4450,'and the woman attending to our room was a lovely lady . ',false
4451,'our front desk lady was less then pleasant ... ',false
4452,'she was very abrasive with us when we asked her to explain herself alittle better to us ...... ',false
4453,'it was made very clear to us that she was annoyed with us !!! ',false
4454,'she really did make us feel stupid ',false
4560,'Pleasant . ',false
4561,'The location was excellent . ',false
4562,'room was clean . ',false
4563,'I was surprised that the AC was very noisy . ',false
4564,'ose it and try to open the fresh air , i found spider network outside the window . ',false
4565,'ve all comments to them at check out hoping fixation in next time . ',false
4656,'Okay . ',false
4657,'good location , friendly staff . ',false
4658,'4 star hotel with plastic glasses and paper cups . ',false
4659,'hotel needs a major renovation ( very dated ) ',false
4720,'After reading some negative reviews , I must admit our experience was quite ok . ',false
4721,'Location ; indoor garage ; clean room . ',false
4722,'The pool could be open a bit longer but still , it s nice to have one . ',false
4768,'I got bitten by bed bugs the whole night and now I had to throw away all my clothes . ',false
4769,'Loved the quick service . ',false
4770,'The bed bugs ',false
4816,'Location is key . ',false
4817,'Great location , parking garage and easy walk to a number of restaurants , shops and things to see and do . ',false
4818,'Booked a king room and given room with two queen beds which was right next to incredibly noisy elevators . ',false
4819,'Slept poorly and the queen room was less on Booking.com website so may have overpaid . ',false
4820,'Lacking washcloths and room not cleaned as well 1 st night of stay as it was the 2nd night . ',false
4821,'Parking not validated on check in but this was addressed at check out ',false
4912,'Location is key . ',false
4913,'Great location , parking garage and easy walk to a number of restaurants , shops and things to see and do . ',false
4914,'Booked a king room and given room with two queen beds which was right next to incredibly noisy elevators . ',false
4915,'Slept poorly and the queen room was less on Booking.com website so may have overpaid . ',false
4916,'Lacking washcloths and room not cleaned as well 1 st night of stay as it was the 2nd night . ',false
4917,'Parking not validated on check in but this was addressed at check out ',false
5008,'Blah hotel experience . ',false
5009,'It was ok . ',false
5010,'Room and staff were ok . ',false
5011,'Nothing special . ',false
5012,'Rooms and hotel is dated . ',false
5013,'Air conditioning doesn?ft work in rooms . ',false
5014,'They were very warm . ',false
5015,'Staff is not friendly at all . ',false
5136,'Okay . ',false
5137,'Our room was lovely . ',false
5138,'The neighborhood was a bit sketchy . ',false
5139,'The bathroom was a bit small . ',false
5200,'A perfect location to enjoy Montreal , if you do nt mind a hotel way beyond its remodeling date . ',false
5201,'Location ; Adjacent underground car parking ; Next to the Metro ; . ',false
5202,'The hotel is showing its age . ',false
5203,'Everything needs to be upgraded . ',false
5204,'Difficult for staff to keep clean under the circumstances . ',false
5205,'Bathrooms particularly looking old and seedy - caulking mouldy . ',false
5206,'However , the price is less than half tht of the modern hotels in downtown Montreal , so it is still good value for money . ',false
5207,'Just do nt look too deeply . ',false
5328,'Central Montreal . ',false
5329,'Location . ',false
5330,'No fridge ',false
5376,'Room is very clean , excellent cleaning servicrd . ',false
5377,'Room is very clean . ',false
5378,'Drawer still has Bible inside , I like this tradition hotel . ',false
5379,'When I registered the room , it calculated $ 99 for each day on confirmation . ',false
5380,'However , when I check out , it charged me $ 10 more started at 2nd day . ',false
5381,'Too bad , no freezer and tea bag in the room . ',false
5472,'Good . ',false
5473,'The electrical outlets in the room were very loose and the plug ins for chargers kept falling out . ',false
5504,'Affordable average hotel in central location . ',false
5505,'Liked the central location , the view , the price . ',false
5506,'A lot of homeless people in the area and drug use , the pool only being open 6-10 , rooms could use updating , more plug ins near the bed would be nice , some plug ins didn?ft work . ',false
5507,'Your website also isn?ft updated - our room had a fridge but that wasn?ft expected so it would have been nice to know and the shower was nicer then what the picture showed and that might attract more people . ',false
5508,'The man that ushered people into the elevators when it was busy was extremely rude and pushy ',false
