@relation OTHER

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
3,0,2,10.0
11,0,0,10.0
19,1,0,10.0
27,0,1,10.0
35,0,0,10.0
43,0,0,10.0
51,1,1,10.0
59,0,0,10.0
67,0,0,10.0
75,0,0,10.0
83,1,0,10.0
91,1,0,10.0
99,0,0,10.0
107,0,0,10.0
115,0,0,10.0
123,0,0,10.0
131,1,0,10.0
139,0,0,10.0
147,0,0,10.0
155,0,0,10.0
163,0,0,10.0
171,0,0,10.0
179,0,0,10.0
187,0,0,10.0
195,0,0,10.0
203,0,0,10.0
211,0,0,10.0
219,0,0,10.0
227,1,0,10.0
235,0,0,10.0
243,0,0,10.0
251,0,0,10.0
259,0,0,10.0
267,0,1,10.0
275,1,0,10.0
283,0,0,10.0
291,0,0,10.0
299,0,0,10.0
307,0,0,10.0
315,0,1,10.0
323,0,0,10.0
331,0,0,10.0
339,1,0,10.0
347,0,0,10.0
355,0,1,10.0
363,2,2,10.0
371,0,0,10.0
379,0,0,10.0
387,0,0,10.0
395,0,0,10.0
403,0,0,10.0
411,1,1,10.0
419,0,0,10.0
427,0,0,10.0
435,1,0,10.0
443,0,0,10.0
451,0,0,10.0
459,0,1,10.0
467,0,1,10.0
475,0,0,10.0
483,0,0,10.0
491,0,0,10.0
499,0,0,10.0
507,0,1,10.0
515,0,1,10.0
523,0,1,10.0
531,0,0,10.0
539,0,0,10.0
547,0,0,10.0
555,0,0,10.0
563,0,0,10.0
571,0,1,10.0
579,0,0,10.0
587,0,0,10.0
595,0,0,10.0
603,0,0,10.0
611,0,0,10.0
619,0,0,10.0
627,1,0,10.0
635,0,0,10.0
643,1,0,10.0
651,0,0,10.0
659,2,1,10.0
667,2,1,10.0
675,0,0,10.0
683,0,0,10.0
691,0,0,10.0
699,2,2,10.0
707,0,0,10.0
715,0,1,10.0
723,0,0,10.0
731,0,0,10.0
739,0,0,10.0
747,0,0,10.0
755,0,0,10.0
763,0,0,10.0
771,0,0,10.0
779,0,0,10.0
787,1,0,10.0
795,0,0,10.0
803,0,0,10.0
811,0,0,10.0
819,0,0,10.0
827,0,0,10.0
835,0,0,10.0
843,0,0,10.0
851,0,0,10.0
859,1,0,10.0
867,0,2,10.0
875,0,0,10.0
883,0,1,10.0
891,0,0,10.0
899,0,2,10.0
907,0,0,10.0
915,2,0,10.0
923,1,0,10.0
931,1,0,10.0
939,1,2,10.0
947,1,0,10.0
955,0,1,10.0
963,0,0,10.0
971,0,0,10.0
979,1,0,10.0
987,0,0,10.0
995,0,0,10.0
1003,0,1,10.0
1011,0,0,10.0
1019,0,0,10.0
1027,0,1,10.0
1035,0,0,10.0
1043,0,0,10.0
1051,2,0,10.0
1059,0,0,10.0
1067,0,0,10.0
1075,0,0,10.0
1083,0,0,10.0
1091,0,0,10.0
1099,0,0,10.0
1107,1,0,10.0
1115,0,1,10.0
1123,0,0,10.0
1131,0,1,10.0
1139,0,0,10.0
1147,1,0,10.0
1155,0,0,10.0
1163,0,0,10.0
1171,0,0,10.0
1179,0,0,10.0
1187,0,0,10.0
1195,1,0,10.0
1203,0,0,10.0
1211,0,0,10.0
1219,0,0,10.0
1227,0,1,10.0
1235,0,2,10.0
1243,1,0,10.0
1251,0,0,10.0
1259,1,0,10.0
1267,0,0,10.0
1275,0,1,10.0
1283,0,0,10.0
1291,0,1,10.0
1299,0,0,10.0
1307,0,0,10.0
1315,0,0,10.0
1323,1,0,10.0
1331,0,0,10.0
1339,0,0,10.0
1347,0,0,10.0
1355,2,0,10.0
1363,0,0,10.0
1371,0,0,10.0
1379,0,0,10.0
1387,0,0,10.0
1395,0,0,10.0
1403,1,1,10.0
1411,0,0,10.0
1419,0,6,10.0
1427,1,0,10.0
1435,0,0,10.0
1443,1,0,10.0
1451,1,0,10.0
1459,0,0,10.0
1467,0,0,10.0
1475,0,0,10.0
1483,1,0,10.0
1491,1,0,10.0
1499,0,0,10.0
1507,0,0,10.0
1515,0,0,10.0
1523,0,0,10.0
1531,0,0,10.0
1539,0,0,10.0
1547,0,0,10.0
1555,0,0,10.0
1563,0,0,10.0
1571,0,0,10.0
1579,0,0,10.0
1587,0,0,10.0
1595,0,0,10.0
1603,1,0,10.0
1611,1,0,10.0
1619,0,0,10.0
1627,0,0,10.0
1635,0,0,10.0
1643,0,0,10.0
1651,0,0,10.0
1659,1,0,10.0
1667,0,0,10.0
1675,1,0,10.0
1683,1,0,10.0
1691,0,0,10.0
1699,1,0,10.0
1707,0,0,10.0
1715,0,0,10.0
1723,0,0,10.0
1731,1,3,10.0
1739,0,0,10.0
1747,0,0,10.0
1755,0,3,10.0
1763,2,0,10.0
1771,0,0,10.0
1779,0,0,10.0
1787,1,0,10.0
1795,0,0,10.0
1803,0,0,10.0
1811,0,0,10.0
1819,1,3,10.0
1827,0,1,10.0
1835,0,2,10.0
1843,0,0,10.0
1851,0,0,10.0
1859,1,0,10.0
1867,0,0,10.0
1875,0,0,10.0
1883,0,1,10.0
1891,0,0,10.0
1899,0,0,10.0
1907,0,0,10.0
1915,0,0,10.0
1923,0,1,10.0
1931,0,0,10.0
1939,0,0,10.0
1947,0,1,10.0
1955,0,0,10.0
1963,0,0,10.0
1971,2,1,10.0
1979,0,0,10.0
1987,0,0,10.0
1995,0,1,10.0
2003,1,0,10.0
2011,0,0,10.0
2019,0,2,10.0
2027,0,1,10.0
2035,0,0,10.0
2043,0,0,10.0
2051,0,0,10.0
2059,0,0,10.0
2067,0,0,10.0
2075,0,1,10.0
2083,2,0,10.0
2091,0,1,10.0
2099,0,0,10.0
2107,0,0,10.0
2115,1,0,10.0
2123,0,0,10.0
2131,1,0,10.0
2139,0,0,10.0
2147,0,0,10.0
2155,0,0,10.0
2163,0,0,10.0
2171,0,0,10.0
2179,0,0,10.0
2187,1,1,10.0
2195,0,0,10.0
2203,2,0,10.0
2211,0,0,10.0
2219,0,0,10.0
2227,0,1,10.0
2235,2,0,10.0
2243,0,0,10.0
2251,0,0,10.0
2259,0,0,10.0
2267,1,0,10.0
2275,0,0,10.0
2283,0,0,10.0
2291,0,0,10.0
2299,0,0,10.0
2307,1,0,10.0
2315,1,0,10.0
2323,1,0,10.0
2331,0,0,10.0
2339,0,0,10.0
2347,2,0,10.0
2355,1,1,10.0
2363,0,0,10.0
2371,0,0,10.0
2379,0,0,10.0
2387,0,0,10.0
2395,0,0,10.0
2403,1,1,10.0
2411,0,0,10.0
2419,0,0,10.0
2427,1,0,10.0
2435,1,0,10.0
2443,0,0,10.0
2451,0,0,10.0
2459,0,1,10.0
2467,0,0,10.0
2475,0,1,10.0
2483,0,3,10.0
2491,1,0,10.0
2499,2,0,10.0
2507,0,1,10.0
2515,0,1,10.0
2523,2,0,10.0
2531,1,0,10.0
2539,2,1,10.0
2547,1,1,10.0
2555,0,0,10.0
2563,0,0,10.0
2571,2,0,10.0
2579,0,0,10.0
2587,0,0,10.0
2595,0,0,10.0
2603,0,0,10.0
2611,0,2,10.0
2619,1,0,10.0
2627,0,0,10.0
2635,2,0,10.0
2643,0,1,10.0
2651,0,0,10.0
2659,0,3,10.0
2667,1,0,10.0
2675,2,0,10.0
2683,0,4,10.0
2691,0,0,10.0
2699,0,0,10.0
2707,2,4,10.0
2715,1,1,10.0
2723,0,0,10.0
2731,0,0,10.0
2739,0,0,10.0
2747,0,1,10.0
2755,1,0,10.0
2763,0,0,10.0
2771,0,0,10.0
2779,0,0,10.0
2787,2,1,10.0
2795,1,1,10.0
2803,1,0,10.0
2811,1,1,10.0
2819,0,0,10.0
2827,0,0,10.0
2835,2,0,10.0
2843,0,1,10.0
2851,0,0,10.0
2859,0,0,10.0
2867,0,1,10.0
2875,2,0,10.0
2883,0,0,10.0
2891,1,0,10.0
2899,0,0,10.0
2907,0,1,10.0
2915,0,1,10.0
2923,0,1,10.0
2931,0,1,10.0
2939,0,0,10.0
2947,0,1,10.0
2955,2,0,10.0
2963,0,1,10.0
2971,0,0,10.0
2979,0,0,10.0
2987,0,0,10.0
2995,0,0,10.0
3003,0,0,10.0
3011,0,0,10.0
3019,0,0,10.0
3027,0,1,10.0
3035,0,0,10.0
3043,0,0,10.0
3051,0,0,10.0
3059,1,0,10.0
3067,0,0,10.0
3075,0,0,10.0
3083,0,0,10.0
3091,0,2,10.0
3099,0,0,10.0
3107,0,0,10.0
3115,0,0,10.0
3123,1,0,10.0
3131,0,0,10.0
3139,0,0,10.0
3147,0,2,10.0
3155,0,0,10.0
3163,0,0,10.0
3171,0,1,10.0
3179,1,0,10.0
3187,0,1,10.0
3195,0,0,10.0
3203,1,1,10.0
3211,2,0,10.0
3219,1,0,10.0
3227,0,0,10.0
3235,0,0,10.0
3243,0,0,10.0
3251,0,0,10.0
3259,0,0,10.0
3267,0,0,10.0
3275,0,0,10.0
3283,0,0,10.0
3291,0,0,10.0
3299,0,2,10.0
3307,0,0,10.0
3315,0,0,10.0
3323,0,0,10.0
3331,1,0,10.0
3339,0,0,10.0
3347,0,0,10.0
3355,0,0,10.0
3363,0,0,10.0
3371,0,0,10.0
3379,0,0,10.0
3387,0,0,10.0
3395,0,0,10.0
3403,0,0,10.0
3411,0,1,10.0
3419,0,0,10.0
3427,0,0,10.0
3435,0,0,10.0
3443,0,0,10.0
3451,1,0,10.0
3459,0,0,10.0
3467,0,0,10.0
3475,0,0,10.0
3483,0,0,10.0
3491,0,0,10.0
3499,0,0,10.0
3507,1,0,10.0
3515,0,0,10.0
3523,1,0,10.0
3531,0,0,10.0
3539,0,0,10.0
3547,0,0,10.0
3555,0,0,10.0
3563,0,0,10.0
3571,0,0,10.0
3579,0,0,10.0
3587,0,0,10.0
3595,0,0,10.0
3603,1,1,10.0
3611,1,1,10.0
3619,0,0,10.0
3627,1,0,10.0
3635,0,1,10.0
3643,0,0,10.0
3651,1,0,10.0
3659,1,0,10.0
3667,1,0,10.0
3675,0,0,10.0
3683,0,0,10.0
3691,1,1,10.0
3699,0,0,10.0
3707,0,0,10.0
3715,1,0,10.0
3723,0,0,10.0
3731,0,0,10.0
3739,0,1,10.0
3747,0,0,10.0
3755,0,0,10.0
3763,0,0,10.0
3771,0,2,10.0
3779,0,0,10.0
3787,0,0,10.0
3795,0,0,10.0
3803,0,0,10.0
3811,0,0,10.0
3819,0,0,10.0
3827,0,1,10.0
3835,0,0,10.0
3843,0,0,10.0
3851,0,0,10.0
3859,0,0,10.0
3867,0,0,10.0
3875,1,0,10.0
3883,0,0,10.0
3891,0,0,10.0
3899,0,0,10.0
3907,0,0,10.0
3915,0,0,10.0
3923,0,0,10.0
3931,0,0,10.0
3939,0,1,10.0
3947,0,0,10.0
3955,0,0,10.0
3963,0,0,10.0
3971,0,0,10.0
3979,1,0,10.0
3987,0,0,10.0
3995,0,0,10.0
4003,1,0,10.0
4011,0,0,10.0
4019,0,0,10.0
4027,2,0,10.0
4035,3,0,10.0
4043,0,0,10.0
4051,0,1,10.0
4059,1,0,10.0
4067,1,1,10.0
4075,0,0,10.0
4083,0,1,10.0
4091,0,0,10.0
4099,0,0,10.0
4107,1,0,10.0
4115,2,0,10.0
4123,0,0,10.0
4131,0,0,10.0
4139,1,0,10.0
4147,0,0,10.0
4155,0,0,10.0
4163,0,1,10.0
4171,0,0,10.0
4179,0,0,10.0
4187,0,0,10.0
4195,0,0,10.0
4203,0,0,10.0
4211,0,0,10.0
4219,0,0,10.0
4227,0,0,10.0
4235,0,0,10.0
4243,0,0,10.0
4251,0,0,10.0
4259,0,0,10.0
4267,0,0,10.0
4275,0,0,10.0
4283,0,0,10.0
4291,0,0,10.0
4299,1,0,10.0
4307,0,0,10.0
4315,0,0,10.0
4323,0,0,10.0
4331,0,0,10.0
4339,0,0,10.0
4347,0,0,10.0
4355,1,0,10.0
4363,1,0,10.0
4371,2,0,10.0
4379,0,0,10.0
4387,0,0,10.0
4395,0,0,10.0
4403,0,0,10.0
4411,2,2,10.0
4419,0,4,10.0
4427,0,0,10.0
4435,0,0,10.0
4443,0,0,10.0
4451,1,0,10.0
4459,0,0,10.0
4467,0,0,10.0
4475,2,0,10.0
4483,0,0,10.0
4491,3,0,10.0
4499,0,0,10.0
4507,0,0,10.0
4515,1,0,10.0
4523,1,0,10.0
4531,0,0,10.0
4539,0,0,10.0
4547,0,0,10.0
4555,0,0,10.0
4563,0,0,10.0
4571,0,0,10.0
4579,3,0,10.0
4587,0,0,10.0
4595,0,0,10.0
4603,0,0,10.0
4611,1,4,10.0
4619,0,0,10.0
4627,0,0,10.0
4635,0,1,10.0
4643,0,1,10.0
4651,0,0,10.0
4659,0,1,10.0
4667,0,0,10.0
4675,3,1,10.0
4683,0,0,10.0
4691,0,0,10.0
4699,1,0,10.0
4707,0,0,10.0
4715,0,0,10.0
4723,1,0,10.0
4731,0,0,10.0
4739,0,1,10.0
4747,0,0,10.0
4755,0,0,10.0
4763,0,0,10.0
4771,0,1,10.0
4779,1,0,10.0
4787,0,0,10.0
4795,0,0,10.0
4803,12,0,10.0
4811,0,0,10.0
4819,0,0,10.0
4827,0,1,10.0
4835,0,5,10.0
4843,0,0,10.0
4851,0,0,10.0
4859,0,1,10.0
4867,1,0,10.0
4875,0,0,10.0
4883,1,0,10.0
4891,0,0,10.0
4899,0,0,10.0
4907,0,0,10.0
4915,0,1,10.0
4923,0,1,10.0
4931,1,0,10.0
4939,0,0,10.0
4947,1,1,10.0
4955,0,0,10.0
4963,0,0,10.0
4971,0,0,10.0
4979,1,0,10.0
4987,0,1,10.0
4995,1,0,10.0
5003,0,0,10.0
5011,0,0,10.0
5019,0,0,10.0
5027,0,1,10.0
5035,0,0,10.0
5043,0,3,10.0
5051,1,3,10.0
5059,0,0,10.0
5067,1,0,10.0
5075,0,0,10.0
5083,0,0,10.0
5091,0,0,10.0
5099,2,0,10.0
5107,0,2,10.0
5115,1,0,10.0
5123,1,0,10.0
5131,0,0,10.0
5139,2,0,10.0
5147,0,0,10.0
5155,0,0,10.0
5163,0,0,10.0
5171,0,0,10.0
5179,0,0,10.0
5187,2,0,10.0
5195,0,2,10.0
5203,1,0,10.0
5211,0,1,10.0
5219,0,0,10.0
5227,0,0,10.0
5235,0,0,10.0
5243,0,2,10.0
5251,0,2,10.0
5259,0,0,10.0
5267,0,0,10.0
5275,0,0,10.0
5283,0,2,10.0
5291,1,0,10.0
5299,1,0,10.0
5307,1,0,10.0
5315,0,0,10.0
5323,0,0,10.0
5331,0,0,10.0
5339,0,0,10.0
5347,0,0,10.0
5355,1,0,10.0
5363,0,0,10.0
5371,0,0,10.0
5379,1,0,10.0
5387,1,0,10.0
5395,0,0,10.0
5403,0,0,10.0
5411,0,0,10.0
5419,0,0,10.0
5427,1,0,10.0
5435,0,0,10.0
5443,0,0,10.0
5451,0,0,10.0
5459,2,0,10.0
5467,0,0,10.0
5475,0,0,10.0
5483,1,0,10.0
5491,0,3,10.0
5499,0,1,10.0
5507,0,0,10.0
5515,1,0,10.0
5523,0,0,10.0
5531,0,1,10.0
5539,2,0,10.0
5547,1,0,10.0
5555,0,1,10.0
5563,0,2,10.0
5571,0,1,10.0
5579,0,0,10.0
5587,0,0,10.0
5595,1,1,10.0
5603,0,1,10.0
5611,1,0,10.0
5619,0,0,10.0
5627,2,1,10.0
5635,1,1,10.0
5643,0,0,10.0
5651,0,0,10.0
5659,0,4,10.0
5667,3,4,10.0
5675,0,1,10.0
5683,0,1,10.0
5691,1,0,10.0
5699,0,0,10.0
5707,0,0,10.0
5715,0,1,10.0
5723,0,0,10.0
5731,2,0,10.0
5739,0,2,10.0
5747,1,0,10.0
5755,0,1,10.0
5763,0,0,10.0
5771,0,0,10.0
5779,0,0,10.0
5787,0,0,10.0
5795,0,0,10.0
5803,1,2,10.0
5811,0,0,10.0
5819,0,0,10.0
5827,0,0,10.0
5835,0,0,10.0
5843,1,0,10.0
5851,0,0,10.0
5859,0,0,10.0
5867,0,1,10.0
5875,1,0,10.0
5883,2,0,10.0
5891,0,0,10.0
5899,0,0,10.0
5907,2,0,10.0
5915,0,0,10.0
5923,0,0,10.0
5931,1,0,10.0
5939,1,1,10.0
5947,0,0,10.0
5955,1,3,10.0
5963,0,3,10.0
5971,0,0,10.0
5979,1,1,10.0
5987,0,1,10.0
5995,0,0,10.0
6003,1,0,10.0
6011,2,0,10.0
6019,0,0,10.0
6027,1,1,10.0
6035,0,1,10.0
6043,0,1,10.0
6051,0,2,10.0
6059,0,0,10.0
6067,0,0,10.0
6075,0,1,10.0
6083,0,0,10.0
6091,0,0,10.0
6099,0,0,10.0
6107,2,0,10.0
6115,2,0,10.0
6123,0,0,10.0
6131,0,2,10.0
6139,0,0,10.0
6147,0,0,10.0
6155,1,0,10.0
6163,0,0,10.0
6171,0,0,10.0
6179,0,0,10.0
6187,0,0,10.0
6195,0,0,10.0
6203,0,0,10.0
6211,0,0,10.0
6219,0,0,10.0
6227,2,1,10.0
6235,2,1,10.0
6243,0,0,10.0
6251,0,0,10.0
6259,1,5,10.0
6267,1,0,10.0
6275,0,0,10.0
6283,0,0,10.0
6291,0,0,10.0
6299,0,0,10.0
6307,0,0,10.0
6315,2,0,10.0
6323,0,0,10.0
6331,1,1,10.0
6339,0,0,10.0
6347,0,1,10.0
6355,0,0,10.0
6363,0,0,10.0
6371,1,0,10.0
6379,1,0,10.0
6387,0,2,10.0
6395,0,1,10.0
6403,1,0,10.0
6411,1,0,10.0
6419,9,6,10.0
6427,1,0,10.0
6435,1,2,10.0
6443,0,0,10.0
6451,0,0,10.0
6459,1,0,10.0
6467,1,2,10.0
6475,4,1,10.0
6483,1,0,10.0
6491,4,0,10.0
6499,2,0,10.0
6507,0,0,10.0
6515,0,0,10.0
6523,1,0,10.0
6531,0,1,10.0
6539,0,1,10.0
6547,1,0,10.0
6555,0,0,10.0
6563,1,0,10.0
6571,3,2,10.0
6579,0,0,10.0
6587,0,0,10.0
6595,1,0,10.0
6603,1,0,10.0
6611,0,0,10.0
6619,1,0,10.0
6627,1,0,10.0
6635,0,0,10.0
6643,1,0,10.0
6651,1,0,10.0
6659,0,0,10.0
6667,0,1,10.0
6675,0,0,10.0
6683,2,0,10.0
6691,0,0,10.0
6699,0,0,10.0
6707,2,0,10.0
6715,0,0,10.0
6723,0,0,10.0
6731,5,0,10.0
6739,0,0,10.0
6747,0,0,10.0
6755,1,0,10.0
6763,0,1,10.0
6771,0,0,10.0
6779,1,0,10.0
6787,0,0,10.0
6795,2,0,10.0
6803,0,0,10.0
6811,0,0,10.0
6819,0,0,10.0
6827,1,0,10.0
6835,1,0,10.0
6843,0,0,10.0
6851,0,0,10.0
6859,1,0,10.0
6867,1,0,10.0
6875,0,0,10.0
6883,2,0,10.0
6891,0,0,10.0
6899,0,0,10.0
6907,0,0,10.0
6915,0,0,10.0
6923,1,0,10.0
6931,0,0,10.0
6939,2,2,10.0
6947,2,0,10.0
6955,0,0,10.0
6963,0,1,10.0
6971,0,0,10.0
