@relation Komfort-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
96,'Good . ',false
97,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
98,'Location is excellent . ',false
99,'Water pressure is also excellent . ',false
100,'Bathroom space is very small for potentially 4 people . ',true
101,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
102,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
103,'Saw a few having episodes the next morning . ',false
152,'Fine . ',false
153,'Gym had no equipment Needs to be upgraded ',false
196,'Enjoyed our stay . ',false
197,'Comfortable and Foot rest . ',false
198,'Next to elevators ',false
316,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
317,'Location was close to the event we were attending . ',false
318,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
319,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
320,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',true
321,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
322,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',true
323,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
324,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
436,'Acceptably . ',false
437,'Good Location , parking , grocery store in the building . ',false
438,'Old hotel and relevant smell , no sockets in the room at all . ',false
439,'Had to charge cellular in bathroom . ',false
440,'Air condition was terrible . ',true
441,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
442,'It was very cold and uncomfortable . ',true
560,'Stay was okay . ',false
561,'I will consider staying there again . ',false
562,'The location was great , right downtown Montreal . ',false
563,'View was amazing and the bed was comfortable enough . ',false
564,'The hotel was outdated . ',false
565,'Carpet was pretty old and the vent was VERY dusty . ',true
566,'You can actually see the caked on dust . ',false
567,'It does need updating aesthetically . ',false
664,'Good . ',false
665,'The housekeeper was very sweet and she did a great job . ',false
666,'There were some little things like broken lights , mildew and drippy faucet . ',true
667,'The hotel needs a bit of TLC . ',false
668,'Otherwise a nice experience . ',false
669,'The housekeeping staff were very friendly and they did a great job ',false
712,'Good . ',false
713,'Beds are not real . ',false
