@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
80,'Good . ',Lage-negative,false
81,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Lage-negative,false
82,'Location is excellent . ',Lage-negative,false
83,'Water pressure is also excellent . ',Lage-negative,false
84,'Bathroom space is very small for potentially 4 people . ',Lage-negative,false
85,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Lage-negative,false
86,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Lage-negative,false
87,'Saw a few having episodes the next morning . ',Lage-negative,false
148,'Fine . ',Lage-negative,false
149,'Gym had no equipment Needs to be upgraded ',Lage-negative,false
190,'Enjoyed our stay . ',Lage-negative,false
191,'Comfortable and Foot rest . ',Lage-negative,false
192,'Next to elevators ',Lage-negative,false
298,'Was more economical than other properties I searched in the area but there is room for improvement . ',Lage-negative,false
299,'Location was close to the event we were attending . ',Lage-negative,false
300,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Lage-negative,false
301,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Lage-negative,false
302,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Lage-negative,false
303,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Lage-negative,false
304,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Lage-negative,false
305,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Lage-negative,false
306,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Lage-negative,false
422,'Acceptably . ',Lage-negative,false
423,'Good Location , parking , grocery store in the building . ',Lage-negative,false
424,'Old hotel and relevant smell , no sockets in the room at all . ',Lage-negative,false
425,'Had to charge cellular in bathroom . ',Lage-negative,false
426,'Air condition was terrible . ',Lage-negative,false
427,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Lage-negative,false
428,'It was very cold and uncomfortable . ',Lage-negative,false
544,'Stay was okay . ',Lage-negative,false
545,'I will consider staying there again . ',Lage-negative,false
546,'The location was great , right downtown Montreal . ',Lage-negative,false
547,'View was amazing and the bed was comfortable enough . ',Lage-negative,false
548,'The hotel was outdated . ',Lage-negative,false
549,'Carpet was pretty old and the vent was VERY dusty . ',Lage-negative,false
550,'You can actually see the caked on dust . ',Lage-negative,false
551,'It does need updating aesthetically . ',Lage-negative,false
652,'Good . ',Lage-negative,false
653,'The housekeeper was very sweet and she did a great job . ',Lage-negative,false
654,'There were some little things like broken lights , mildew and drippy faucet . ',Lage-negative,false
655,'The hotel needs a bit of TLC . ',Lage-negative,false
656,'Otherwise a nice experience . ',Lage-negative,false
657,'The housekeeping staff were very friendly and they did a great job ',Lage-negative,false
708,'Good . ',Lage-negative,false
709,'Beds are not real . ',Lage-negative,false
