@relation Komfort-positive

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
32,'Good . ',false
33,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
34,'Location is excellent . ',false
35,'Water pressure is also excellent . ',true
36,'Bathroom space is very small for potentially 4 people . ',false
37,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
38,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
39,'Saw a few having episodes the next morning . ',false
136,'Fine . ',false
137,'Gym had no equipment Needs to be upgraded ',false
172,'Enjoyed our stay . ',false
173,'Comfortable and Foot rest . ',false
174,'Next to elevators ',false
244,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
245,'Location was close to the event we were attending . ',false
246,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
247,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',true
248,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
249,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
250,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
251,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
252,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
380,'Acceptably . ',false
381,'Good Location , parking , grocery store in the building . ',false
382,'Old hotel and relevant smell , no sockets in the room at all . ',false
383,'Had to charge cellular in bathroom . ',false
384,'Air condition was terrible . ',false
385,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
386,'It was very cold and uncomfortable . ',false
496,'Stay was okay . ',false
497,'I will consider staying there again . ',false
498,'The location was great , right downtown Montreal . ',false
499,'View was amazing and the bed was comfortable enough . ',true
500,'The hotel was outdated . ',false
501,'Carpet was pretty old and the vent was VERY dusty . ',false
502,'You can actually see the caked on dust . ',false
503,'It does need updating aesthetically . ',false
616,'Good . ',false
617,'The housekeeper was very sweet and she did a great job . ',false
618,'There were some little things like broken lights , mildew and drippy faucet . ',false
619,'The hotel needs a bit of TLC . ',false
620,'Otherwise a nice experience . ',false
621,'The housekeeping staff were very friendly and they did a great job ',false
696,'Good . ',false
697,'Beds are not real . ',false
748,'Meh . ',false
749,'It s in a good location and it s clean . ',false
750,'It s very dated . ',false
751,'The TV did nt work . ',false
752,'The staff at reception are nt warm . ',false
753,'I only stay here if I absolutely have to . ',false
754,'We were stranded with the storm so we booked it last minute . ',false
844,'Rude staff . ',false
845,'The staff gave an unpleasant vibe that started right off the bat . ',false
846,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
900,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
901,'Quiet , comfortable , clean , GREAT LOCATION . ',false
902,'Bar fridge in room was very useful . ',true
903,'Rooms and furniture need updating . ',false
904,'Pool area also needs a makeover . ',false
980,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
981,'Quiet , comfortable , clean , GREAT LOCATION . ',false
982,'Bar fridge in room was very useful . ',false
983,'Rooms and furniture need updating . ',false
984,'Pool area also needs a makeover . ',false
1052,'Thangs for the service ! ',false
1053,'The moon light !!!! ',false
1054,'Maybe update a little bit more coloRs and furniture !!! ',false
1104,'Good . ',false
1105,'The location . ',false
1106,'Bathrooms are showing their age . ',false
1107,'Time to renovate ! ',false
1184,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',false
1185,'We stayed for two ni . ',false
1186,'Nice big room upgraded on arrival . ',true
1187,'The smell in lobby when you first walk in it smells stale like a nursing home . ',false
1188,'Too much antiseptic smell trying to cover up the stale smell . ',false
1189,'Beautiful older building I can appreciate . ',false
1190,'Also they had to turn off the water from midnight to 6 am . ',false
1191,'No big affect as far as comfort ',false
1292,'Good . ',false
1293,'location is good?Cprice is fair . ',false
1294,'its a old hotel , and in my room the curtain fell off ',false
1356,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',false
1357,'Breakfast was good , location excellent , view from room was good . ',false
1358,'Room cleaning service was good . ',false
1359,'Safe place and quiet . ',false
1360,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
1361,'The last evening we could not get into our room as we were apparently checked out already . ',false
1362,'No room service , no bar except during lunch time Not quite 4 star standard ',false
1460,'Excellent customer service . ',false
1461,'The staff were very accommodating and helpful . ',false
1462,'Our bathroom shower had mold on the walls . ',false
1463,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
1464,'Excellent customer service . ',false
1536,'Good . ',false
1537,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',false
1538,'Maintenance is spotty . ',false
1539,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
1596,'Good . ',false
1597,'We really liked the location of the hotel . ',false
1598,'The swimming pool was cold . ',false
1648,'Pleasant . ',false
1649,'Great Location . ',false
1650,'The room have mold . ',false
1651,'They move me to another room becsuse of the noise from the contiguos room . ',false
1708,'Good . ',false
1709,'Close to shopping . ',false
1710,'No heat in bathroom ',false
1752,'Good . ',false
1753,'Service de concierge nest pas sufficient ',false
1796,'Okay . ',false
1797,'Location . ',false
1798,'The room was very tired and overused . ',false
1799,'The room need a facelift . ',false
1800,'The carpet was stained , there was mould in the bathroom . ',false
1868,'Overall nice one . ',false
1869,'Location . ',false
1870,'Facilities ',false
1936,'Good value for money . ',false
1937,'Great location , next to Metro station , big n modern food court , supermarket . ',false
1938,'Walkable to city centre . ',false
1939,'erred an electric teapot to a coffee maker . ',false
1940,'Coffee brewer can be cleaned after each guest . ',false
1941,'. ',false
1942,'sheet is big enough to be tucked under the matress . ',false
1943,'So that it wo nt be rolled up . ',false
2056,'Good cost effectiveness . ',false
2057,'Good location . ',false
2058,'Good location . ',false
2059,'Breakfest could be better . ',false
2060,'There is no room service and the restaurant is closed for dinner , what s is essential . ',false
2061,'Pool is only opened in the evening ! ',false
2144,'Okay . ',false
2145,'Great location . ',false
2146,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',false
2147,'also , the hot water would only work in the morning ',false
2212,'Good . ',false
2213,'Great buffet . ',false
2214,'Too bad there was no fridge in our room since we booked the smaller room . ',false
2215,'Great location . ',false
2216,'Parking was scary but at least it wasn?ft on the street ',false
2300,'The room served its purpose . ',false
2301,'No more and no less . ',false
2302,'Room 718 - It was a very clean room . ',false
2303,'front staff was friendly . ',false
2304,'front entrance was beautiful . ',false
2305,'ked that there was parking underground with easy access to the hotel . ',false
2306,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',false
2404,'Good . ',false
2405,'The lobby was clean and the room was clean and had a great view of the city . ',false
2406,'The restaurant in the hotel was good . ',false
2407,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',false
2408,'The bathrooms were outdated , and seemed a little scummy . ',false
2480,'Good value . ',false
2481,'The location was very convenient and the view from our room was outstanding . ',false
2482,'It needs to be updated . ',false
2483,'It took a full five minutes running the shower before the water was really warm . ',false
2536,'Pleasant . ',false
2537,'very old , needs reformation on comon areas . ',false
2568,'Probably would not stay there again . ',false
2569,'There was no working ice machine . ',false
2620,'Would go back and would recommend to friends . ',false
2621,'The rooms were roomy . ',true
2622,'The location was excellent . ',false
2623,'It was clean and The staff were awesome . ',false
2624,'The air ducts need cleaning . ',false
2625,'When they came on I smelled mould . ',false
2626,'The pool hours were limited and odd . ',false
2712,'Good . ',false
2713,'Location ',false
2748,'Very Good . ',false
2749,'Nice in the city . ',false
2750,'Room has no fridge ',false
2804,'Good . ',false
2805,'Good location . ',false
2806,'Lots of elevators that worked rapidly . ',false
2807,'Old building . ',false
2808,'Not a lot of amenities . ',false
2888,'Home away from home . ',false
2889,'Ideal location of hotel at the heart of downtown Montreal . ',false
2890,'Friendly and helpful staff . ',false
2891,'Trustworthy housekeeping . ',false
2892,'Wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
2893,'Too many homeless people near hotel . ',false
2972,'Pleasant . ',false
2973,'Good location . ',false
2974,'The design is quite old and need change lift to car park ',false
3036,'The hotel was convenient to the airport shuttle and subway . ',false
3037,'The bed was comfy . ',true
