@relation Komfort-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
488,'JJ','good','Good',1,'ROOT','. ',false
489,'.','.','.',0,'punct','Good ',false
490,'DT','the','The',1,'det','view - although ',false
491,'NN','view','view',1,'ROOT','The - although the ',false
492,':','-','-',0,'prep','The view although the windows ',false
493,'IN','although','although',1,'mark','The view - the windows need ',false
494,'DT','the','the',1,'det','view - although windows need cleaning ',false
495,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
496,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
497,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
498,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
499,'TO','to','to',1,'aux','need cleaning or be changed out ',false
500,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
501,'VBN','change','changed',1,'conj','or to be out , as ',false
502,'RP','out','out',1,'prt','to be changed , as they ',false
503,',',',',',',0,'punct','be changed out as they were ',false
504,'IN','as','as',1,'mark','changed out , they were not ',false
505,'PRP','they','they',1,'nsubj','out , as were not clear ',false
506,'VBD','be','were',1,'cop',', as they not clear . ',false
507,'RB','not','not',1,'neg','as they were clear . ',false
508,'JJ','clear','clear',1,'advcl','they were not . ',false
509,'.','.','.',0,'punct','were not clear ',false
510,'NNP','location','Location',1,'nsubj','is excellent . ',false
511,'VBZ','be','is',1,'cop','Location excellent . ',false
512,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
513,'.','.','.',0,'punct','Location is excellent ',false
514,'NN','water','Water',1,'nn','pressure is also ',false
515,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
516,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
517,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
518,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
519,'.','.','.',0,'punct','is also excellent ',false
