@relation Ausstattung

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
0,0,0,10.0
8,0,1,10.0
16,0,0,10.0
24,0,3,10.0
32,1,1,10.0
40,0,3,10.0
48,0,0,10.0
56,0,0,10.0
64,0,0,10.0
72,0,0,10.0
80,0,1,10.0
88,0,1,10.0
96,0,0,10.0
104,0,1,10.0
112,1,1,10.0
120,0,1,10.0
128,0,3,10.0
136,0,0,10.0
144,0,1,10.0
152,0,1,10.0
160,0,0,10.0
168,0,0,10.0
176,0,0,10.0
184,0,0,10.0
192,0,0,10.0
200,0,0,10.0
208,0,2,10.0
216,0,0,10.0
224,0,0,10.0
232,1,0,10.0
240,1,0,10.0
248,0,1,10.0
256,0,1,10.0
264,0,1,10.0
272,0,2,10.0
280,0,0,10.0
288,0,0,10.0
296,2,1,10.0
304,0,0,10.0
312,0,1,10.0
320,0,2,10.0
328,0,0,10.0
336,1,1,10.0
344,0,4,10.0
352,0,0,10.0
360,1,0,10.0
368,1,0,10.0
376,0,1,10.0
384,0,0,10.0
392,0,0,10.0
400,0,0,10.0
408,0,0,10.0
416,0,0,10.0
424,1,3,10.0
432,0,0,10.0
440,0,0,10.0
448,0,0,10.0
456,0,0,10.0
464,0,0,10.0
472,0,0,10.0
480,0,1,10.0
488,1,1,10.0
496,0,0,10.0
504,1,0,10.0
512,1,0,10.0
520,0,1,10.0
528,0,0,10.0
536,0,3,10.0
544,0,0,10.0
552,0,0,10.0
560,0,0,10.0
568,0,1,10.0
576,0,0,10.0
584,0,1,10.0
592,0,0,10.0
600,1,1,10.0
608,0,0,10.0
616,0,0,10.0
624,0,0,10.0
632,0,0,10.0
640,0,0,10.0
648,0,0,10.0
656,0,0,10.0
664,0,0,10.0
672,1,0,10.0
680,0,0,10.0
688,0,0,10.0
696,0,4,10.0
704,0,0,10.0
712,0,0,10.0
720,0,1,10.0
728,0,1,10.0
736,0,0,10.0
744,0,0,10.0
752,0,2,10.0
760,0,0,10.0
768,1,0,10.0
776,0,0,10.0
784,2,1,10.0
792,0,2,10.0
800,0,1,10.0
808,1,2,10.0
816,0,2,10.0
824,0,0,10.0
832,0,0,10.0
840,0,0,10.0
848,0,2,10.0
856,0,0,10.0
864,0,4,10.0
872,0,0,10.0
880,0,0,10.0
888,0,0,10.0
896,0,0,10.0
904,0,0,10.0
912,0,0,10.0
920,0,1,10.0
928,0,1,10.0
936,0,0,10.0
944,0,1,10.0
952,0,0,10.0
960,0,2,10.0
968,0,0,10.0
976,0,0,10.0
984,0,0,10.0
992,0,2,10.0
1000,0,1,10.0
1008,0,0,10.0
1016,0,0,10.0
1024,0,0,10.0
1032,0,0,10.0
1040,0,1,10.0
1048,0,0,10.0
1056,0,0,10.0
1064,0,0,10.0
1072,1,0,10.0
1080,0,1,10.0
1088,0,0,10.0
1096,0,0,10.0
1104,0,0,10.0
1112,0,0,10.0
1120,0,1,10.0
1128,0,2,10.0
1136,0,0,10.0
1144,0,0,10.0
1152,0,1,10.0
1160,0,0,10.0
1168,0,0,10.0
1176,0,0,10.0
1184,0,1,10.0
1192,0,0,10.0
1200,0,2,10.0
1208,0,3,10.0
1216,0,1,10.0
1224,0,0,10.0
1232,0,2,10.0
1240,0,0,10.0
1248,0,1,10.0
1256,0,0,10.0
1264,1,0,10.0
1272,0,0,10.0
1280,0,1,10.0
1288,0,0,10.0
1296,0,0,10.0
1304,0,0,10.0
1312,0,1,10.0
1320,1,0,10.0
1328,0,0,10.0
1336,0,1,10.0
1344,0,0,10.0
1352,0,1,10.0
1360,0,0,10.0
1368,0,0,10.0
1376,0,1,10.0
1384,0,2,10.0
1392,0,0,10.0
1400,0,0,10.0
1408,0,0,10.0
1416,2,2,10.0
1424,0,0,10.0
1432,1,3,10.0
1440,1,1,10.0
1448,0,3,10.0
1456,1,0,10.0
1464,2,2,10.0
1472,0,0,10.0
1480,0,0,10.0
1488,1,0,10.0
1496,0,1,10.0
1504,0,0,10.0
1512,0,0,10.0
1520,0,0,10.0
1528,0,0,10.0
1536,0,0,10.0
1544,0,2,10.0
1552,0,2,10.0
1560,0,0,10.0
1568,4,0,10.0
1576,0,0,10.0
1584,0,0,10.0
1592,0,2,10.0
1600,0,1,10.0
1608,0,0,10.0
1616,0,1,10.0
1624,0,0,10.0
1632,0,0,10.0
1640,0,0,10.0
1648,1,0,10.0
1656,1,0,10.0
1664,0,0,10.0
1672,0,0,10.0
1680,1,0,10.0
1688,0,0,10.0
1696,0,0,10.0
1704,0,0,10.0
1712,0,0,10.0
1720,2,0,10.0
1728,2,0,10.0
1736,0,0,10.0
1744,0,0,10.0
1752,0,0,10.0
1760,0,0,10.0
1768,0,0,10.0
1776,0,0,10.0
1784,0,0,10.0
1792,0,0,10.0
1800,2,0,10.0
1808,0,1,10.0
1816,0,1,10.0
1824,0,2,10.0
1832,0,0,10.0
