@relation drinks#quality

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, neutral, negative}

@data
115,0.0375,0.6,0.0,0.0625,1.0,0.0,0.0,0.0,0.0,'target_wine','We have been to this place many times, and always have great food, wine, and service ','PRP VBP VBN IN DT NN JJ NNS , CC RB VBP JJ NN , NN , CC NN . ',16,0,3,0,0,0,0,0,0,0,positive
118,0.049999999999999996,0.6,0.0,0.08333333333333333,1.0,0.0,0.0,0.0,0.0,'target_glass of wine','As always we had a great glass of wine while we waited ','IN RB PRP VBD DT JJ NN IN NN IN PRP VBD . ',12,0,1,0,0,0,0,0,0,0,positive
150,0.0625,0.6,0.0,0.125,1.0,0.0,0.020833333333333332,0.3333333333333333,0.0,'target_Gigondas','Great wine selection, Gigondas is worth the price, and the house champagne is a great value ','JJ NN NN , NNP VBZ JJ DT NN , CC DT NN NN VBZ DT JJ NN . ',16,0,3,0,0,0,0,0,0,0,positive
178,0.0,0.0,0.0,0.08333333333333333,1.0,0.0,0.08333333333333333,1.0,0.0,'target_drinks','The drinks are always welll made and wine selection is fairly priced ','DT NNS VBP RB JJ VBN CC NN NN VBZ RB VBN . ',12,0,2,0,0,0,0,0,0,0,positive
369,0.06666666666666667,0.6,0.0,0.25,1.0,0.0,0.20833333333333334,1.0,0.0,'target_sangria','The sangria was pretty tasty and good on a hot muggy day ','DT NN VBD RB JJ CC JJ IN DT JJ JJ NN . ',12,0,1,0,0,0,0,0,0,0,positive
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_wines','Slightly above average wines start at $70+ with only one selection listed at $30+ ','RB IN JJ NNS VBP IN $ CD IN RB CD NN VBN IN $ CD . ',14,0,2,1,0,0,0,0,0,0,negative
423,0.04,0.4,0.0,0.1,1.0,0.0,0.0,0.0,0.0,'target_expresso','One of us actually liked the expresso - thats it ','CD IN PRP RB VBD DT NN : DT VBZ PRP . ',10,0,1,1,0,0,0,0,0,0,positive
506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_iced tea','Have the iced tea ','VBP DT JJ NN . ',4,0,1,0,0,0,0,0,0,0,positive
562,0.0,0.0,0.0,0.0,0.0,0.0,-0.00641025641025641,0.5,0.0,'target_wine','I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices ','PRP VBP VBN IN DT NN IN DT JJ CD NNS , NNP -LRB- DT NNP -RRB- VBZ VBN TO VB NN CC NN IN DT NNS IN JJ NNS . ',26,0,4,1,0,0,0,0,0,0,positive
708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_drinks','Everything was wonderful; food, drinks, staff, mileau ','NN VBD JJ : NN , NNS , NN , NN . ',7,0,5,0,0,0,0,0,0,0,positive
731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,'target_Change Mojito','I also ordered the Change Mojito, which was out of this world ','PRP RB VBD DT NNP NNP , WDT VBD IN IN DT NN . ',12,0,1,1,0,0,0,0,0,0,positive
791,0.006060606060606061,0.2,0.0,0.0,0.0,0.0,0.015151515151515152,0.5,0.0,'target_sake','We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ','PRP VBP RB JJ IN NNS CC VBD DT UH IN DT NN WDT VBD : NN NN -LRB- JJ -RRB- , NN NNS , JJ NNS , NNS CC NNS , CD NNS IN NN , CC DT NN NN . ',33,0,8,0,0,0,0,0,0,0,positive
