@relation Hotelpersonal

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, negative}

@data
19,0.012903225806451615,0.4,-0.4,-0.005376344086021506,1.0,0.0,-8.960573476702513E-4,1.0,0.0,'target_told','Was more economical than other properties I searched in the area but there is room for improvement. Location was close to the event we were attending. There is a parking structure attacked to the hotel so you did not need to park outside. You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge. The bathroom was dated, some tiles were cracked in the shower and much of the grout was black. The carpet was stained but was not dirty(my socks did not turn get dirty walking on carpet). Parking garage has low ceilings(6 foot max clearance) so larger vehicles will not fit and cost is $19/day. There was a $40 charge for cleaning the room if you travel with pets that we were not told about until after check-in. The bar/restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u','VBD RBR JJ IN JJ NNS PRP VBD IN DT NN CC EX VBZ NN IN NN . NNP VBD JJ IN DT NN PRP VBD VBG . EX VBZ DT NN NN VBD IN DT NN IN PRP VBD RB VB TO VB RB . PRP MD VB IN NNS CC PRP$ NN IN DT JJ NN IN DT NN IN NN NN VBD VBN IN DT NN . DT NN VBD VBN , DT NNS VBD VBN IN DT NN CC JJ IN DT NN VBD JJ . DT NN VBD VBN CC VBD RB JJ -LRB- PRP$ NNS VBD RB VB VB JJ NN IN NN -RRB- . NN NN VBZ JJ NNS -LRB- CD NN NN NN -RRB- RB JJR NNS MD RB VB CC VB VBZ $ CD CD NN . EX VBD DT $ CD NN IN VBG DT NN IN PRP VBP IN NNS IN PRP VBD RB VBN IN IN IN NN HYPH NN . DT NN SYM NN VBD VBN WRB PRP VBD TO VB DT NN CD NN CC EX VBP DT VBN NNS IN NN ',186,0,11,1,1,0,0,0,0,1,negative
35,0.06037735849056603,0.6,-0.2,0.07547169811320754,1.0,0.0,0.03773584905660377,1.0,0.0,'target_housekeeper','Good. The housekeeper was very sweet and she did a great job. There were some little things like broken lights, mildew and drippy faucet. The hotel needs a bit of TLC. Otherwise a nice experience. The housekeeping staff were very friendly and they did a great job','JJ . DT NN VBD RB JJ CC PRP VBD DT JJ NN . EX VBD DT JJ NNS IN VBN NNS , JJ CC JJ NN . DT NN VBZ DT NN IN NNP . RB DT JJ NN . DT NN NN VBD RB JJ CC PRP VBD DT JJ NN ',53,0,8,1,0,0,0,0,0,0,positive
36,0.06037735849056603,0.6,-0.2,0.07547169811320754,1.0,0.0,0.03773584905660377,1.0,0.0,'target_job','Good. The housekeeper was very sweet and she did a great job. There were some little things like broken lights, mildew and drippy faucet. The hotel needs a bit of TLC. Otherwise a nice experience. The housekeeping staff were very friendly and they did a great job','JJ . DT NN VBD RB JJ CC PRP VBD DT JJ NN . EX VBD DT JJ NNS IN VBN NNS , JJ CC JJ NN . DT NN VBZ DT NN IN NNP . RB DT JJ NN . DT NN NN VBD RB JJ CC PRP VBD DT JJ NN ',53,0,8,1,0,0,0,0,0,0,positive
41,0.06037735849056603,0.6,-0.2,0.07547169811320754,1.0,0.0,0.03773584905660377,1.0,0.0,'target_staff','Good. The housekeeper was very sweet and she did a great job. There were some little things like broken lights, mildew and drippy faucet. The hotel needs a bit of TLC. Otherwise a nice experience. The housekeeping staff were very friendly and they did a great job','JJ . DT NN VBD RB JJ CC PRP VBD DT JJ NN . EX VBD DT JJ NNS IN VBN NNS , JJ CC JJ NN . DT NN VBZ DT NN IN NNP . RB DT JJ NN . DT NN NN VBD RB JJ CC PRP VBD DT JJ NN ',53,0,8,1,0,0,0,0,0,0,positive
42,0.06037735849056603,0.6,-0.2,0.07547169811320754,1.0,0.0,0.03773584905660377,1.0,0.0,'target_job','Good. The housekeeper was very sweet and she did a great job. There were some little things like broken lights, mildew and drippy faucet. The hotel needs a bit of TLC. Otherwise a nice experience. The housekeeping staff were very friendly and they did a great job','JJ . DT NN VBD RB JJ CC PRP VBD DT JJ NN . EX VBD DT JJ NNS IN VBN NNS , JJ CC JJ NN . DT NN VBZ DT NN IN NNP . RB DT JJ NN . DT NN NN VBD RB JJ CC PRP VBD DT JJ NN ',53,0,8,1,0,0,0,0,0,0,positive
44,0.021818181818181816,0.6,0.0,0.07272727272727272,1.0,0.0,0.01818181818181818,1.0,0.0,'target_staff','Meh. Its in a good location and its clean. Its very dated. The TV didnt work. The staff at reception arent warm. I only stay here if I absolutely have to. We were stranded with the storm so we booked it last minute.','NNP . PRP VBZ IN DT JJ NN CC PRP VBZ JJ . PRP VBZ RB VBN . DT NN VBD RB VB . DT NN IN NN VBP RB JJ . PRP RB VBP RB IN PRP RB VBP TO . PRP VBD VBN IN DT NN RB PRP VBD PRP JJ NN . ',55,0,2,1,0,1,0,0,1,0,negative
45,0.006349206349206349,0.0,-0.4,0.0,1.0,0.0,-0.014550264550264551,0.5,0.0,'target_staff','Rude staff. The staff gave an unpleasant vibe that started right off the bat. The one female receptionist had an attitude with me because she didnt explain the room deposit correctly to me and when all I did in return was ask her to clarify somethings she had already said, it only seemed to upset her more.','NNP NN . DT NN VBD DT JJ NN WDT VBD RB IN DT NN . DT CD JJ NN VBD DT NN IN PRP IN PRP VBD RB VB DT NN NN RB IN PRP CC WRB DT PRP VBD IN NN VBD VB PRP TO VB NN POS PRP VBD RB VBN , PRP RB VBD TO VB PRP RBR . ',63,0,3,1,0,1,0,0,1,0,negative
46,0.006349206349206349,0.0,-0.4,0.0,1.0,0.0,-0.014550264550264551,0.5,0.0,'target_vibe','Rude staff. The staff gave an unpleasant vibe that started right off the bat. The one female receptionist had an attitude with me because she didnt explain the room deposit correctly to me and when all I did in return was ask her to clarify somethings she had already said, it only seemed to upset her more.','NNP NN . DT NN VBD DT JJ NN WDT VBD RB IN DT NN . DT CD JJ NN VBD DT NN IN PRP IN PRP VBD RB VB DT NN NN RB IN PRP CC WRB DT PRP VBD IN NN VBD VB PRP TO VB NN POS PRP VBD RB VBN , PRP RB VBD TO VB PRP RBR . ',63,0,3,1,0,1,0,0,1,0,negative
47,0.006349206349206349,0.0,-0.4,0.0,1.0,0.0,-0.014550264550264551,0.5,0.0,'target_receptionist','Rude staff. The staff gave an unpleasant vibe that started right off the bat. The one female receptionist had an attitude with me because she didnt explain the room deposit correctly to me and when all I did in return was ask her to clarify somethings she had already said, it only seemed to upset her more.','NNP NN . DT NN VBD DT JJ NN WDT VBD RB IN DT NN . DT CD JJ NN VBD DT NN IN PRP IN PRP VBD RB VB DT NN NN RB IN PRP CC WRB DT PRP VBD IN NN VBD VB PRP TO VB NN POS PRP VBD RB VBN , PRP RB VBD TO VB PRP RBR . ',63,0,3,1,0,1,0,0,1,0,negative
78,0.03200000000000001,0.6,-0.2,0.06,1.0,0.0,0.065,1.0,0.0,'target_service','The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner. Breakfast was good, location excellent, view from room was good. Room cleaning service was good. Safe place and quiet. No USB pports and no power points for electronic devices; most furniture was old and my bed squeaked. The last evening we could not get into our room as we were apparently checked out already. No room service, no bar except during lunch time Not quite 4 star standard','DT NN VBD JJ CC PRP$ DT NN IN DT NNP IN DT JJ NN NN NN IN DT NN CC NN . NNP VBD JJ , NN JJ , NN IN NN VBD JJ . NNP VBG NN VBD JJ . JJ NN CC JJ . DT NN NNS CC DT NN NNS IN JJ NNS : JJS NN VBD JJ CC PRP$ NN VBD . DT JJ NN PRP MD RB VB IN PRP$ NN IN PRP VBD RB VBN RP RB . DT NN NN , DT NN IN IN NN NN RB RB CD NN NN ',100,0,13,1,1,0,0,0,0,1,positive
