@relation Lage

@attribute id numeric
@attribute lemmas string
@attribute bigrams string
@attribute aspecttype {true, false}

@data
16,'good ','_good_. ',false
17,'location although cleanliness need clean change clear ','_location_- _although_the _cleanliness_need _need_clean _clean_or _change_out _clear_. ',false
18,'location excellent ','_location_be _excellent_. ',true
19,'other pressure also excellent ','_other_pressure _pressure_be _also_excellent _excellent_. ',false
20,'comfort comfort small potentially people ','_comfort_space _comfort_be _small_for _potentially_0 _people_. ',false
21,'security priority equipment ground level connect small inside mall huge bonus also seem converging comfort homeless mental health issue addiction issue ','_security_should _priority_, _equipment_below _ground_level _level_be _connect_to _small_inside _inside_mall _mall_, _huge_bonus _bonus_, _also_seem _seem_to _converging_space _comfort_for _homeless_, _mental_health _health_issue _issue_and _addiction_issue _issue_. ',true
22,'make in-predictable would want run #crd# small kid tow ','_make_them _in-predictable_and _would_not _want_to _run_into _#crd#_of _small_kid _kid_in _tow_. ',false
23,'see episode next morning ','_see_a _episode_the _next_morning _morning_. ',false
68,'fine ','_fine_. ',false
69,'gym equipment need upgrade ','_gym_have _equipment_need _need_to ',false
86,'enjoy other ','_enjoy_our _other_. ',false
87,'comfortable foot rest ','_comfortable_and _foot_rest _rest_. ',false
88,'next elevator ','_next_to ',false
122,'economical property search location comfort improvement ','_economical_than _property_i _search_in _location_but _comfort_for _improvement_. ',false
123,'location close event attend ','_location_be _close_to _event_we _attend_. ',true
124,'parking structure attack equipment need park outside ','_parking_structure _structure_attack _attack_to _equipment_so _need_to _park_outside _outside_. ',false
125,'travel pet request mini fridge comfort medication storage honour price ','_travel_with _pet_and _request_for _mini_fridge _fridge_in _comfort_for _medication_storage _storage_be _honour_at _price_. ',false
126,'comfort date tile crack comfort much grout black ','_comfort_be _date_, _tile_be _crack_in _comfort_and _much_of _grout_be _black_. ',false
127,'carpet stain dirty sock turn get dirty walking carpet ','_carpet_be _stain_but _dirty_( _sock_do _turn_get _get_dirty _dirty_walking _walking_on _carpet_) ',false
128,'parking garage low ceiling foot max clearance large vehicle fit price 0 day ','_parking_garage _garage_have _low_ceiling _ceiling_( _foot_max _max_clearance _clearance_) _large_vehicle _vehicle_will _fit_and _price_be _0_/ _day_. ',false
129,'0 price clean comfort travel pet tell other ','_0_charge _price_for _clean_the _comfort_if _travel_with _pet_that _tell_about _other_- ',false
130,'equipment equipment close go drink #crd# evening post hour operation.u ','_equipment_/ _equipment_be _close_when _go_to _drink_#crd# _#crd#_evening _evening_and _post_hour _hour_of ',false
190,'acceptably ','_acceptably_. ',false
191,'good location parking grocery store building ','_good_location _location_, _parking_, _grocery_store _store_in _building_. ',true
192,'old equipment relevant cleanliness socket comfort ','_old_hotel _equipment_and _relevant_smell _cleanliness_, _socket_in _comfort_at ',false
193,'price cellular comfort ','_price_cellular _cellular_in _comfort_. ',false
194,'air condition terrible ','_air_condition _condition_be _terrible_. ',false
195,'ask personel switch evening night start blow cool air noisy ','_ask_staff _personel_to _switch_it _evening_, _night_it _start_blow _blow_cool _cool_air _air_very _noisy_. ',false
196,'cold uncomfortable ','_cold_and _uncomfortable_. ',false
248,'other okay ','_other_be _okay_. ',false
249,'consider other ','_consider_stay _other_there ',false
250,'location great right downtown montreal ','_location_be _great_, _right_downtown _downtown_montreal _montreal_. ',true
251,'location amazing comfort comfortable enough ','_location_be _amazing_and _comfort_be _comfortable_enough _enough_. ',true
252,'equipment outdated ','_equipment_be _outdated_. ',false
253,'carpet pretty old vent dusty ','_carpet_be _pretty_old _old_and _vent_be _dusty_. ',false
254,'actually see caked dust ','_actually_see _see_the _caked_on _dust_. ',false
255,'need update aesthetically ','_need_update _update_aesthetically _aesthetically_. ',false
308,'good ','_good_. ',false
309,'housekeeper sweet great job ','_housekeeper_be _sweet_and _great_job _job_. ',false
310,'little thing like break light mildew drippy faucet ','_little_thing _thing_like _like_break _break_light _light_, _mildew_and _drippy_faucet _faucet_. ',false
311,'equipment need bit tlc ','_equipment_need _need_a _bit_of _tlc_. ',false
312,'otherwise nice other ','_otherwise_a _nice_experience _other_. ',false
313,'housekeeping personel friendly great job ','_housekeeping_staff _personel_be _friendly_and _great_job ',false
348,'good ','_good_. ',false
349,'comfort real ','_comfort_be _real_. ',false
374,'meh ','_meh_. ',false
375,'s good location s clean ','_s_in _good_location _location_and _s_clean _clean_. ',false
376,'s date ','_s_very _date_. ',false
377,'tv work ','_tv_do _work_. ',false
378,'personel reception warm ','_personel_at _reception_be _warm_. ',false
379,'other absolutely ','_other_here _absolutely_have ',false
380,'strand storm book last minute ','_strand_with _storm_so _book_it _last_minute _minute_. ',false
422,'rude personel ','_rude_staff _personel_. ',false
423,'personel give unpleasant vibe start right bat ','_personel_give _give_an _unpleasant_vibe _vibe_that _start_right _right_off _bat_. ',false
424,'#crd# female personel attitude explain comfort deposit correctly return ask clarify something s already say seem upset ','_#crd#_female _female_receptionist _personel_have _attitude_with _explain_the _comfort_deposit _deposit_correctly _correctly_to _return_be _ask_her _clarify_something _something_s _s_she _already_say _say_, _seem_to _upset_her ',false
450,'good location adequate other would other price right ','_good_location _location_, _adequate_for _other_, _would_stay _other_there _price_be _right_. ',true
451,'quiet comfortable clean great location ','_quiet_, _comfortable_, _clean_, _great_location _location_. ',true
452,'equipment fridge comfort useful ','_equipment_fridge _fridge_in _comfort_be _useful_. ',false
453,'comfort comfort need update ','_comfort_and _comfort_need _need_update _update_. ',false
454,'equipment location also need makeover ','_equipment_area _location_also _also_need _need_a _makeover_. ',false
490,'good location adequate other would other price right ','_good_location _location_, _adequate_for _other_, _would_stay _other_there _price_be _right_. ',true
491,'quiet comfortable clean great location ','_quiet_, _comfortable_, _clean_, _great_location _location_. ',true
492,'equipment fridge comfort useful ','_equipment_fridge _fridge_in _comfort_be _useful_. ',false
493,'comfort comfort need update ','_comfort_and _comfort_need _need_update _update_. ',false
494,'equipment location also need makeover ','_equipment_area _location_also _also_need _need_a _makeover_. ',false
526,'thang personel ','_thang_for _personel_! ',false
527,'moon light !! ','_moon_light _light_!! ',false
528,'maybe update little bit color comfort !! ','_maybe_update _update_a _little_bit _bit_more _color_and _comfort_!! ',false
552,'good ','_good_. ',false
553,'location ','_location_. ',false
554,'comfort show age ','_comfort_be _show_their _age_. ',false
555,'other renovate ','_other_to _renovate_! ',false
