@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
40,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
41,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Preis-Leistungs-Verhaeltnis-positive,false
42,'Location is excellent . ',Preis-Leistungs-Verhaeltnis-positive,false
43,'Water pressure is also excellent . ',Preis-Leistungs-Verhaeltnis-positive,false
44,'Bathroom space is very small for potentially 4 people . ',Preis-Leistungs-Verhaeltnis-positive,false
45,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Preis-Leistungs-Verhaeltnis-positive,false
46,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Preis-Leistungs-Verhaeltnis-positive,false
47,'Saw a few having episodes the next morning . ',Preis-Leistungs-Verhaeltnis-positive,false
138,'Fine . ',Preis-Leistungs-Verhaeltnis-positive,false
139,'Gym had no equipment Needs to be upgraded ',Preis-Leistungs-Verhaeltnis-positive,false
175,'Enjoyed our stay . ',Preis-Leistungs-Verhaeltnis-positive,false
176,'Comfortable and Foot rest . ',Preis-Leistungs-Verhaeltnis-positive,false
177,'Next to elevators ',Preis-Leistungs-Verhaeltnis-positive,false
253,'Was more economical than other properties I searched in the area but there is room for improvement . ',Preis-Leistungs-Verhaeltnis-positive,false
254,'Location was close to the event we were attending . ',Preis-Leistungs-Verhaeltnis-positive,false
255,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Preis-Leistungs-Verhaeltnis-positive,false
256,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Preis-Leistungs-Verhaeltnis-positive,false
257,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Preis-Leistungs-Verhaeltnis-positive,false
258,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Preis-Leistungs-Verhaeltnis-positive,false
259,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Preis-Leistungs-Verhaeltnis-positive,false
260,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Preis-Leistungs-Verhaeltnis-positive,false
261,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Preis-Leistungs-Verhaeltnis-positive,false
387,'Acceptably . ',Preis-Leistungs-Verhaeltnis-positive,false
388,'Good Location , parking , grocery store in the building . ',Preis-Leistungs-Verhaeltnis-positive,false
389,'Old hotel and relevant smell , no sockets in the room at all . ',Preis-Leistungs-Verhaeltnis-positive,false
390,'Had to charge cellular in bathroom . ',Preis-Leistungs-Verhaeltnis-positive,false
391,'Air condition was terrible . ',Preis-Leistungs-Verhaeltnis-positive,false
392,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Preis-Leistungs-Verhaeltnis-positive,false
393,'It was very cold and uncomfortable . ',Preis-Leistungs-Verhaeltnis-positive,false
504,'Stay was okay . ',Preis-Leistungs-Verhaeltnis-positive,false
505,'I will consider staying there again . ',Preis-Leistungs-Verhaeltnis-positive,false
506,'The location was great , right downtown Montreal . ',Preis-Leistungs-Verhaeltnis-positive,false
507,'View was amazing and the bed was comfortable enough . ',Preis-Leistungs-Verhaeltnis-positive,false
508,'The hotel was outdated . ',Preis-Leistungs-Verhaeltnis-positive,false
509,'Carpet was pretty old and the vent was VERY dusty . ',Preis-Leistungs-Verhaeltnis-positive,false
510,'You can actually see the caked on dust . ',Preis-Leistungs-Verhaeltnis-positive,false
511,'It does need updating aesthetically . ',Preis-Leistungs-Verhaeltnis-positive,false
622,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
623,'The housekeeper was very sweet and she did a great job . ',Preis-Leistungs-Verhaeltnis-positive,false
624,'There were some little things like broken lights , mildew and drippy faucet . ',Preis-Leistungs-Verhaeltnis-positive,false
625,'The hotel needs a bit of TLC . ',Preis-Leistungs-Verhaeltnis-positive,false
626,'Otherwise a nice experience . ',Preis-Leistungs-Verhaeltnis-positive,false
627,'The housekeeping staff were very friendly and they did a great job ',Preis-Leistungs-Verhaeltnis-positive,false
698,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
699,'Beds are not real . ',Preis-Leistungs-Verhaeltnis-positive,false
755,'Meh . ',Preis-Leistungs-Verhaeltnis-positive,false
756,'It s in a good location and it s clean . ',Preis-Leistungs-Verhaeltnis-positive,false
757,'It s very dated . ',Preis-Leistungs-Verhaeltnis-positive,false
758,'The TV did nt work . ',Preis-Leistungs-Verhaeltnis-positive,false
759,'The staff at reception are nt warm . ',Preis-Leistungs-Verhaeltnis-positive,false
760,'I only stay here if I absolutely have to . ',Preis-Leistungs-Verhaeltnis-positive,false
761,'We were stranded with the storm so we booked it last minute . ',Preis-Leistungs-Verhaeltnis-positive,false
847,'Rude staff . ',Preis-Leistungs-Verhaeltnis-positive,false
848,'The staff gave an unpleasant vibe that started right off the bat . ',Preis-Leistungs-Verhaeltnis-positive,false
849,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Preis-Leistungs-Verhaeltnis-positive,false
905,'Good location , adequate for our stay , Would stay there again if the price was right . ',Preis-Leistungs-Verhaeltnis-positive,false
906,'Quiet , comfortable , clean , GREAT LOCATION . ',Preis-Leistungs-Verhaeltnis-positive,false
907,'Bar fridge in room was very useful . ',Preis-Leistungs-Verhaeltnis-positive,false
908,'Rooms and furniture need updating . ',Preis-Leistungs-Verhaeltnis-positive,false
909,'Pool area also needs a makeover . ',Preis-Leistungs-Verhaeltnis-positive,false
985,'Good location , adequate for our stay , Would stay there again if the price was right . ',Preis-Leistungs-Verhaeltnis-positive,false
986,'Quiet , comfortable , clean , GREAT LOCATION . ',Preis-Leistungs-Verhaeltnis-positive,false
987,'Bar fridge in room was very useful . ',Preis-Leistungs-Verhaeltnis-positive,false
988,'Rooms and furniture need updating . ',Preis-Leistungs-Verhaeltnis-positive,false
989,'Pool area also needs a makeover . ',Preis-Leistungs-Verhaeltnis-positive,false
1055,'Thangs for the service ! ',Preis-Leistungs-Verhaeltnis-positive,false
1056,'The moon light !!!! ',Preis-Leistungs-Verhaeltnis-positive,false
1057,'Maybe update a little bit more coloRs and furniture !!! ',Preis-Leistungs-Verhaeltnis-positive,false
1108,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1109,'The location . ',Preis-Leistungs-Verhaeltnis-positive,false
1110,'Bathrooms are showing their age . ',Preis-Leistungs-Verhaeltnis-positive,false
1111,'Time to renovate ! ',Preis-Leistungs-Verhaeltnis-positive,false
1192,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',Preis-Leistungs-Verhaeltnis-positive,false
1193,'We stayed for two ni . ',Preis-Leistungs-Verhaeltnis-positive,false
1194,'Nice big room upgraded on arrival . ',Preis-Leistungs-Verhaeltnis-positive,false
1195,'The smell in lobby when you first walk in it smells stale like a nursing home . ',Preis-Leistungs-Verhaeltnis-positive,false
1196,'Too much antiseptic smell trying to cover up the stale smell . ',Preis-Leistungs-Verhaeltnis-positive,false
1197,'Beautiful older building I can appreciate . ',Preis-Leistungs-Verhaeltnis-positive,false
1198,'Also they had to turn off the water from midnight to 6 am . ',Preis-Leistungs-Verhaeltnis-positive,false
1199,'No big affect as far as comfort ',Preis-Leistungs-Verhaeltnis-positive,false
1295,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1296,'location is good?Cprice is fair . ',Preis-Leistungs-Verhaeltnis-positive,false
1297,'its a old hotel , and in my room the curtain fell off ',Preis-Leistungs-Verhaeltnis-positive,false
1363,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',Preis-Leistungs-Verhaeltnis-positive,false
1364,'Breakfast was good , location excellent , view from room was good . ',Preis-Leistungs-Verhaeltnis-positive,false
1365,'Room cleaning service was good . ',Preis-Leistungs-Verhaeltnis-positive,false
1366,'Safe place and quiet . ',Preis-Leistungs-Verhaeltnis-positive,false
1367,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',Preis-Leistungs-Verhaeltnis-positive,false
1368,'The last evening we could not get into our room as we were apparently checked out already . ',Preis-Leistungs-Verhaeltnis-positive,false
1369,'No room service , no bar except during lunch time Not quite 4 star standard ',Preis-Leistungs-Verhaeltnis-positive,false
1465,'Excellent customer service . ',Preis-Leistungs-Verhaeltnis-positive,false
1466,'The staff were very accommodating and helpful . ',Preis-Leistungs-Verhaeltnis-positive,false
1467,'Our bathroom shower had mold on the walls . ',Preis-Leistungs-Verhaeltnis-positive,false
1468,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',Preis-Leistungs-Verhaeltnis-positive,false
1469,'Excellent customer service . ',Preis-Leistungs-Verhaeltnis-positive,false
1540,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1541,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',Preis-Leistungs-Verhaeltnis-positive,false
1542,'Maintenance is spotty . ',Preis-Leistungs-Verhaeltnis-positive,false
1543,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',Preis-Leistungs-Verhaeltnis-positive,false
1599,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1600,'We really liked the location of the hotel . ',Preis-Leistungs-Verhaeltnis-positive,false
1601,'The swimming pool was cold . ',Preis-Leistungs-Verhaeltnis-positive,false
1652,'Pleasant . ',Preis-Leistungs-Verhaeltnis-positive,false
1653,'Great Location . ',Preis-Leistungs-Verhaeltnis-positive,false
1654,'The room have mold . ',Preis-Leistungs-Verhaeltnis-positive,false
1655,'They move me to another room becsuse of the noise from the contiguos room . ',Preis-Leistungs-Verhaeltnis-positive,false
1711,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1712,'Close to shopping . ',Preis-Leistungs-Verhaeltnis-positive,false
1713,'No heat in bathroom ',Preis-Leistungs-Verhaeltnis-positive,false
1754,'Good . ',Preis-Leistungs-Verhaeltnis-positive,false
1755,'Service de concierge nest pas sufficient ',Preis-Leistungs-Verhaeltnis-positive,false
1801,'Okay . ',Preis-Leistungs-Verhaeltnis-positive,false
1802,'Location . ',Preis-Leistungs-Verhaeltnis-positive,false
1803,'The room was very tired and overused . ',Preis-Leistungs-Verhaeltnis-positive,false
1804,'The room need a facelift . ',Preis-Leistungs-Verhaeltnis-positive,false
1805,'The carpet was stained , there was mould in the bathroom . ',Preis-Leistungs-Verhaeltnis-positive,false
1871,'Overall nice one . ',Preis-Leistungs-Verhaeltnis-positive,false
1872,'Location . ',Preis-Leistungs-Verhaeltnis-positive,false
1873,'Facilities ',Preis-Leistungs-Verhaeltnis-positive,false
1944,'Good value for money . ',Preis-Leistungs-Verhaeltnis-positive,false
1945,'Great location , next to Metro station , big n modern food court , supermarket . ',Preis-Leistungs-Verhaeltnis-positive,false
1946,'Walkable to city centre . ',Preis-Leistungs-Verhaeltnis-positive,false
1947,'erred an electric teapot to a coffee maker . ',Preis-Leistungs-Verhaeltnis-positive,false
1948,'Coffee brewer can be cleaned after each guest . ',Preis-Leistungs-Verhaeltnis-positive,false
1949,'. ',Preis-Leistungs-Verhaeltnis-positive,false
1950,'sheet is big enough to be tucked under the matress . ',Preis-Leistungs-Verhaeltnis-positive,false
1951,'So that it wo nt be rolled up . ',Preis-Leistungs-Verhaeltnis-positive,false
2062,'Good cost effectiveness . ',Preis-Leistungs-Verhaeltnis-positive,false
2063,'Good location . ',Preis-Leistungs-Verhaeltnis-positive,false
2064,'Good location . ',Preis-Leistungs-Verhaeltnis-positive,false
2065,'Breakfest could be better . ',Preis-Leistungs-Verhaeltnis-positive,false
2066,'There is no room service and the restaurant is closed for dinner , what s is essential . ',Preis-Leistungs-Verhaeltnis-positive,false
2067,'Pool is only opened in the evening ! ',Preis-Leistungs-Verhaeltnis-positive,false
2148,'Okay . ',Preis-Leistungs-Verhaeltnis-positive,false
2149,'Great location . ',Preis-Leistungs-Verhaeltnis-positive,false
2150,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',Preis-Leistungs-Verhaeltnis-positive,false
