@relation Hotelpersonal-positive

@attribute id numeric
@attribute pos string
@attribute lemma string
@attribute surfaceform string
@attribute hasUppercase numeric
@attribute dependency string
@attribute neighbortokens string
@attribute aspecttype {true, false}

@data
122,'JJ','good','Good',1,'ROOT','. ',false
123,'.','.','.',0,'punct','Good ',false
124,'DT','the','The',1,'det','view - although ',false
125,'NN','view','view',1,'ROOT','The - although the ',false
126,':','-','-',0,'prep','The view although the windows ',false
127,'IN','although','although',1,'mark','The view - the windows need ',false
128,'DT','the','the',1,'det','view - although windows need cleaning ',false
129,'NNS','window','windows',1,'nsubj','- although the need cleaning or ',false
130,'VBP','need','need',1,'advcl','although the windows cleaning or to ',false
131,'VBG','clean','cleaning',1,'xcomp','the windows need or to be ',false
132,'CC','or','or',1,'cc','windows need cleaning to be changed ',false
133,'TO','to','to',1,'aux','need cleaning or be changed out ',false
134,'VB','be','be',1,'auxpass','cleaning or to changed out , ',false
135,'VBN','change','changed',1,'conj','or to be out , as ',false
136,'RP','out','out',1,'prt','to be changed , as they ',false
137,',',',',',',0,'punct','be changed out as they were ',false
138,'IN','as','as',1,'mark','changed out , they were not ',false
139,'PRP','they','they',1,'nsubj','out , as were not clear ',false
140,'VBD','be','were',1,'cop',', as they not clear . ',false
141,'RB','not','not',1,'neg','as they were clear . ',false
142,'JJ','clear','clear',1,'advcl','they were not . ',false
143,'.','.','.',0,'punct','were not clear ',false
144,'NNP','location','Location',1,'nsubj','is excellent . ',false
145,'VBZ','be','is',1,'cop','Location excellent . ',false
146,'JJ','excellent','excellent',1,'ROOT','Location is . ',false
147,'.','.','.',0,'punct','Location is excellent ',false
148,'NN','water','Water',1,'nn','pressure is also ',false
149,'NN','pressure','pressure',1,'nsubj','Water is also excellent ',false
150,'VBZ','be','is',1,'cop','Water pressure also excellent . ',false
151,'RB','also','also',1,'advmod','Water pressure is excellent . ',false
152,'JJ','excellent','excellent',1,'ROOT','pressure is also . ',false
153,'.','.','.',0,'punct','is also excellent ',false
154,'NN','bathroom','Bathroom',1,'nn','space is very ',false
155,'NN','space','space',1,'nsubj','Bathroom is very small ',false
156,'VBZ','be','is',1,'cop','Bathroom space very small for ',false
157,'RB','very','very',1,'advmod','Bathroom space is small for potentially ',false
158,'JJ','small','small',1,'ROOT','space is very for potentially 4 ',false
159,'IN','for','for',1,'prep','is very small potentially 4 people ',false
160,'RB','potentially','potentially',1,'quantmod','very small for 4 people . ',false
161,'CD','0','4',0,'num','small for potentially people . ',false
162,'NNS','people','people',1,'pobj','for potentially 4 . ',false
163,'.','.','.',0,'punct','potentially 4 people ',false
164,'NN','security','Security',1,'nsubj','should be a ',false
165,'MD','should','should',1,'aux','Security be a priority ',false
166,'VB','be','be',1,'cop','Security should a priority , ',false
167,'DT','a','a',1,'det','Security should be priority , as ',false
168,'NN','priority','priority',1,'nsubjpass','should be a , as the ',false
169,',',',',',',0,'punct','be a priority as the hotel ',false
170,'IN','as','as',1,'prep','a priority , the hotel below ',false
171,'DT','the','the',1,'det','priority , as hotel below ground ',false
172,'NN','hotel','hotel',1,'pobj',', as the below ground level ',false
173,'IN','below','below',1,'prep','as the hotel ground level is ',false
174,'NN','ground','ground',1,'nn','the hotel below level is connected ',false
175,'NN','level','level',1,'pobj','hotel below ground is connected to ',false
176,'VBZ','be','is',1,'auxpass','below ground level connected to a ',false
177,'VBN','connect','connected',1,'ROOT','ground level is to a small ',false
178,'IN','to','to',1,'prep','level is connected a small inside ',false
179,'DT','a','a',1,'det','is connected to small inside mall ',false
180,'JJ','small','small',1,'amod','connected to a inside mall , ',false
181,'JJ','inside','inside',1,'amod','to a small mall , which ',false
182,'NN','mall','mall',1,'pobj','a small inside , which is ',false
183,',',',',',',0,'punct','small inside mall which is a ',false
184,'WDT','which','which',1,'nsubj','inside mall , is a huge ',false
185,'VBZ','be','is',1,'cop','mall , which a huge bonus ',false
186,'DT','a','a',1,'det',', which is huge bonus , ',false
187,'JJ','huge','huge',1,'amod','which is a bonus , but ',false
188,'NN','bonus','bonus',1,'rcmod','is a huge , but - ',false
189,',',',',',',0,'punct','a huge bonus but - it ',false
190,'CC','but','but',1,'cc','huge bonus , - it also ',false
191,',','-','-',0,'punct','bonus , but it also seems ',false
192,'PRP','it','it',1,'nsubj',', but - also seems to ',false
193,'RB','also','also',1,'advmod','but - it seems to be ',false
194,'VBZ','seem','seems',1,'conj','- it also to be a ',false
195,'TO','to','to',1,'aux','it also seems be a converging ',false
196,'VB','be','be',1,'cop','also seems to a converging space ',false
197,'DT','a','a',1,'det','seems to be converging space for ',false
198,'JJ','converging','converging',1,'amod','to be a space for the ',false
199,'NN','space','space',1,'xcomp','be a converging for the homeless ',false
200,'IN','for','for',1,'prep','a converging space the homeless , ',false
201,'DT','the','the',1,'det','converging space for homeless , who ',false
202,'JJ','homeless','homeless',1,'pobj','space for the , who have ',false
203,',',',',',',0,'punct','for the homeless who have mental ',false
204,'WP','who','who',1,'nsubj','the homeless , have mental health ',false
205,'VBP','have','have',1,'rcmod','homeless , who mental health issues ',false
206,'JJ','mental','mental',1,'amod',', who have health issues and ',false
207,'NN','health','health',1,'nn','who have mental issues and addiction ',false
208,'NNS','issue','issues',1,'dobj','have mental health and addiction issues ',false
209,'CC','and','and',1,'cc','mental health issues addiction issues . ',false
210,'NN','addiction','addiction',1,'nn','health issues and issues . ',false
211,'NNS','issue','issues',1,'conj','issues and addiction . ',false
212,'.','.','.',0,'punct','and addiction issues ',false
213,'VBZ','make','Makes',1,'ROOT','them very in-predictable ',false
214,'PRP','them','them',1,'nsubj','Makes very in-predictable and ',false
215,'RB','very','very',1,'advmod','Makes them in-predictable and I ',false
216,'JJ','in-predictable','in-predictable',1,'xcomp','Makes them very and I would ',false
217,'CC','and','and',1,'cc','them very in-predictable I would not ',false
218,'PRP','i','I',1,'nsubjpass','very in-predictable and would not have ',false
219,'MD','would','would',1,'aux','in-predictable and I not have wanted ',false
220,'RB','not','not',1,'neg','and I would have wanted to ',false
221,'VB','have','have',1,'aux','I would not wanted to run ',false
222,'VBN','want','wanted',1,'conj','would not have to run into ',false
223,'TO','to','to',1,'aux','not have wanted run into one ',false
224,'VB','run','run',1,'xcomp','have wanted to into one of ',false
225,'IN','into','into',1,'prep','wanted to run one of them ',false
226,'CD','#crd#','one',1,'pobj','to run into of them with ',false
227,'IN','of','of',1,'prep','run into one them with small ',false
228,'PRP','them','them',1,'pobj','into one of with small kids ',false
229,'IN','with','with',1,'prep','one of them small kids in ',false
230,'JJ','small','small',1,'amod','of them with kids in tow ',false
231,'NNS','kid','kids',1,'pobj','them with small in tow . ',false
232,'IN','in','in',1,'prep','with small kids tow . ',false
233,'NN','tow','tow',1,'pobj','small kids in . ',false
234,'.','.','.',0,'punct','kids in tow ',false
235,'VBD','see','Saw',1,'ROOT','a few having ',false
236,'DT','a','a',1,'det','Saw few having episodes ',false
237,'JJ','few','few',1,'amod','Saw a having episodes the ',false
238,'VBG','have','having',1,'amod','Saw a few episodes the next ',false
239,'NNS','episode','episodes',1,'nsubj','a few having the next morning ',false
240,'DT','the','the',1,'det','few having episodes next morning . ',false
241,'JJ','next','next',1,'amod','having episodes the morning . ',false
242,'NN','morning','morning',1,'ccomp','episodes the next . ',false
243,'.','.','.',0,'punct','the next morning ',false
1962,'NN','fine','Fine',1,'ROOT','. ',false
1963,'.','.','.',0,'punct','Fine ',false
1964,'NNP','gym','Gym',1,'nsubj','had no equipment ',false
1965,'VBD','have','had',1,'ROOT','Gym no equipment Needs ',false
1966,'DT','no','no',1,'det','Gym had equipment Needs to ',false
1967,'NN','equipment','equipment',1,'nn','Gym had no Needs to be ',false
1968,'NNS','need','Needs',1,'nsubjpass','had no equipment to be upgraded ',false
1969,'TO','to','to',1,'aux','no equipment Needs be upgraded ',false
1970,'VB','be','be',1,'auxpass','equipment Needs to upgraded ',false
1971,'VBN','upgrade','upgraded',1,'ccomp','Needs to be ',false
2124,'VBN','enjoy','Enjoyed',1,'ROOT','our stay . ',false
2125,'PRP$','our','our',1,'poss','Enjoyed stay . ',false
2126,'NN','stay','stay',1,'dobj','Enjoyed our . ',false
2127,'.','.','.',0,'punct','Enjoyed our stay ',false
2128,'JJ','comfortable','Comfortable',1,'amod','and Foot rest ',false
2129,'CC','and','and',1,'cc','Comfortable Foot rest . ',false
2130,'JJ','foot','Foot',1,'conj','Comfortable and rest . ',false
2131,'NN','rest','rest',1,'ROOT','Comfortable and Foot . ',false
2132,'.','.','.',0,'punct','and Foot rest ',false
2133,'RB','next','Next',1,'dep','to elevators ',false
2134,'IN','to','to',1,'ROOT','Next elevators ',false
2135,'NNS','elevator','elevators',1,'pobj','Next to ',false
2490,'VBD','be','Was',1,'cop','more economical than ',false
2491,'RBR','more','more',1,'advmod','Was economical than other ',false
2492,'JJ','economical','economical',1,'ROOT','Was more than other properties ',false
2493,'IN','than','than',1,'prep','Was more economical other properties I ',false
2494,'JJ','other','other',1,'amod','more economical than properties I searched ',false
2495,'NNS','property','properties',1,'pobj','economical than other I searched in ',false
2496,'PRP','i','I',1,'nsubj','than other properties searched in the ',false
2497,'VBD','search','searched',1,'rcmod','other properties I in the area ',false
2498,'IN','in','in',1,'prep','properties I searched the area but ',false
2499,'DT','the','the',1,'det','I searched in area but there ',false
2500,'NN','area','area',1,'pobj','searched in the but there is ',false
2501,'CC','but','but',1,'cc','in the area there is room ',false
2502,'EX','there','there',1,'expl','the area but is room for ',false
2503,'VBZ','be','is',1,'conj','area but there room for improvement ',false
2504,'NN','room','room',1,'nsubj','but there is for improvement . ',false
2505,'IN','for','for',1,'prep','there is room improvement . ',false
2506,'NN','improvement','improvement',1,'pobj','is room for . ',false
2507,'.','.','.',0,'punct','room for improvement ',false
2508,'NNP','location','Location',1,'nsubj','was close to ',false
2509,'VBD','be','was',1,'cop','Location close to the ',false
2510,'JJ','close','close',1,'ROOT','Location was to the event ',false
2511,'IN','to','to',1,'prep','Location was close the event we ',false
2512,'DT','the','the',1,'det','was close to event we were ',false
2513,'NN','event','event',1,'pobj','close to the we were attending ',false
2514,'PRP','we','we',1,'nsubj','to the event were attending . ',false
2515,'VBD','be','were',1,'aux','the event we attending . ',false
2516,'VBG','attend','attending',1,'rcmod','event we were . ',false
2517,'.','.','.',0,'punct','we were attending ',false
2518,'EX','there','There',1,'expl','is a parking ',false
2519,'VBZ','be','is',1,'ROOT','There a parking structure ',false
2520,'DT','a','a',1,'det','There is parking structure attacked ',false
2521,'NN','parking','parking',1,'nn','There is a structure attacked to ',false
2522,'NN','structure','structure',1,'nsubj','is a parking attacked to the ',false
2523,'VBD','attack','attacked',1,'ccomp','a parking structure to the hotel ',false
2524,'IN','to','to',1,'prep','parking structure attacked the hotel so ',false
2525,'DT','the','the',1,'det','structure attacked to hotel so you ',false
2526,'NN','hotel','hotel',1,'pobj','attacked to the so you did ',false
2527,'IN','so','so',1,'mark','to the hotel you did not ',false
2528,'PRP','you','you',1,'nsubj','the hotel so did not need ',false
2529,'VBD','do','did',1,'aux','hotel so you not need to ',false
2530,'RB','not','not',1,'neg','so you did need to park ',false
2531,'VB','need','need',1,'advcl','you did not to park outside ',false
2532,'TO','to','to',1,'aux','did not need park outside . ',false
2533,'VB','park','park',1,'xcomp','not need to outside . ',false
2534,'RB','outside','outside',1,'advmod','need to park . ',false
2535,'.','.','.',0,'punct','to park outside ',false
2536,'PRP','you','You',1,'nsubj','can travel with ',false
2537,'MD','can','can',1,'aux','You travel with pets ',false
2538,'VB','travel','travel',1,'nsubjpass','You can with pets and ',false
2539,'IN','with','with',1,'prep','You can travel pets and our ',false
2540,'NNS','pet','pets',1,'pobj','can travel with and our request ',false
2541,'CC','and','and',1,'cc','travel with pets our request for ',false
2542,'PRP$','our','our',1,'poss','with pets and request for a ',false
2543,'NN','request','request',1,'conj','pets and our for a mini ',false
2544,'IN','for','for',1,'prep','and our request a mini fridge ',false
2545,'DT','a','a',1,'det','our request for mini fridge in ',false
2546,'JJ','mini','mini',1,'amod','request for a fridge in the ',false
2547,'NN','fridge','fridge',1,'pobj','for a mini in the room ',false
2548,'IN','in','in',1,'prep','a mini fridge the room for ',false
2549,'DT','the','the',1,'det','mini fridge in room for medication ',false
2550,'NN','room','room',1,'pobj','fridge in the for medication storage ',false
2551,'IN','for','for',1,'prep','in the room medication storage was ',false
2552,'NN','medication','medication',1,'nn','the room for storage was honoured ',false
2553,'NN','storage','storage',1,'pobj','room for medication was honoured at ',false
2554,'VBD','be','was',1,'auxpass','for medication storage honoured at no ',false
2555,'VBN','honour','honoured',1,'ROOT','medication storage was at no charge ',false
2556,'IN','at','at',1,'prep','storage was honoured no charge . ',false
2557,'DT','no','no',1,'det','was honoured at charge . ',false
2558,'NN','charge','charge',1,'pobj','honoured at no . ',false
2559,'.','.','.',0,'punct','at no charge ',false
2560,'DT','the','The',1,'det','bathroom was dated ',false
2561,'NN','bathroom','bathroom',1,'nsubjpass','The was dated , ',false
2562,'VBD','be','was',1,'auxpass','The bathroom dated , some ',false
2563,'VBN','date','dated',1,'nsubj','The bathroom was , some tiles ',false
2564,',',',',',',0,'punct','bathroom was dated some tiles were ',false
2565,'DT','some','some',1,'det','was dated , tiles were cracked ',false
2566,'NNS','tile','tiles',1,'nsubjpass','dated , some were cracked in ',false
2567,'VBD','be','were',1,'auxpass',', some tiles cracked in the ',false
2568,'VBN','crack','cracked',1,'parataxis','some tiles were in the shower ',false
2569,'IN','in','in',1,'prep','tiles were cracked the shower and ',false
2570,'DT','the','the',1,'det','were cracked in shower and much ',false
2571,'NN','shower','shower',1,'pobj','cracked in the and much of ',false
2572,'CC','and','and',1,'cc','in the shower much of the ',false
2573,'JJ','much','much',1,'conj','the shower and of the grout ',false
2574,'IN','of','of',1,'prep','shower and much the grout was ',false
2575,'DT','the','the',1,'det','and much of grout was black ',false
2576,'NN','grout','grout',1,'pobj','much of the was black . ',false
2577,'VBD','be','was',1,'cop','of the grout black . ',false
2578,'JJ','black','black',1,'ROOT','the grout was . ',false
2579,'.','.','.',0,'punct','grout was black ',false
2580,'DT','the','The',1,'det','carpet was stained ',false
2581,'NN','carpet','carpet',1,'nsubjpass','The was stained but ',false
2582,'VBD','be','was',1,'auxpass','The carpet stained but was ',false
2583,'VBN','stain','stained',1,'ROOT','The carpet was but was not ',false
2584,'CC','but','but',1,'cc','carpet was stained was not dirty ',false
2585,'VBD','be','was',1,'cop','was stained but not dirty ( ',false
2586,'RB','not','not',1,'neg','stained but was dirty ( my ',false
2587,'JJ','dirty','dirty',1,'conj','but was not ( my socks ',false
2588,'-LRB-','(','(',0,'punct','was not dirty my socks did ',false
2589,'PRP$','my','my',1,'poss','not dirty ( socks did not ',false
2590,'NNS','sock','socks',1,'nsubj','dirty ( my did not turn ',false
2591,'VBD','do','did',1,'aux','( my socks not turn get ',false
2592,'RB','not','not',1,'neg','my socks did turn get dirty ',false
2593,'VB','turn','turn',1,'parataxis','socks did not get dirty walking ',false
2594,'VB','get','get',1,'xcomp','did not turn dirty walking on ',false
2595,'JJ','dirty','dirty',1,'amod','not turn get walking on carpet ',false
2596,'NN','walking','walking',1,'dobj','turn get dirty on carpet ) ',false
2597,'IN','on','on',1,'prep','get dirty walking carpet ) . ',false
2598,'NN','carpet','carpet',1,'pobj','dirty walking on ) . ',false
2599,'-RRB-',')',')',0,'dep','walking on carpet . ',false
2600,'.','.','.',0,'punct','on carpet ) ',false
2601,'NN','parking','Parking',1,'nn','garage has low ',false
2602,'NN','garage','garage',1,'nsubj','Parking has low ceilings ',false
2603,'VBZ','have','has',1,'ROOT','Parking garage low ceilings ( ',false
2604,'JJ','low','low',1,'amod','Parking garage has ceilings ( 6 ',false
2605,'NNS','ceiling','ceilings',1,'dobj','garage has low ( 6 foot ',false
2606,'-LRB-','(','(',0,'dep','has low ceilings 6 foot max ',false
2607,'CD','0','6',0,'num','low ceilings ( foot max clearance ',false
2608,'NN','foot','foot',1,'nn','ceilings ( 6 max clearance ) ',false
2609,'NN','max','max',1,'nn','( 6 foot clearance ) so ',false
2610,'NN','clearance','clearance',1,'nsubj','6 foot max ) so larger ',false
2611,'-RRB-',')',')',0,'advmod','foot max clearance so larger vehicles ',false
2612,'RB','so','so',1,'advmod','max clearance ) larger vehicles will ',false
2613,'JJR','large','larger',1,'amod','clearance ) so vehicles will not ',false
2614,'NNS','vehicle','vehicles',1,'nsubj',') so larger will not fit ',false
2615,'MD','will','will',1,'aux','so larger vehicles not fit and ',false
2616,'RB','not','not',1,'neg','larger vehicles will fit and cost ',false
2617,'VB','fit','fit',1,'ccomp','vehicles will not and cost is ',false
2618,'CC','and','and',1,'cc','will not fit cost is $ ',false
2619,'VB','cost','cost',1,'conj','not fit and is $ 19 ',false
2620,'VBZ','be','is',1,'cop','fit and cost $ 19 / ',false
2621,'$','$','$',0,'rcmod','and cost is 19 / day ',false
2622,'CD','0','19',0,'number','cost is $ / day . ',false
2623,'CD','/','/',0,'number','is $ 19 day . ',false
2624,'NN','day','day',1,'tmod','$ 19 / . ',false
2625,'.','.','.',0,'punct','19 / day ',false
2626,'EX','there','There',1,'expl','was a $ ',false
2627,'VBD','be','was',1,'ROOT','There a $ 40 ',false
2628,'DT','a','a',1,'det','There was $ 40 charge ',false
2629,'$','$','$',0,'amod','There was a 40 charge for ',false
2630,'CD','0','40',0,'dep','was a $ charge for cleaning ',false
2631,'NN','charge','charge',1,'nsubj','a $ 40 for cleaning the ',false
2632,'IN','for','for',1,'prep','$ 40 charge cleaning the room ',false
2633,'VBG','clean','cleaning',1,'pcomp','40 charge for the room if ',false
2634,'DT','the','the',1,'det','charge for cleaning room if you ',false
2635,'NN','room','room',1,'dobj','for cleaning the if you travel ',false
2636,'IN','if','if',1,'mark','cleaning the room you travel with ',false
