@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
112,'Good . ',WLAN-negative,false
113,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',WLAN-negative,false
114,'Location is excellent . ',WLAN-negative,false
115,'Water pressure is also excellent . ',WLAN-negative,false
116,'Bathroom space is very small for potentially 4 people . ',WLAN-negative,false
117,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',WLAN-negative,false
118,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',WLAN-negative,false
119,'Saw a few having episodes the next morning . ',WLAN-negative,false
156,'Fine . ',WLAN-negative,false
157,'Gym had no equipment Needs to be upgraded ',WLAN-negative,false
202,'Enjoyed our stay . ',WLAN-negative,false
203,'Comfortable and Foot rest . ',WLAN-negative,false
204,'Next to elevators ',WLAN-negative,false
334,'Was more economical than other properties I searched in the area but there is room for improvement . ',WLAN-negative,false
335,'Location was close to the event we were attending . ',WLAN-negative,false
336,'There is a parking structure attacked to the hotel so you did not need to park outside . ',WLAN-negative,false
337,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',WLAN-negative,false
338,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',WLAN-negative,false
339,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',WLAN-negative,false
340,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',WLAN-negative,false
341,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',WLAN-negative,false
342,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',WLAN-negative,false
450,'Acceptably . ',WLAN-negative,false
451,'Good Location , parking , grocery store in the building . ',WLAN-negative,false
452,'Old hotel and relevant smell , no sockets in the room at all . ',WLAN-negative,false
453,'Had to charge cellular in bathroom . ',WLAN-negative,false
454,'Air condition was terrible . ',WLAN-negative,false
455,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',WLAN-negative,false
456,'It was very cold and uncomfortable . ',WLAN-negative,false
576,'Stay was okay . ',WLAN-negative,false
577,'I will consider staying there again . ',WLAN-negative,false
578,'The location was great , right downtown Montreal . ',WLAN-negative,false
579,'View was amazing and the bed was comfortable enough . ',WLAN-negative,false
580,'The hotel was outdated . ',WLAN-negative,false
581,'Carpet was pretty old and the vent was VERY dusty . ',WLAN-negative,false
582,'You can actually see the caked on dust . ',WLAN-negative,false
583,'It does need updating aesthetically . ',WLAN-negative,false
676,'Good . ',WLAN-negative,false
677,'The housekeeper was very sweet and she did a great job . ',WLAN-negative,false
678,'There were some little things like broken lights , mildew and drippy faucet . ',WLAN-negative,false
679,'The hotel needs a bit of TLC . ',WLAN-negative,false
680,'Otherwise a nice experience . ',WLAN-negative,false
681,'The housekeeping staff were very friendly and they did a great job ',WLAN-negative,false
716,'Good . ',WLAN-negative,false
717,'Beds are not real . ',WLAN-negative,false
818,'Meh . ',WLAN-negative,false
819,'It s in a good location and it s clean . ',WLAN-negative,false
820,'It s very dated . ',WLAN-negative,false
821,'The TV did nt work . ',WLAN-negative,false
822,'The staff at reception are nt warm . ',WLAN-negative,false
823,'I only stay here if I absolutely have to . ',WLAN-negative,false
824,'We were stranded with the storm so we booked it last minute . ',WLAN-negative,false
874,'Rude staff . ',WLAN-negative,false
875,'The staff gave an unpleasant vibe that started right off the bat . ',WLAN-negative,false
876,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',WLAN-negative,false
950,'Good location , adequate for our stay , Would stay there again if the price was right . ',WLAN-negative,false
951,'Quiet , comfortable , clean , GREAT LOCATION . ',WLAN-negative,false
952,'Bar fridge in room was very useful . ',WLAN-negative,false
953,'Rooms and furniture need updating . ',WLAN-negative,false
954,'Pool area also needs a makeover . ',WLAN-negative,false
1030,'Good location , adequate for our stay , Would stay there again if the price was right . ',WLAN-negative,false
1031,'Quiet , comfortable , clean , GREAT LOCATION . ',WLAN-negative,false
1032,'Bar fridge in room was very useful . ',WLAN-negative,false
1033,'Rooms and furniture need updating . ',WLAN-negative,false
1034,'Pool area also needs a makeover . ',WLAN-negative,false
1082,'Thangs for the service ! ',WLAN-negative,false
1083,'The moon light !!!! ',WLAN-negative,false
1084,'Maybe update a little bit more coloRs and furniture !!! ',WLAN-negative,false
1144,'Good . ',WLAN-negative,false
1145,'The location . ',WLAN-negative,false
1146,'Bathrooms are showing their age . ',WLAN-negative,false
1147,'Time to renovate ! ',WLAN-negative,false
1264,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',WLAN-negative,false
1265,'We stayed for two ni . ',WLAN-negative,false
1266,'Nice big room upgraded on arrival . ',WLAN-negative,false
1267,'The smell in lobby when you first walk in it smells stale like a nursing home . ',WLAN-negative,false
1268,'Too much antiseptic smell trying to cover up the stale smell . ',WLAN-negative,false
1269,'Beautiful older building I can appreciate . ',WLAN-negative,false
1270,'Also they had to turn off the water from midnight to 6 am . ',WLAN-negative,false
1271,'No big affect as far as comfort ',WLAN-negative,false
1322,'Good . ',WLAN-negative,false
1323,'location is good?Cprice is fair . ',WLAN-negative,false
1324,'its a old hotel , and in my room the curtain fell off ',WLAN-negative,false
1426,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',WLAN-negative,false
1427,'Breakfast was good , location excellent , view from room was good . ',WLAN-negative,false
1428,'Room cleaning service was good . ',WLAN-negative,false
1429,'Safe place and quiet . ',WLAN-negative,false
1430,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',WLAN-negative,false
1431,'The last evening we could not get into our room as we were apparently checked out already . ',WLAN-negative,false
1432,'No room service , no bar except during lunch time Not quite 4 star standard ',WLAN-negative,false
1510,'Excellent customer service . ',WLAN-negative,false
1511,'The staff were very accommodating and helpful . ',WLAN-negative,false
1512,'Our bathroom shower had mold on the walls . ',WLAN-negative,false
1513,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',WLAN-negative,false
1514,'Excellent customer service . ',WLAN-negative,false
1576,'Good . ',WLAN-negative,false
1577,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',WLAN-negative,false
1578,'Maintenance is spotty . ',WLAN-negative,false
1579,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',WLAN-negative,false
1626,'Good . ',WLAN-negative,false
1627,'We really liked the location of the hotel . ',WLAN-negative,false
1628,'The swimming pool was cold . ',WLAN-negative,false
1688,'Pleasant . ',WLAN-negative,false
1689,'Great Location . ',WLAN-negative,false
1690,'The room have mold . ',WLAN-negative,false
1691,'They move me to another room becsuse of the noise from the contiguos room . ',WLAN-negative,false
1738,'Good . ',WLAN-negative,false
1739,'Close to shopping . ',WLAN-negative,false
1740,'No heat in bathroom ',WLAN-negative,false
1772,'Good . ',WLAN-negative,false
1773,'Service de concierge nest pas sufficient ',WLAN-negative,false
1846,'Okay . ',WLAN-negative,false
1847,'Location . ',WLAN-negative,false
1848,'The room was very tired and overused . ',WLAN-negative,false
1849,'The room need a facelift . ',WLAN-negative,false
1850,'The carpet was stained , there was mould in the bathroom . ',WLAN-negative,false
1898,'Overall nice one . ',WLAN-negative,false
1899,'Location . ',WLAN-negative,false
1900,'Facilities ',WLAN-negative,false
2016,'Good value for money . ',WLAN-negative,false
2017,'Great location , next to Metro station , big n modern food court , supermarket . ',WLAN-negative,false
2018,'Walkable to city centre . ',WLAN-negative,false
2019,'erred an electric teapot to a coffee maker . ',WLAN-negative,false
2020,'Coffee brewer can be cleaned after each guest . ',WLAN-negative,false
2021,'. ',WLAN-negative,false
2022,'sheet is big enough to be tucked under the matress . ',WLAN-negative,false
2023,'So that it wo nt be rolled up . ',WLAN-negative,false
2116,'Good cost effectiveness . ',WLAN-negative,false
2117,'Good location . ',WLAN-negative,false
2118,'Good location . ',WLAN-negative,false
2119,'Breakfest could be better . ',WLAN-negative,false
