@relation restaurant#prices

@attribute id numeric
@attribute sentiment_average numeric
@attribute target_word string
@attribute dependency_related_unigrams string
@attribute dependency_related_bigrams string
@attribute feature_1 numeric
@attribute feature_2 numeric
@attribute feature_3 numeric
@attribute feature_4 numeric
@attribute feature_5 numeric
@attribute feature_6 numeric
@attribute feature_7 numeric
@attribute feature_8 numeric
@attribute feature_9 numeric
@attribute feature_10 numeric
@attribute feature_11 numeric
@attribute feature_12 numeric
@attribute feature_13 numeric
@attribute feature_14 numeric
@attribute feature_15 numeric
@attribute feature_16 numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute aspecttype {positive, neutral, negative}

@data
13,-0.0,'price','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
26,-0.0,'price','dep_beat ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
132,0.1111111111111111,'side','dep_pricey ','dep_pricey_on ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,negative
215,0.0,'line','','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral
298,-0.09999999999999999,'service','dep_poor ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
328,0.0,'service','dep_price ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
350,-0.0,'prices','dep_high ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
397,0.6,'ambient','dep_excellent dep_affordable ','dep_excellent_affordable ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
522,-0.5,'resturant','dep_unappealing dep_cramped ','dep_unappealing_cramped ',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
530,-0.0,'prices','dep_considering ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,negative
544,0.0,'food','dep_service ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
548,0.0,'prices','dep_Moderate dep_prices dep_ ','dep_Moderate_prices dep_prices_ ',0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,neutral
574,0.16666666666666666,'service','dep_food ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
578,0.0,'prices','dep_low ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,positive
589,0.16666666666666666,'place','dep_pricey ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,negative
613,-0.25,'prices','dep_cheap ','',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,positive
616,0.2333333333333333,'food','dep_nasty ','',0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,positive
