@relation test

@attribute id numeric
@attribute text string
@attribute type string
@attribute aspecttype {true, false}

@data
72,'Good . ',Hotelpersonal-negative,false
73,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',Hotelpersonal-negative,false
74,'Location is excellent . ',Hotelpersonal-negative,false
75,'Water pressure is also excellent . ',Hotelpersonal-negative,false
76,'Bathroom space is very small for potentially 4 people . ',Hotelpersonal-negative,false
77,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',Hotelpersonal-negative,false
78,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',Hotelpersonal-negative,false
79,'Saw a few having episodes the next morning . ',Hotelpersonal-negative,false
146,'Fine . ',Hotelpersonal-negative,false
147,'Gym had no equipment Needs to be upgraded ',Hotelpersonal-negative,false
187,'Enjoyed our stay . ',Hotelpersonal-negative,false
188,'Comfortable and Foot rest . ',Hotelpersonal-negative,false
189,'Next to elevators ',Hotelpersonal-negative,false
289,'Was more economical than other properties I searched in the area but there is room for improvement . ',Hotelpersonal-negative,false
290,'Location was close to the event we were attending . ',Hotelpersonal-negative,false
291,'There is a parking structure attacked to the hotel so you did not need to park outside . ',Hotelpersonal-negative,false
292,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',Hotelpersonal-negative,false
293,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',Hotelpersonal-negative,false
294,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',Hotelpersonal-negative,false
295,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',Hotelpersonal-negative,false
296,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',Hotelpersonal-negative,false
297,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',Hotelpersonal-negative,false
415,'Acceptably . ',Hotelpersonal-negative,false
416,'Good Location , parking , grocery store in the building . ',Hotelpersonal-negative,false
417,'Old hotel and relevant smell , no sockets in the room at all . ',Hotelpersonal-negative,false
418,'Had to charge cellular in bathroom . ',Hotelpersonal-negative,false
419,'Air condition was terrible . ',Hotelpersonal-negative,false
420,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',Hotelpersonal-negative,false
421,'It was very cold and uncomfortable . ',Hotelpersonal-negative,false
536,'Stay was okay . ',Hotelpersonal-negative,false
537,'I will consider staying there again . ',Hotelpersonal-negative,false
538,'The location was great , right downtown Montreal . ',Hotelpersonal-negative,false
539,'View was amazing and the bed was comfortable enough . ',Hotelpersonal-negative,false
540,'The hotel was outdated . ',Hotelpersonal-negative,false
541,'Carpet was pretty old and the vent was VERY dusty . ',Hotelpersonal-negative,false
542,'You can actually see the caked on dust . ',Hotelpersonal-negative,false
543,'It does need updating aesthetically . ',Hotelpersonal-negative,false
646,'Good . ',Hotelpersonal-negative,false
647,'The housekeeper was very sweet and she did a great job . ',Hotelpersonal-negative,false
648,'There were some little things like broken lights , mildew and drippy faucet . ',Hotelpersonal-negative,false
649,'The hotel needs a bit of TLC . ',Hotelpersonal-negative,false
650,'Otherwise a nice experience . ',Hotelpersonal-negative,false
651,'The housekeeping staff were very friendly and they did a great job ',Hotelpersonal-negative,false
706,'Good . ',Hotelpersonal-negative,false
707,'Beds are not real . ',Hotelpersonal-negative,false
783,'Meh . ',Hotelpersonal-negative,false
784,'It s in a good location and it s clean . ',Hotelpersonal-negative,false
785,'It s very dated . ',Hotelpersonal-negative,false
786,'The TV did nt work . ',Hotelpersonal-negative,false
787,'The staff at reception are nt warm . ',Hotelpersonal-negative,true
788,'I only stay here if I absolutely have to . ',Hotelpersonal-negative,false
789,'We were stranded with the storm so we booked it last minute . ',Hotelpersonal-negative,false
859,'Rude staff . ',Hotelpersonal-negative,true
860,'The staff gave an unpleasant vibe that started right off the bat . ',Hotelpersonal-negative,true
861,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',Hotelpersonal-negative,true
925,'Good location , adequate for our stay , Would stay there again if the price was right . ',Hotelpersonal-negative,false
926,'Quiet , comfortable , clean , GREAT LOCATION . ',Hotelpersonal-negative,false
927,'Bar fridge in room was very useful . ',Hotelpersonal-negative,false
928,'Rooms and furniture need updating . ',Hotelpersonal-negative,false
929,'Pool area also needs a makeover . ',Hotelpersonal-negative,false
1005,'Good location , adequate for our stay , Would stay there again if the price was right . ',Hotelpersonal-negative,false
1006,'Quiet , comfortable , clean , GREAT LOCATION . ',Hotelpersonal-negative,false
1007,'Bar fridge in room was very useful . ',Hotelpersonal-negative,false
1008,'Rooms and furniture need updating . ',Hotelpersonal-negative,false
1009,'Pool area also needs a makeover . ',Hotelpersonal-negative,false
1067,'Thangs for the service ! ',Hotelpersonal-negative,false
1068,'The moon light !!!! ',Hotelpersonal-negative,false
1069,'Maybe update a little bit more coloRs and furniture !!! ',Hotelpersonal-negative,false
1124,'Good . ',Hotelpersonal-negative,false
1125,'The location . ',Hotelpersonal-negative,false
1126,'Bathrooms are showing their age . ',Hotelpersonal-negative,false
1127,'Time to renovate ! ',Hotelpersonal-negative,false
1224,'I wish I would have waited for lower rates the site was offering $ 75 per night . ',Hotelpersonal-negative,false
1225,'We stayed for two ni . ',Hotelpersonal-negative,false
1226,'Nice big room upgraded on arrival . ',Hotelpersonal-negative,false
1227,'The smell in lobby when you first walk in it smells stale like a nursing home . ',Hotelpersonal-negative,false
1228,'Too much antiseptic smell trying to cover up the stale smell . ',Hotelpersonal-negative,false
1229,'Beautiful older building I can appreciate . ',Hotelpersonal-negative,false
1230,'Also they had to turn off the water from midnight to 6 am . ',Hotelpersonal-negative,false
1231,'No big affect as far as comfort ',Hotelpersonal-negative,false
1307,'Good . ',Hotelpersonal-negative,false
1308,'location is good?Cprice is fair . ',Hotelpersonal-negative,false
1309,'its a old hotel , and in my room the curtain fell off ',Hotelpersonal-negative,false
1391,'The stay was OK but its a bit like a B&B with an old style hotel ambience without a bar and diner . ',Hotelpersonal-negative,false
1392,'Breakfast was good , location excellent , view from room was good . ',Hotelpersonal-negative,false
1393,'Room cleaning service was good . ',Hotelpersonal-negative,false
1394,'Safe place and quiet . ',Hotelpersonal-negative,false
1395,'No USB pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',Hotelpersonal-negative,false
1396,'The last evening we could not get into our room as we were apparently checked out already . ',Hotelpersonal-negative,false
1397,'No room service , no bar except during lunch time Not quite 4 star standard ',Hotelpersonal-negative,false
1485,'Excellent customer service . ',Hotelpersonal-negative,false
1486,'The staff were very accommodating and helpful . ',Hotelpersonal-negative,false
1487,'Our bathroom shower had mold on the walls . ',Hotelpersonal-negative,false
1488,'We explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',Hotelpersonal-negative,false
1489,'Excellent customer service . ',Hotelpersonal-negative,false
1556,'Good . ',Hotelpersonal-negative,false
1557,'Location is excellent , central , convenient to public transportation , restaurants , metro , and Place Dupuis food court , various services . ',Hotelpersonal-negative,false
1558,'Maintenance is spotty . ',Hotelpersonal-negative,true
1559,'Bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',Hotelpersonal-negative,false
1611,'Good . ',Hotelpersonal-negative,false
1612,'We really liked the location of the hotel . ',Hotelpersonal-negative,false
1613,'The swimming pool was cold . ',Hotelpersonal-negative,false
1668,'Pleasant . ',Hotelpersonal-negative,false
1669,'Great Location . ',Hotelpersonal-negative,false
1670,'The room have mold . ',Hotelpersonal-negative,false
1671,'They move me to another room becsuse of the noise from the contiguos room . ',Hotelpersonal-negative,false
1723,'Good . ',Hotelpersonal-negative,false
1724,'Close to shopping . ',Hotelpersonal-negative,false
1725,'No heat in bathroom ',Hotelpersonal-negative,false
1762,'Good . ',Hotelpersonal-negative,false
1763,'Service de concierge nest pas sufficient ',Hotelpersonal-negative,false
1821,'Okay . ',Hotelpersonal-negative,false
1822,'Location . ',Hotelpersonal-negative,false
1823,'The room was very tired and overused . ',Hotelpersonal-negative,false
1824,'The room need a facelift . ',Hotelpersonal-negative,false
1825,'The carpet was stained , there was mould in the bathroom . ',Hotelpersonal-negative,false
1883,'Overall nice one . ',Hotelpersonal-negative,false
1884,'Location . ',Hotelpersonal-negative,false
1885,'Facilities ',Hotelpersonal-negative,false
1976,'Good value for money . ',Hotelpersonal-negative,false
1977,'Great location , next to Metro station , big n modern food court , supermarket . ',Hotelpersonal-negative,false
1978,'Walkable to city centre . ',Hotelpersonal-negative,false
1979,'erred an electric teapot to a coffee maker . ',Hotelpersonal-negative,false
1980,'Coffee brewer can be cleaned after each guest . ',Hotelpersonal-negative,false
1981,'. ',Hotelpersonal-negative,false
1982,'sheet is big enough to be tucked under the matress . ',Hotelpersonal-negative,false
1983,'So that it wo nt be rolled up . ',Hotelpersonal-negative,false
2086,'Good cost effectiveness . ',Hotelpersonal-negative,false
2087,'Good location . ',Hotelpersonal-negative,false
2088,'Good location . ',Hotelpersonal-negative,false
2089,'Breakfest could be better . ',Hotelpersonal-negative,false
2090,'There is no room service and the restaurant is closed for dinner , what s is essential . ',Hotelpersonal-negative,true
2091,'Pool is only opened in the evening ! ',Hotelpersonal-negative,false
2164,'Okay . ',Hotelpersonal-negative,false
2165,'Great location . ',Hotelpersonal-negative,false
2166,'I lost some of my things when I left and i contacted them about it but they said they can?ft find it ... ',Hotelpersonal-negative,false
2167,'also , the hot water would only work in the morning ',Hotelpersonal-negative,false
2237,'Good . ',Hotelpersonal-negative,false
2238,'Great buffet . ',Hotelpersonal-negative,false
2239,'Too bad there was no fridge in our room since we booked the smaller room . ',Hotelpersonal-negative,false
2240,'Great location . ',Hotelpersonal-negative,false
2241,'Parking was scary but at least it wasn?ft on the street ',Hotelpersonal-negative,false
2335,'The room served its purpose . ',Hotelpersonal-negative,false
2336,'No more and no less . ',Hotelpersonal-negative,false
2337,'Room 718 - It was a very clean room . ',Hotelpersonal-negative,false
2338,'front staff was friendly . ',Hotelpersonal-negative,false
2339,'front entrance was beautiful . ',Hotelpersonal-negative,false
2340,'ked that there was parking underground with easy access to the hotel . ',Hotelpersonal-negative,false
2341,'Room 718 - The bathroom was in need of major renovation ( I was nt comfortable with the mold on the bath tub walls ) . ',Hotelpersonal-negative,false
2429,'Good . ',Hotelpersonal-negative,false
2430,'The lobby was clean and the room was clean and had a great view of the city . ',Hotelpersonal-negative,false
2431,'The restaurant in the hotel was good . ',Hotelpersonal-negative,false
2432,'The location of the hotel is great for access to St. Catherine s street and getting downtown . ',Hotelpersonal-negative,false
2433,'The bathrooms were outdated , and seemed a little scummy . ',Hotelpersonal-negative,false
2500,'Good value . ',Hotelpersonal-negative,false
2501,'The location was very convenient and the view from our room was outstanding . ',Hotelpersonal-negative,false
2502,'It needs to be updated . ',Hotelpersonal-negative,false
2503,'It took a full five minutes running the shower before the water was really warm . ',Hotelpersonal-negative,false
2546,'Pleasant . ',Hotelpersonal-negative,false
2547,'very old , needs reformation on comon areas . ',Hotelpersonal-negative,false
2578,'Probably would not stay there again . ',Hotelpersonal-negative,false
2579,'There was no working ice machine . ',Hotelpersonal-negative,false
2655,'Would go back and would recommend to friends . ',Hotelpersonal-negative,false
2656,'The rooms were roomy . ',Hotelpersonal-negative,false
2657,'The location was excellent . ',Hotelpersonal-negative,false
2658,'It was clean and The staff were awesome . ',Hotelpersonal-negative,false
2659,'The air ducts need cleaning . ',Hotelpersonal-negative,false
2660,'When they came on I smelled mould . ',Hotelpersonal-negative,false
2661,'The pool hours were limited and odd . ',Hotelpersonal-negative,false
2722,'Good . ',Hotelpersonal-negative,false
2723,'Location ',Hotelpersonal-negative,false
2763,'Very Good . ',Hotelpersonal-negative,false
2764,'Nice in the city . ',Hotelpersonal-negative,false
2765,'Room has no fridge ',Hotelpersonal-negative,false
2829,'Good . ',Hotelpersonal-negative,false
2830,'Good location . ',Hotelpersonal-negative,false
2831,'Lots of elevators that worked rapidly . ',Hotelpersonal-negative,false
2832,'Old building . ',Hotelpersonal-negative,false
2833,'Not a lot of amenities . ',Hotelpersonal-negative,false
2918,'Home away from home . ',Hotelpersonal-negative,false
2919,'Ideal location of hotel at the heart of downtown Montreal . ',Hotelpersonal-negative,false
2920,'Friendly and helpful staff . ',Hotelpersonal-negative,false
2921,'Trustworthy housekeeping . ',Hotelpersonal-negative,false
2922,'Wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',Hotelpersonal-negative,false
2923,'Too many homeless people near hotel . ',Hotelpersonal-negative,false
2987,'Pleasant . ',Hotelpersonal-negative,false
2988,'Good location . ',Hotelpersonal-negative,false
2989,'The design is quite old and need change lift to car park ',Hotelpersonal-negative,false
3071,'The hotel was convenient to the airport shuttle and subway . ',Hotelpersonal-negative,false
3072,'The bed was comfy . ',Hotelpersonal-negative,false
3073,'The coffee machine did nt work . ',Hotelpersonal-negative,false
3074,'There was a strange smell in the room . ',Hotelpersonal-negative,false
3075,'The room and hotel was a little tired and tatty . ',Hotelpersonal-negative,false
3076,'One of the staff was friendly . ',Hotelpersonal-negative,false
3077,'The others made no effort to be friendly or helpful . ',Hotelpersonal-negative,true
3147,'Not bad . ',Hotelpersonal-negative,false
3148,'Location , comfort . ',Hotelpersonal-negative,false
3149,'Payment process ',Hotelpersonal-negative,false
3195,'Very nice hotel , would recommend . ',Hotelpersonal-negative,false
3196,'Staff ( Sammy , at checkin ) very helpful in providing a room with a nice view ! ',Hotelpersonal-negative,false
3197,'Very bad signage for directions from parking garage to hotel through food court , ect . ',Hotelpersonal-negative,false
3252,'Good . ',Hotelpersonal-negative,false
3253,'LOCATION IS GREAT . ',Hotelpersonal-negative,false
3254,'OLD HOTEL WITH OLD EQUIPMENTS : OLD BATHROOM , OLD CARPETS .. ',Hotelpersonal-negative,false
3255,'NEEDS URGENT REMODELING ',Hotelpersonal-negative,false
3334,'Breakfast needs improvement . ',Hotelpersonal-negative,false
