@relation WLAN

@attribute id numeric
@attribute lexi1_avg numeric
@attribute lexi1_high numeric
@attribute lexi1_low numeric
@attribute lexi2_avg numeric
@attribute lexi2_high numeric
@attribute lexi2_low numeric
@attribute lexi3_avg numeric
@attribute lexi3_high numeric
@attribute lexi3_low numeric
@attribute target string
@attribute unigrams string
@attribute POS string
@attribute unigrams_count numeric
@attribute ends_on_special numeric
@attribute different_aspects numeric
@attribute includes_capslock numeric
@attribute negation_type_1 numeric
@attribute negation_type_2 numeric
@attribute negation_type_3 numeric
@attribute negation_type_4 numeric
@attribute negation_type_5 numeric
@attribute negation_type_6 numeric
@attribute aspecttype {positive, negative}

@data
1000,0.024657534246575345,0.6,0.0,0.04794520547945205,1.0,0.0,0.03881278538812786,1.0,0.0,'target_WiFi','Good stay with excellent location, however not an excellent value for money. Great location, clean rooms, cozy bed, nice view, good WiFi, nice staff. Overall:. ler rooms than expected. efrigerator (mini bar) in the room. ing water heater (tea heater). ty deposit box in our room wasnt working. . y windows on the outside of the building. ting the roof terrace could be free for the guests of the hotel. bathroom:. bathroom with just a curtain and without the door isnt practical, because of the stem going into the room. marble floor was really cold, because there wasnt any floor heating. glass door on the bath is too small, therefor the water is splashing all over the bathroom floor.','JJ NN IN JJ NN , RB RB DT JJ NN IN NN . JJ NN , JJ NNS , JJ NN , JJ NN , JJ NNP , JJ NN . ADD JJR NNS IN VBN . NN -LRB- JJ NN -RRB- IN DT NN . VBG NN NN -LRB- NN NN -RRB- . NN NN NN IN PRP$ NN VBD RB VBG . . JJ NNS IN DT NN IN DT NN . VBG DT NN NN MD VB JJ IN DT NNS IN DT NN . ADD NN IN RB DT NN CC IN DT NN VBZ RB JJ , IN IN DT NN VBG IN DT NN . NN NN VBD RB JJ , IN EX VBD RB DT NN NN . NN NN IN DT NN VBZ RB JJ , IN DT NN VBZ VBG RB IN DT NN NN . ',146,0,16,1,1,1,0,0,0,0,positive
1034,0.016560509554140124,0.6,0.0,0.03821656050955414,1.0,0.0,0.04511677282377919,1.0,0.0,'target_internet','Great Hotel in the center of Berlin !!!! The location of the Hotel is one of the best in the city, Metro station is very closed and all shopping mall e.g. Alexa, Kaufhof are just few minutes away. The room is not so big but well equipped and very good structured where you can find all your needs. Refrigerator is also there and a lot of snacks are also available in the room. The internet connection could be much more better for a four stars hotel in the center of the city and I hope the management of the hotel take this comment seriously and improve the connection as it was not only my comment but many travelers have already include it in their reviews. In addition the room temperature is quite higher than usual so therefore I opened the window the whole time in order to adjust the temperature.','NNP NNP IN DT NN IN NNP . DT NN IN DT NNP VBZ CD IN DT JJS IN DT NN , NNP NN VBZ RB JJ CC DT NN NN RB NNP , NNP VBP RB JJ NNS RB . DT NN VBZ RB RB JJ CC RB VBN CC RB JJ JJ WRB PRP MD VB DT PRP$ NNS . NN VBZ RB RB CC DT NN IN NNS VBP RB JJ IN DT NN . DT NN NN MD VB RB JJR JJR IN DT CD NNS NN IN DT NN IN DT NN CC PRP VBP DT NN IN DT NN VBP DT NN RB CC VB DT NN IN PRP VBD RB RB PRP$ NN CC JJ NNS VBP RB VB PRP IN PRP$ NNS . IN NN DT NN NN VBZ RB JJR IN JJ RB RB PRP VBD DT NN DT JJ NN IN NN TO VB DT NN . ',157,0,9,1,1,0,0,0,0,1,negative
1035,0.016560509554140124,0.6,0.0,0.03821656050955414,1.0,0.0,0.04511677282377919,1.0,0.0,'target_connection','Great Hotel in the center of Berlin !!!! The location of the Hotel is one of the best in the city, Metro station is very closed and all shopping mall e.g. Alexa, Kaufhof are just few minutes away. The room is not so big but well equipped and very good structured where you can find all your needs. Refrigerator is also there and a lot of snacks are also available in the room. The internet connection could be much more better for a four stars hotel in the center of the city and I hope the management of the hotel take this comment seriously and improve the connection as it was not only my comment but many travelers have already include it in their reviews. In addition the room temperature is quite higher than usual so therefore I opened the window the whole time in order to adjust the temperature.','NNP NNP IN DT NN IN NNP . DT NN IN DT NNP VBZ CD IN DT JJS IN DT NN , NNP NN VBZ RB JJ CC DT NN NN RB NNP , NNP VBP RB JJ NNS RB . DT NN VBZ RB RB JJ CC RB VBN CC RB JJ JJ WRB PRP MD VB DT PRP$ NNS . NN VBZ RB RB CC DT NN IN NNS VBP RB JJ IN DT NN . DT NN NN MD VB RB JJR JJR IN DT CD NNS NN IN DT NN IN DT NN CC PRP VBP DT NN IN DT NN VBP DT NN RB CC VB DT NN IN PRP VBD RB RB PRP$ NN CC JJ NNS VBP RB VB PRP IN PRP$ NNS . IN NN DT NN NN VBZ RB JJR IN JJ RB RB PRP VBD DT NN DT JJ NN IN NN TO VB DT NN . ',157,0,9,1,1,0,0,0,0,1,negative
1073,0.04285714285714285,0.6,-0.2,0.047619047619047616,1.0,0.0,0.0,1.0,0.0,'target_WiFi','Very Good. Amazing location, near everything and next to transport links. Has a nice view at the top and comfortable room. WiFi is slow and barely works, the shower leaked and the door was falling off.','RB JJ . JJ NN , IN NN CC JJ IN NN NNS . VBZ DT JJ NN IN DT JJ CC JJ NN . NNP VBZ JJ CC RB NNS , DT NN VBN CC DT NN VBD VBG RP . ',42,0,9,1,0,0,0,0,0,0,negative
1074,0.04285714285714285,0.6,-0.2,0.047619047619047616,1.0,0.0,0.0,1.0,0.0,'target_WiFi','Very Good. Amazing location, near everything and next to transport links. Has a nice view at the top and comfortable room. WiFi is slow and barely works, the shower leaked and the door was falling off.','RB JJ . JJ NN , IN NN CC JJ IN NN NNS . VBZ DT JJ NN IN DT JJ CC JJ NN . NNP VBZ JJ CC RB NNS , DT NN VBN CC DT NN VBD VBG RP . ',42,0,9,1,0,0,0,0,0,0,negative
1079,0.045454545454545456,0.6,-0.4,0.0,1.0,0.0,0.0,0.0,0.0,'target_WiFi','Very Good. The location is great, near everything. The train station is 1 min walk. Very poor WiFi','RB JJ . DT NN VBZ JJ , IN NN . DT NN NN VBZ CD NN NN . RB JJ NNP ',22,0,3,1,0,0,0,0,0,0,negative
1130,0.02448979591836735,0.6,-0.2,0.061224489795918366,1.0,0.0,0.05102040816326531,1.0,0.0,'target_WiFi','Good. Location Although this area is a bit of a tourist trap Room was good Plenty hot water Free WiFi Bed comfortable. Slow check in with long line No breakfast included They overcharged my bill which I had to e mail a few times to refund Annoying','JJ . NN IN DT NN VBZ DT NN IN DT NN NN NNP VBD JJ NN JJ NN NNP NNP NNP JJ . JJ NN IN IN JJ NN DT NN VBD PRP VBD PRP$ NN WDT PRP VBD TO VB NN DT JJ NNS TO VB VBG ',49,0,8,1,0,0,0,0,0,0,positive
1202,0.06363636363636363,0.6,-0.2,0.09090909090909091,1.0,0.0,0.045454545454545456,1.0,0.0,'target_WiFi','It was okay. good location Good WiFi nice staff. The bathroom has no door, a little bit akward.','PRP VBD JJ . JJ NN NNP NNP JJ NN . DT NN VBZ DT NN , DT JJ NN JJ . ',22,0,4,1,0,0,0,0,0,0,positive
1446,0.035,0.6,-0.6,0.0625,1.0,0.0,0.0,1.0,0.0,'target_internet','Very Good. The Location is nice, the view from hotel is nice, elevators are really fast. Staff is friendly room has modern nice design, too. I had a double room. The beds were two seperate beds put next to each other, which were on the wheels and moving away from each other. I had panorama double room which was on the corner, and the internet connection was really bad.','RB JJ . DT NNP VBZ JJ , DT NN IN NN VBZ JJ , NNS VBP RB RB . NNP VBZ JJ NN VBZ JJ JJ NN , RB . PRP VBD DT JJ NN . DT NNS VBD CD JJ NNS VBP JJ IN DT JJ , WDT VBD IN DT NNS CC VBG RB IN DT JJ . PRP VBD DT JJ NN WDT VBD IN DT NN , CC DT NN NN VBD RB JJ . ',80,0,6,1,0,0,0,0,0,0,negative
1475,0.025675675675675677,0.8,-0.6,0.0472972972972973,1.0,0.0,0.033783783783783786,1.0,0.0,'target_WIFI','Hotel with the best view in Berlin. Location and Room view are one of the best preferences of this hotel. The hotel kindly responded to our request and provided a room on the upper floors. Finally we had amazing view from our room to Berlin Tele-Tower, Alexanderplatz and Beliner Dom. We even not used any restaurant or cafe on breakfast or dinner - we just bought some food and drink in Kaufland supermarket behind and enjoyed our food and drinks with excellent view! That was 100% that we expected from this hotel))) The bed and pillows were very comfortable and we slept very well). WIFI was terrible - such low speed is not applicable in 21st century :) Room is not too big for this money (about 150 Euro/Night without breakfast)','NNP IN DT JJS NN IN NNP . NNP CC NNP NN VBP CD IN DT JJS NNS IN DT NN . DT NN RB VBD IN PRP$ NN CC VBD DT NN IN DT JJ NNS . RB PRP VBD JJ NN IN PRP$ NN IN NNP NNP , NNP CC NNP NNP . PRP RB RB VBD DT NN CC NN IN NN CC NN : PRP RB VBD DT NN CC NN IN NNP NN RB CC VBD PRP$ NN CC VBZ IN JJ NN . DT VBD CD NN WDT PRP VBD IN DT NN -RRB- -RRB- -RRB- DT NN CC NNS VBD RB JJ CC PRP VBD RB RB -RRB- . NNP VBD JJ HYPH JJ JJ NN VBZ RB JJ IN CD JJ NN NFP NNP VBZ RB RB JJ IN DT NN -LRB- RB CD NNP SYM NNP IN NN -RRB- ',148,0,12,1,1,0,0,0,0,0,negative
