@relation drinks#prices

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
6,'Judging from previous posts this used to be a good place , but not any longer . ',false
18,'We , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude . ',false
30,'They never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table . ',false
42,'The food was lousy - too sweet or too salty and the portions tiny . ',false
54,'After all that , they complained to me about the small tip . ',false
66,'Avoid this place ! ',false
78,'I have eaten at Saul , many times , the food is always consistently , outrageously good . ',false
90,'Saul is the best restaurant on Smith Street and in Brooklyn . ',false
102,'The duck confit is always amazing and the foie gras terrine with figs was out of this world . ',false
114,'The wine list is interesting and has many good values . ',true
126,'For the price , you can not eat this well in Manhattan . ',false
138,'I was very disappointed with this restaurant . ',false
150,'Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away . ',false
162,'I had to ask her three times before she finally came back with the dish Ive requested . ',false
174,'Food was okay , nothing great . ',false
186,'Chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family . ',false
198,'I / we will never go back to this place again . ',false
210,'Went on a 3 day oyster binge , with Fish bringing up the closing , and I am so glad this was the place it O trip ended , because it was so great ! ',false
222,'Service was devine , oysters where a sensual as they come , and the price ca nt be beat !!! ',false
234,'You ca nt go wrong here . ',false
246,'Every time in New York I make it a point to visit Restaurant Saul on Smith Street . ',false
258,'Everything is always cooked to perfection , the service is excellent , the decor cool and understated . ',false
270,'I had the duck breast special on my last visit and it was incredible . ',false
282,'Ca nt wait wait for my next visit . ',false
294,'The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share ! ',false
306,'We went around 9:30 on a Friday and it had died down a bit by then so the service was great ! ',false
318,'we love th pink pony . ',false
330,'THe perfect spot . ',false
342,'Food - awesome . ',false
354,'Service- friendly and attentive . ',false
366,'Ambiance - relaxed and stylish . ',false
378,'Do nt judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart . ',false
390,'the food is decent . ',false
402,'however , it s the service that leaves a bad taste in my mouth . ',false
414,'i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i.e. make me feel bad asking for trivialities like water , or the check . ',false
426,'i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i m here to eat and enjoy the company of friends , seeking a pleasant experience . ',false
438,'well , i did nt find it there , and trust , i have told everyone i can think of about my experience . ',false
450,'the last time i walked by it looked pretty empty . ',false
462,'hmmm . ',false
474,'This place has got to be the best japanese restaurant in the new york area . ',false
486,'I had a great experience . ',false
498,'Food is great . ',false
510,'Service is top notch . ',false
522,'I have been going back again and again . ',false
534,'I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose . ',false
546,'It melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery . ',false
558,'The sushi seemed pretty fresh and was adequately proportioned . ',false
570,'The rice to fish ration was also good -- they did nt try to overpack the rice . ',false
