@relation Preis-Leistungs-Verhaeltnis-negative

@attribute id numeric
@attribute text string
@attribute aspecttype {true, false}

@data
104,'Good . ',false
105,'The view - although the windows need cleaning or to be changed out , as they were not clear . ',false
106,'Location is excellent . ',false
107,'Water pressure is also excellent . ',false
108,'Bathroom space is very small for potentially 4 people . ',false
109,'Security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
110,'Makes them very in-predictable and I would not have wanted to run into one of them with small kids in tow . ',false
111,'Saw a few having episodes the next morning . ',false
154,'Fine . ',false
155,'Gym had no equipment Needs to be upgraded ',false
199,'Enjoyed our stay . ',false
200,'Comfortable and Foot rest . ',false
201,'Next to elevators ',false
325,'Was more economical than other properties I searched in the area but there is room for improvement . ',false
326,'Location was close to the event we were attending . ',false
327,'There is a parking structure attacked to the hotel so you did not need to park outside . ',false
328,'You can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
329,'The bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
330,'The carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
331,'Parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
332,'There was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
333,'The bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
443,'Acceptably . ',false
444,'Good Location , parking , grocery store in the building . ',false
445,'Old hotel and relevant smell , no sockets in the room at all . ',false
446,'Had to charge cellular in bathroom . ',false
447,'Air condition was terrible . ',false
448,'Had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
449,'It was very cold and uncomfortable . ',false
568,'Stay was okay . ',false
569,'I will consider staying there again . ',false
570,'The location was great , right downtown Montreal . ',false
571,'View was amazing and the bed was comfortable enough . ',false
572,'The hotel was outdated . ',false
573,'Carpet was pretty old and the vent was VERY dusty . ',false
574,'You can actually see the caked on dust . ',false
575,'It does need updating aesthetically . ',false
670,'Good . ',false
671,'The housekeeper was very sweet and she did a great job . ',false
672,'There were some little things like broken lights , mildew and drippy faucet . ',false
673,'The hotel needs a bit of TLC . ',false
674,'Otherwise a nice experience . ',false
675,'The housekeeping staff were very friendly and they did a great job ',false
714,'Good . ',false
715,'Beds are not real . ',false
811,'Meh . ',false
812,'It s in a good location and it s clean . ',false
813,'It s very dated . ',false
814,'The TV did nt work . ',false
815,'The staff at reception are nt warm . ',false
816,'I only stay here if I absolutely have to . ',false
817,'We were stranded with the storm so we booked it last minute . ',false
871,'Rude staff . ',false
872,'The staff gave an unpleasant vibe that started right off the bat . ',false
873,'The one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all I did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
945,'Good location , adequate for our stay , Would stay there again if the price was right . ',false
