@relation Lage

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
16,'good . ',false
17,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
18,'location is excellent . ',true
19,'water pressure is also excellent . ',false
20,'bathroom space is very small for potentially 4 people . ',false
21,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',true
22,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
23,'saw a few having episodes the next morning . ',false
68,'fine . ',false
69,'gym had no equipment needs to be upgraded ',false
86,'enjoyed our stay . ',false
87,'comfortable and foot rest . ',false
88,'next to elevators ',false
122,'was more economical than other properties i searched in the area but there is room for improvement . ',false
123,'location was close to the event we were attending . ',true
124,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
125,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',false
126,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',false
127,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
128,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
129,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
130,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
190,'acceptably . ',false
191,'good location , parking , grocery store in the building . ',true
192,'old hotel and relevant smell , no sockets in the room at all . ',false
193,'had to charge cellular in bathroom . ',false
194,'air condition was terrible . ',false
195,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
196,'it was very cold and uncomfortable . ',false
248,'stay was okay . ',false
249,'i will consider staying there again . ',false
250,'the location was great , right downtown montreal . ',true
251,'view was amazing and the bed was comfortable enough . ',true
252,'the hotel was outdated . ',false
253,'carpet was pretty old and the vent was very dusty . ',false
254,'you can actually see the caked on dust . ',false
255,'it does need updating aesthetically . ',false
308,'good . ',false
309,'the housekeeper was very sweet and she did a great job . ',false
310,'there were some little things like broken lights , mildew and drippy faucet . ',false
311,'the hotel needs a bit of tlc . ',false
312,'otherwise a nice experience . ',false
313,'the housekeeping staff were very friendly and they did a great job ',false
348,'good . ',false
349,'beds are not real . ',false
374,'meh . ',false
375,'it s in a good location and it s clean . ',false
376,'it s very dated . ',false
377,'the tv did nt work . ',false
378,'the staff at reception are nt warm . ',false
379,'i only stay here if i absolutely have to . ',false
380,'we were stranded with the storm so we booked it last minute . ',false
422,'rude staff . ',false
423,'the staff gave an unpleasant vibe that started right off the bat . ',false
424,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
450,'good location , adequate for our stay , would stay there again if the price was right . ',true
451,'quiet , comfortable , clean , great location . ',true
452,'bar fridge in room was very useful . ',false
453,'rooms and furniture need updating . ',false
454,'pool area also needs a makeover . ',false
490,'good location , adequate for our stay , would stay there again if the price was right . ',true
491,'quiet , comfortable , clean , great location . ',true
492,'bar fridge in room was very useful . ',false
493,'rooms and furniture need updating . ',false
494,'pool area also needs a makeover . ',false
526,'thangs for the service ! ',false
527,'the moon light !!!! ',false
528,'maybe update a little bit more colors and furniture !!! ',false
552,'good . ',false
553,'the location . ',false
554,'bathrooms are showing their age . ',false
555,'time to renovate ! ',false
592,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
593,'we stayed for two ni . ',false
594,'nice big room upgraded on arrival . ',false
595,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
596,'too much antiseptic smell trying to cover up the stale smell . ',false
597,'beautiful older building i can appreciate . ',false
598,'also they had to turn off the water from midnight to 6 am . ',false
599,'no big affect as far as comfort ',false
646,'good . ',false
647,'location is good?cprice is fair . ',false
648,'its a old hotel , and in my room the curtain fell off ',false
678,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',false
679,'breakfast was good , location excellent , view from room was good . ',true
680,'room cleaning service was good . ',false
681,'safe place and quiet . ',true
682,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',false
683,'the last evening we could not get into our room as we were apparently checked out already . ',false
684,'no room service , no bar except during lunch time not quite 4 star standard ',false
730,'excellent customer service . ',false
731,'the staff were very accommodating and helpful . ',false
732,'our bathroom shower had mold on the walls . ',false
733,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
734,'excellent customer service . ',false
768,'good . ',false
769,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',true
770,'maintenance is spotty . ',false
771,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',false
798,'good . ',false
799,'we really liked the location of the hotel . ',true
800,'the swimming pool was cold . ',false
824,'pleasant . ',false
825,'great location . ',true
826,'the room have mold . ',false
827,'they move me to another room becsuse of the noise from the contiguos room . ',false
854,'good . ',false
855,'close to shopping . ',true
856,'no heat in bathroom ',false
876,'good . ',false
877,'service de concierge nest pas sufficient ',false
898,'okay . ',false
899,'location . ',false
900,'the room was very tired and overused . ',false
901,'the room need a facelift . ',false
902,'the carpet was stained , there was mould in the bathroom . ',false
934,'overall nice one . ',false
935,'location . ',false
936,'facilities ',false
968,'good value for money . ',false
