@relation Komfort

@attribute id numeric
@attribute words string
@attribute aspecttype {true, false}

@data
32,'good . ',false
33,'the view - although the windows need cleaning or to be changed out , as they were not clear . ',false
34,'location is excellent . ',false
35,'water pressure is also excellent . ',true
36,'bathroom space is very small for potentially 4 people . ',true
37,'security should be a priority , as the hotel below ground level is connected to a small inside mall , which is a huge bonus , but - it also seems to be a converging space for the homeless , who have mental health issues and addiction issues . ',false
38,'makes them very in-predictable and i would not have wanted to run into one of them with small kids in tow . ',false
39,'saw a few having episodes the next morning . ',false
72,'fine . ',false
73,'gym had no equipment needs to be upgraded ',false
92,'enjoyed our stay . ',false
93,'comfortable and foot rest . ',false
94,'next to elevators ',false
140,'was more economical than other properties i searched in the area but there is room for improvement . ',false
141,'location was close to the event we were attending . ',false
142,'there is a parking structure attacked to the hotel so you did not need to park outside . ',false
143,'you can travel with pets and our request for a mini fridge in the room for medication storage was honoured at no charge . ',true
144,'the bathroom was dated , some tiles were cracked in the shower and much of the grout was black . ',true
145,'the carpet was stained but was not dirty ( my socks did not turn get dirty walking on carpet ) . ',false
146,'parking garage has low ceilings ( 6 foot max clearance ) so larger vehicles will not fit and cost is $ 19 / day . ',false
147,'there was a $ 40 charge for cleaning the room if you travel with pets that we were not told about until after check - in . ',false
148,'the bar / restaurant was closed when we went to have a drink one evening and there are no posted hours of operation.u ',false
204,'acceptably . ',false
205,'good location , parking , grocery store in the building . ',false
206,'old hotel and relevant smell , no sockets in the room at all . ',true
207,'had to charge cellular in bathroom . ',false
208,'air condition was terrible . ',true
209,'had to ask staff to switch it off in the evening , but at night it started blow cool air very noisy . ',false
210,'it was very cold and uncomfortable . ',false
264,'stay was okay . ',false
265,'i will consider staying there again . ',false
266,'the location was great , right downtown montreal . ',false
267,'view was amazing and the bed was comfortable enough . ',true
268,'the hotel was outdated . ',false
269,'carpet was pretty old and the vent was very dusty . ',false
270,'you can actually see the caked on dust . ',false
271,'it does need updating aesthetically . ',false
320,'good . ',false
321,'the housekeeper was very sweet and she did a great job . ',false
322,'there were some little things like broken lights , mildew and drippy faucet . ',true
323,'the hotel needs a bit of tlc . ',false
324,'otherwise a nice experience . ',false
325,'the housekeeping staff were very friendly and they did a great job ',false
352,'good . ',false
353,'beds are not real . ',false
388,'meh . ',false
389,'it s in a good location and it s clean . ',false
390,'it s very dated . ',false
391,'the tv did nt work . ',true
392,'the staff at reception are nt warm . ',false
393,'i only stay here if i absolutely have to . ',false
394,'we were stranded with the storm so we booked it last minute . ',false
428,'rude staff . ',false
429,'the staff gave an unpleasant vibe that started right off the bat . ',false
430,'the one female receptionist had an attitude with me because she did nt explain the room deposit correctly to me and when all i did in return was ask her to clarify something s she had already said , it only seemed to upset her more . ',false
460,'good location , adequate for our stay , would stay there again if the price was right . ',false
461,'quiet , comfortable , clean , great location . ',false
462,'bar fridge in room was very useful . ',true
463,'rooms and furniture need updating . ',true
464,'pool area also needs a makeover . ',false
500,'good location , adequate for our stay , would stay there again if the price was right . ',false
501,'quiet , comfortable , clean , great location . ',false
502,'bar fridge in room was very useful . ',true
503,'rooms and furniture need updating . ',true
504,'pool area also needs a makeover . ',false
532,'thangs for the service ! ',false
533,'the moon light !!!! ',false
534,'maybe update a little bit more colors and furniture !!! ',true
560,'good . ',false
561,'the location . ',false
562,'bathrooms are showing their age . ',true
563,'time to renovate ! ',false
608,'i wish i would have waited for lower rates the site was offering $ 75 per night . ',false
609,'we stayed for two ni . ',false
610,'nice big room upgraded on arrival . ',true
611,'the smell in lobby when you first walk in it smells stale like a nursing home . ',false
612,'too much antiseptic smell trying to cover up the stale smell . ',false
613,'beautiful older building i can appreciate . ',false
614,'also they had to turn off the water from midnight to 6 am . ',false
615,'no big affect as far as comfort ',false
652,'good . ',false
653,'location is good?cprice is fair . ',false
654,'its a old hotel , and in my room the curtain fell off ',true
692,'the stay was ok but its a bit like a b&b with an old style hotel ambience without a bar and diner . ',true
693,'breakfast was good , location excellent , view from room was good . ',false
694,'room cleaning service was good . ',false
695,'safe place and quiet . ',false
696,'no usb pports and no power points for electronic devices ; most furniture was old and my bed squeaked . ',true
697,'the last evening we could not get into our room as we were apparently checked out already . ',false
698,'no room service , no bar except during lunch time not quite 4 star standard ',false
740,'excellent customer service . ',false
741,'the staff were very accommodating and helpful . ',false
742,'our bathroom shower had mold on the walls . ',false
743,'we explained this problem to the front desk , and they were very apologetic and moved us to an upgraded room . ',false
744,'excellent customer service . ',false
776,'good . ',false
777,'location is excellent , central , convenient to public transportation , restaurants , metro , and place dupuis food court , various services . ',false
778,'maintenance is spotty . ',false
779,'bathtub drain clogged , hairdryer didn?ft work , ice makers on several floors were out of order , furniture in room scuffed . ',true
804,'good . ',false
805,'we really liked the location of the hotel . ',false
806,'the swimming pool was cold . ',false
832,'pleasant . ',false
833,'great location . ',false
834,'the room have mold . ',false
835,'they move me to another room becsuse of the noise from the contiguos room . ',false
860,'good . ',false
861,'close to shopping . ',false
862,'no heat in bathroom ',true
880,'good . ',false
881,'service de concierge nest pas sufficient ',false
908,'okay . ',false
909,'location . ',false
910,'the room was very tired and overused . ',true
911,'the room need a facelift . ',true
912,'the carpet was stained , there was mould in the bathroom . ',false
940,'overall nice one . ',false
941,'location . ',false
942,'facilities ',false
984,'good value for money . ',false
985,'great location , next to metro station , big n modern food court , supermarket . ',false
986,'walkable to city centre . ',false
987,'erred an electric teapot to a coffee maker . ',false
988,'coffee brewer can be cleaned after each guest . ',false
989,'. ',false
990,'sheet is big enough to be tucked under the matress . ',true
991,'so that it wo nt be rolled up . ',false
1040,'good cost effectiveness . ',false
1041,'good location . ',false
1042,'good location . ',false
1043,'breakfest could be better . ',false
1044,'there is no room service and the restaurant is closed for dinner , what s is essential . ',false
1045,'pool is only opened in the evening ! ',false
1080,'okay . ',false
1081,'great location . ',false
1082,'i lost some of my things when i left and i contacted them about it but they said they can?ft find it ... ',false
1083,'also , the hot water would only work in the morning ',true
1116,'good . ',false
1117,'great buffet . ',false
1118,'too bad there was no fridge in our room since we booked the smaller room . ',true
1119,'great location . ',false
1120,'parking was scary but at least it wasn?ft on the street ',false
1164,'the room served its purpose . ',false
1165,'no more and no less . ',false
1166,'room 718 - it was a very clean room . ',false
1167,'front staff was friendly . ',false
1168,'front entrance was beautiful . ',false
1169,'ked that there was parking underground with easy access to the hotel . ',false
1170,'room 718 - the bathroom was in need of major renovation ( i was nt comfortable with the mold on the bath tub walls ) . ',true
1212,'good . ',false
1213,'the lobby was clean and the room was clean and had a great view of the city . ',false
1214,'the restaurant in the hotel was good . ',false
1215,'the location of the hotel is great for access to st. catherine s street and getting downtown . ',false
1216,'the bathrooms were outdated , and seemed a little scummy . ',true
1248,'good value . ',false
1249,'the location was very convenient and the view from our room was outstanding . ',false
1250,'it needs to be updated . ',false
1251,'it took a full five minutes running the shower before the water was really warm . ',false
1272,'pleasant . ',false
1273,'very old , needs reformation on comon areas . ',false
1288,'probably would not stay there again . ',false
1289,'there was no working ice machine . ',false
1324,'would go back and would recommend to friends . ',false
1325,'the rooms were roomy . ',true
1326,'the location was excellent . ',false
1327,'it was clean and the staff were awesome . ',false
1328,'the air ducts need cleaning . ',false
1329,'when they came on i smelled mould . ',false
1330,'the pool hours were limited and odd . ',false
1360,'good . ',false
1361,'location ',false
1380,'very good . ',false
1381,'nice in the city . ',false
1382,'room has no fridge ',true
1412,'good . ',false
1413,'good location . ',false
1414,'lots of elevators that worked rapidly . ',false
1415,'old building . ',false
1416,'not a lot of amenities . ',true
1456,'home away from home . ',false
1457,'ideal location of hotel at the heart of downtown montreal . ',false
1458,'friendly and helpful staff . ',false
1459,'trustworthy housekeeping . ',false
1460,'wide selection of places close to the hotel ( metro stations , taxi , shopping malls , restaurants , pharmacies , etc ) . ',false
1461,'too many homeless people near hotel . ',false
1492,'pleasant . ',false
1493,'good location . ',false
1494,'the design is quite old and need change lift to car park ',false
1532,'the hotel was convenient to the airport shuttle and subway . ',false
1533,'the bed was comfy . ',true
1534,'the coffee machine did nt work . ',true
1535,'there was a strange smell in the room . ',false
1536,'the room and hotel was a little tired and tatty . ',true
1537,'one of the staff was friendly . ',false
1538,'the others made no effort to be friendly or helpful . ',false
1572,'not bad . ',false
1573,'location , comfort . ',false
1574,'payment process ',false
1596,'very nice hotel , would recommend . ',false
1597,'staff ( sammy , at checkin ) very helpful in providing a room with a nice view ! ',false
